Seated ^xvbn+++xvbn+=Seated
at ^rb++++=at
his ^pp$+pp3+++=his
ease ^nn++++=ease
in ^in++++=in
the ^ati++++=the
warm ^jj+atrb+++=warm
tap ^nn++++=tap-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Cauliflower ^np+nom++??+=Cauliflower,
, ^zz++++=EXTRAWORD
the ^ati++++=the
stranger ^jjr++++=stranger
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
eating ^vbg+++xvbgx+=eating
and ^cc+phrs+++=and
drinking ^vbg+++xvbg+=drinking
for ^in++++=for
some ^dti++++=some
time ^nn++++=time,
, ^zz++++=EXTRAWORD
apparently ^rb++++=apparently
unconscious ^jj++++=unconscious
of ^in++++=of
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
the ^ati++++=the
withered ^jj+++xvbn+=withered
ancient ^jj++++=ancient
who ^whp+who+++=who,
, ^zz++++=EXTRAWORD
huddled ^j+++xvbn+=huddled
up ^rp++++=up
in ^cs+sub+++=in
that ^cs"++++=that
corner ^nn++++=corner
of ^in++++=of
the ^ati++++=the
settle ^vb++++=settle
which ^whp+who+++=which
was ^vbd+bedz+vrb++=was
nearer ^in+cmpx+++=nearer
to ^in"++++=to
the ^ati++++=the
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
fidgeted ^j+++xvbn+=fidgeted
restlessly ^rb++++=restlessly
with ^in++++=with
an ^at++++=an
empty ^jj+atrb+++=empty
mug ^nn++++=mug
and ^cc++++=and
blew ^vpsv++agls+xvbn+=blew
with ^in++++=with
pathetic ^jj+atrb+++=pathetic
insistence ^nn+nom+++=insistence
through ^in++++=through
a ^at++++=a
churchwarden ^nn++++=churchwarden
pipe ^nn++++=pipe
which ^whp+rel+subj++=which
had ^vb+hv+aux++=had
long ^rb++splt++=long
been ^vprf+ben+vrb+xvbnx+=been
cold ^jj++++=cold.
. ^zz++++=EXTRAWORD
The ^ati++++=The
stranger ^nn++++=stranger
finished ^vbd+++xvbn+=finished
his ^pp$+pp3+++=his
meal ^nn++++=meal
with ^in++++=with
a ^at++++=a
sigh ^nn++++=sigh
of ^in++++=of
content ^nn++++=content
and ^cc++++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
rising ^nvbg+++xvbg+=rising
from ^in++++=from
his ^pp$+pp3+++=his
chair ^nn++++=chair,
, ^zz++++=EXTRAWORD
crossed ^j+++xvbn+=crossed
over ^in++++=over
to ^in++++=to
the ^ati++++=the
settle ^vb++++=settle
and ^cc++++=and,
, ^zz++++=EXTRAWORD
placing ^nvbg+++xvbg+=placing
his ^pp$+pp3+++=his
mug ^nn++++=mug
on ^in++++=on
the ^ati++++=the
time ^nn++++=time-worn
- ^zz++++=EXTRAWORD
worn ^jj+atrb++xvbn+=EXTRAWORD
table ^nn++++=table
before ^in++++=before
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
began ^j+++xvbn+=began
to ^to++++=to
fill ^vbi++++=fill
his ^pp$+pp3+++=his
pipe ^nn++++=pipe.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
man ^nn++++=man
took ^vbd+++xvbn+=took
a ^at++++=a
spill ^nn++++=spill
from ^in++++=from
the ^ati++++=the
table ^nn++++=table
and ^cc++++=and,
, ^zz++++=EXTRAWORD
holding ^vbg+vprv++xvbg+=holding
it ^pp3+it+++=it
with ^in++++=with
trembling ^xvbg+++xvbg+=trembling
fingers ^nns+nom+++=fingers
to ^in++++=to
the ^ati++++=the
blaze ^nn++++=blaze,
, ^zz++++=EXTRAWORD
gave ^j+++xvbn+=gave
him ^pp3o+pp3+++=him
a ^at++++=a
light ^nn++++=light.
. ^zz++++=EXTRAWORD
The ^ati++++=The
other ^ap++++=other
thanked ^jj+++xvbn+=thanked
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
leaning ^vbg+++xvbg+=leaning
back ^jjb++++=back
in ^in++++=in
his ^pp$+pp3+++=his
corner ^nn++++=corner
of ^in++++=of
the ^ati++++=the
settle ^vb++++=settle,
, ^zz++++=EXTRAWORD
watched ^j+++xvbn+=watched
the ^ati++++=the
smoke ^nn++++=smoke
of ^in++++=of
his ^pp$+pp3+++=his
pipe ^nn++++=pipe
through ^in++++=through
half ^abn++++=half-closed
- ^zz++++=EXTRAWORD
closed ^jj+atrb++xvbn+=EXTRAWORD
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
assented ^vbd+++xvbn+=assented
drowsily ^rb++++=drowsily
to ^in++++=to
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man's
's ^$++++=EXTRAWORD
remarks ^nns++++=remarks
upon ^in++++=upon
the ^ati++++=the
weather ^nn++++=weather.
. ^zz++++=EXTRAWORD
" ^zz++++="Bad
bad ^jj+atrb+++=EXTRAWORD
time ^nn++++=time
of ^in++++0=o'
the ^ati++++=the
year ^nn++++=year
for ^in++++=for
going ^xvbg+++xvbg+=going
about ^rb+cnj+++=about,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
latter ^ap++++=latter,
, ^zz++++=EXTRAWORD
" ^zz++++="though
though ^cs+sub+++=EXTRAWORD
I ^pp1a+pp1+++=I
s ^zz++++=s'pose
'pose ^nn+++??+=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
can ^md+pos+++=can
eat ^vb++++=eat
and ^cc+phrs+++=and
drink ^vb++++=drink
as ^ql++++=as
much ^ap++++=much
as ^ql++++=as
you ^pp2+pp2+++=you
want ^vb++++=want
it ^pp3+it+++=it
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
matter ^nn++++=matter.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
s ^zz++++=s'pose
'pose ^nn+++??+=EXTRAWORD
you ^pp2+pp2+++=you
might ^md+pos+++=mightn't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
a ^at++++=a
conjurer ^nn++++=conjurer
from ^in++++=from
London ^np++++=London,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
traveller ^nn+nom+++=traveller
shook ^vbd+++xvbn+=shook
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
' ^zz++++='oping
oping ^jj+++xvbg+=EXTRAWORD
you ^pp2+pp2+++=you
might ^md+pos+++=might
be ^vb+be+vrb++=be,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man.
. ^zz++++=EXTRAWORD
The ^ati++++=The
other ^ap++++=other
manifested ^jj+++xvbn+=manifested
no ^at++++=no
curiosity ^nn+nom+++=curiosity.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
' ^zz++++='ad
ad ^&fw++++=EXTRAWORD
been ^vprf+ben+vrb+xvbn+=been,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vpsv++agls+xvbn+=said
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
sigh ^nn++++=sigh,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
should ^md+nec+++=should
ha ^uh++++=ha'
' ^zz++++=EXTRAWORD
asked ^vbn+vsua+tht0+xvbn+=asked
you ^pp2+pp2+++=you
to ^to++++=to
ha ^uh++++=ha'
' ^zz++++=EXTRAWORD
done ^vwbn+++xvbn+=done
something ^pn++++=something
useful ^jj++++=useful.
. ^zz++++=EXTRAWORD
Gin ^nn++++=Gin'rally
'rally ^rb++++0=EXTRAWORD
speaking ^jj+++xvbg+=speaking,
, ^zz++++=EXTRAWORD
conjurers ^nns+nom+++=conjurers
do ^vb+do+vrb++=do
things ^nns++++=things
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
no ^at++++=no
use ^nn++++=use
to ^in++++=to
anyone ^pn++++=anyone;
; ^zz++++=EXTRAWORD
wot ^wpr++++=wot
I ^pp1a+pp1+++=I
should ^md+nec+++=should
like ^vb++++=like
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
a ^at++++=a
conjurer ^jjr++++=conjurer
do ^vb+do+aux++=do
would ^md+prd+++=would
be ^vb+be+aux++=be
to ^to++++=to
make ^vbi++++=make
this ^dt+dem+++=this
' ^zz++++='ere
ere ^nn+++??+=EXTRAWORD
empty ^jj+atrb+++=empty
mug ^nn++++=mug
full ^jj++++=full
of ^in++++0=o'
beer ^nn++++=beer
and ^cc++++=and
this ^dt+dem+++=this
empty ^jj+atrb+++=empty
pipe ^nn++++=pipe
full ^jj++++=full
of ^in++++0=o'
shag ^nn+++??+=shag
tobacco ^nn++++=tobacco.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
wot ^wpr++++=wot
I ^pp1a+pp1+++=I
should ^md+nec+++=should
ha ^uh++++=ha'
' ^zz++++=EXTRAWORD
made ^xvbn+++xvbn+=made
bold ^np++++=bold
to ^to++++=to
ask ^vbi++++=ask
you ^pp2+pp2+++=you
to ^to++++=to
do ^vbi++++=do
if ^cs+cnd+++=if
you ^pp2+pp2+++=you'd
'd ^vbd+hvd+aux++0=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
one ^pn++++=one."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
traveller ^nn+nom+++=traveller
sighed ^vbd+++xvbn+=sighed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
his ^pp$+pp3+++=his
short ^jj+atrb+++=short
briar ^nn++++=briar
pipe ^nn++++=pipe
from ^in++++=from
his ^pp$+pp3+++=his
mouth ^nn++++=mouth
by ^in++++=by
the ^ati++++=the
bowl ^nn++++=bowl,
, ^zz++++=EXTRAWORD
rapped ^j+++xvbn+=rapped
three ^cd++++=three
times ^nns++++=times
upon ^in++++=upon
the ^ati++++=the
table ^nn++++=table
with ^in++++=with
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
very ^ql+amp+++=very
short ^jj+atrb+++=short
time ^nn++++=time
a ^at++++=a
mug ^nn++++=mug
of ^in++++=of
ale ^nn++++=ale
and ^cc++++=and
a ^at++++=a
paper ^nn++++=paper
cylinder ^nn+nom+++=cylinder
of ^in++++=of
shag ^nn+++??+=shag
appeared ^vbd+seem++xvbn+=appeared
on ^in++++=on
the ^ati++++=the
table ^nn++++=table
before ^in++++=before
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man.
. ^zz++++=EXTRAWORD
" ^zz++++="Wot
wot ^wpr++++=EXTRAWORD
put ^vbd+++xvbn+=put
me ^pp1o+pp1+++=me
in ^in++++=in
mind ^nn++++=mind
of ^in++++0=o'
your ^pp$+pp2+++=your
being ^vbg+beg++xvbg+=being
a ^at++++=a
conjurer ^jjr++++=conjurer,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
latter ^ap++++=latter,
, ^zz++++=EXTRAWORD
filling ^vbg+nom++xvbg+=filling
his ^pp$+pp3+++=his
pipe ^nn++++=pipe
after ^in++++=after
a ^at++++=a
satisfying ^jj+atrb++xvbg+=satisfying
draught ^nn++++=draught
from ^in++++=from
the ^ati++++=the
mug ^nn++++=mug,
, ^zz++++=EXTRAWORD
" ^zz++++="is
is ^vbz+bez+vrb++=EXTRAWORD
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
uncommon ^jj+pred+++=uncommon
like ^in++++=like
one ^cd1++++=one
that ^cs+sub+++=that
come ^vprf+++xvbn+=come
to ^in++++=to
Claybury ^np+++??+=Claybury
some ^dti++++=some
time ^nn++++=time
back ^jjb++++=back
and ^cc++++=and
give ^vb++++=give
a ^at++++=a
performance ^nn+nom+++=performance
in ^in++++=in
this ^dt+dem+++=this
very ^ap+amp+++=very
room ^nn++++=room
where ^wrb+who+++=where
we ^pp1a+pp1+++=we're
're ^vb+ber+vrb++0=EXTRAWORD
now ^rn+tm+++=now
a ^at++++=a-sitting.
- ^zz++++=EXTRAWORD
sitting ^vbg+++xvbg+=EXTRAWORD
. ^zz++++=EXTRAWORD
So ^ql++++=So
far ^rb+pl+++=far
as ^ql++++=as
looks ^nns++++=looks
go ^vb++++=go,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
might ^md+pos+++=might
be ^vb+be+vrb++=be
his ^pp$+pp3+++=his
brother ^nn++++=brother."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
traveller ^nn+nom+++=traveller
said ^vbd+vpub++xvbn+=said
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
never ^rb++++=never
had ^vb+hv+vrb++=had
a ^at++++=a
brother ^nn++++=brother.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
' ^zz++++='e
e ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
conjurer ^nn++++=conjurer
at ^in++++=at
fust ^nn+++??+=fust,
, ^zz++++=EXTRAWORD
said ^j+++xvbn+=said
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
' ^zz++++='ad
ad ^&fw++++=EXTRAWORD
come ^vb++++=come
down ^rp++++=down
for ^in++++=for
Wickham ^np+++??+=Wickham
Fair ^nn++++=Fair
and ^cc++++=and,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
a ^at++++=a
day ^nn++++=day
or ^cc++++=or
two ^cd++++=two
before ^in++++=before
' ^zz++++='and,
and ^cc++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++='e
e ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
going ^vbg+++xvbgx+=going
to ^in++++=to
different ^jj+atrb+++=different
villages ^nns+nom+++=villages
round ^in++++=round
about ^md"++pmd"++=about
to ^md+prd+++=to
give ^vb++++=give
performances ^nns+nom+++=performances.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
came ^vbd+++xvbnx+=came
into ^in+ppvb+++=into
the ^ati++++=the
bar ^nn++++=bar
' ^zz++++='ere
ere ^nn+++??+=EXTRAWORD
and ^cc++++=and
ordered ^vbd+vsua++xvbn+=ordered
a ^at++++=a
mug ^nn++++=mug
of ^in++++0=o'
beer ^nn++++=beer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
while ^cs+sub+++=while
' ^zz++++='e
e ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a-drinking
- ^zz++++=EXTRAWORD
drinking ^vbg+++xvbg+=EXTRAWORD
of ^in++++=of
it ^pp3+it+++=it
stood ^vbd+++xvbn+=stood
talking ^vbg+++xvbg+=talking
about ^in++++=about
the ^ati++++=the
weather ^nn++++=weather.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
' ^zz++++='e
e ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
Bill ^nn++++=Bill
Chambers ^nns+nom+++=Chambers
to ^in++++=to
excuse ^nn++++=excuse
' ^zz++++='im
im ^&fw++++=EXTRAWORD
for ^in++++=for
taking ^xvbg+++xvbg+=taking
the ^ati++++=the
liberty ^nn++++=liberty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
putting ^vbg+++xvbg+=putting
his ^pp$+pp3+++=his
' ^zz++++='and
and ^cc++++=EXTRAWORD
to ^in++++=to
Bill ^np++++=Bill's
's ^$++++=EXTRAWORD
mug ^nn++++=mug,
, ^zz++++=EXTRAWORD
took ^j+++xvbn+=took
out ^rp+pl+++=out
a ^at++++=a
live ^vb++++=live
frog ^nn+++??+=frog.
. ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
was ^vbd+bedz+vrb++=was
a ^at++++=a
very ^ql+amp+++=very
partikler ^jjr+atrb+++=partikler
man ^nn++++=man
about ^in++++=about
wot ^wpr++++=wot
' ^zz++++='e
e ^zz++++=EXTRAWORD
drunk ^vbd+++xvbn+=drunk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
he ^pp3a+pp3+++0=he'd
'd ^md+prd+vrb++=EXTRAWORD
ha ^uh++++=ha'
' ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
a ^at++++=a
fit ^nn++++=fit.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
on ^in++++=on
at ^rb++++=at
Smith ^np++++=Smith,
, ^zz++++=EXTRAWORD
the ^ati++++=the
landlord ^nn++++=landlord,
, ^zz++++=EXTRAWORD
something ^pn++++=something
shocking ^jj+++xvbg+=shocking,
