Married ^vbd+++xvbn+=Married
On ^in++++=On
Tuesday ^nr++++=Tuesday,
, ^zz++++=EXTRAWORD
May ^md+pos+++=May
11 ^cd++++=11,
, ^zz++++=EXTRAWORD
Eleanor ^np++++=Eleanor
Gail ^np+++??+=Gail
to ^in++++=to
Charles ^np++++=Charles
Faraday ^np+++??+=Faraday.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
bearing ^vbg+++xvbg+=bearing
the ^ati++++=the
shape ^nn++++=shape
of ^in++++=of
a ^at++++=a
wedding ^nn++++=wedding
announcement ^nn+nom+++=announcement
could ^md+pos+++=could
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
less ^rbr++++=less
obtrusive ^jj++++=obtrusive
than ^in++++=than
the ^ati++++=the
foregoing ^nn++++=foregoing
hidden ^vbd+++xvbn+=hidden
in ^in++++=in
a ^at++++=a
remote ^jj+atrb+++=remote
corner ^nn++++=corner
of ^in++++=of
the ^ati++++=the
Plymdale ^np+++??+=Plymdale
Promulgator ^np+++??+=Promulgator,
, ^zz++++=EXTRAWORD
clothed ^xvbn+++xvbn+=clothed
in ^in++++=in
the ^ati++++=the
palest ^jjt++++=palest
and ^cc+phrs+++=and
smallest ^jjt++++=smallest
of ^in++++=of
type ^nn++++=type,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
modestly ^rb++++=modestly
wedged ^vbd+++xvbn+=wedged
in ^in++++=in
between ^in++++=between
the ^ati++++=the
big ^jj++++=big,
, ^zz++++=EXTRAWORD
black ^jj++++=black-lettered
- ^zz++++=EXTRAWORD
lettered ^jj+atrb++xvbn+=EXTRAWORD
offer ^nn++++=offer
of ^in++++=of
the ^ati++++=the
Promulgator ^np+++??+=Promulgator
to ^in++++=to
mail ^nn++++=mail
itself ^ppl++++=itself
free ^jj++++=free
of ^in++++=of
extra ^jj+atrb+++=extra
charge ^nn++++=charge
to ^in++++=to
subscribers ^nns+nom+++=subscribers
