Four ^cd++++=Four
of ^in++++=of
the ^ati++++=the
five ^cd++++=five
men ^nns++++=men
who ^whp+rel+subj++=who
sat ^vbd+++xvbn+=sat
around ^in++++=around
the ^ati++++=the
card ^nn++++=card-table
- ^zz++++=EXTRAWORD
table ^nn++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
cabin ^nn++++=cabin
of ^in++++=of
the ^ati++++=the
" ^zz++++="Merry
merry ^jj+atrb+++=EXTRAWORD
Witch ^nn++++=Witch"
" ^zz++++=EXTRAWORD
regarded ^vbd+++xvbn+=regarded
the ^ati++++=the
fifth ^nn++++=fifth
man ^nn++++=man
with ^in++++=with
a ^at++++=a
steady ^jj+atrb+++=steady,
, ^zz++++=EXTRAWORD
implacable ^jj+atrb+++=implacable
look ^nn++++=look
of ^in++++=of
scorn ^nn++++=scorn.
. ^zz++++=EXTRAWORD
The ^ati++++=The
solitary ^jj+atrb+++=solitary
one ^cd1++++=one
could ^md+pos+++=could
not ^xnot++not++=not
face ^nn++++=face
that ^tht+rel+++=that
terrible ^jj+atrb+++=terrible
glance ^nn++++=glance.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
head ^nn++++=head
drooped ^vbd+++xvbn+=drooped,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
gaze ^nn++++=gaze
rested ^vbd+++xvbn+=rested
upon ^in++++=upon
some ^dti++++=some
cards ^nns++++=cards
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
idly ^rb++++=idly
fumbled ^vbd+++xvbn+=fumbled
as ^ql++++=as
he ^pp3a+pp3+++=he
waited ^vbd+++xvbnx+=waited,
, ^zz++++=EXTRAWORD
numbed ^j+++xvbn+=numbed
and ^cc+phrs+++=and
listless ^jj++++=listless,
, ^zz++++=EXTRAWORD
to ^to++++=to
hear ^vbi+vprv+tht0++=hear
his ^pp$+pp3+++=his
sentence ^nn+nom+++=sentence.
. ^zz++++=EXTRAWORD
The ^ati++++=The
more ^rbr++++=more
masterful ^jj+atrb+++=masterful
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
four ^cd++++=four
made ^vprf+++xvbn+=made
a ^at++++=a
disdainful ^jj+atrb+++=disdainful
gesture ^nn++++=gesture
towards ^in++++=towards
the ^ati++++=the
craven ^np++++=craven
one ^pn++++=one,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thus ^rb+cnj+++=thus
addressed ^vbd+++xvbn+=addressed
the ^ati++++=the
others ^aps++++=others:
: ^zz++++=EXTRAWORD
" ^zz++++="Gentlemen,
gentlemen ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
none ^pn++++=none
of ^in++++=of
us ^pp1o+pp1+++=us
can ^md+pos+++=can
have ^vb+hv+aux++=have
forgotten ^vprf+++xvbnx+=forgotten
the ^ati++++=the
terms ^nns++++=terms
of ^in++++=of
our ^pp$+pp1+++=our
compact ^jj++++=compact.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
agreed ^vpsv++agls+xvbnx+=agreed
at ^rb++++=at
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
of ^in++++=of
this ^dt+dem+++=this
expedition ^nn+nom+++=expedition
that ^tht+rel+++=that
only ^rb+down+++=only
men ^nns++++=men
of ^in++++=of
unflinching ^jj+atrb+++=unflinching
integrity ^nn+nom+++=integrity
should ^md+nec+++=should
be ^vb+be+aux++=be
permitted ^vpsv++agls+xvbnx+=permitted
to ^to+vcmp+++=to
participate ^nn+nom+++=participate
in ^in++++=in
its ^pp$+it+++=its
known ^vbn+vprv++xvbn+=known
dangers ^nns+nom+++=dangers
and ^cc++++=and
possible ^jj+atrb+++=possible
rewards ^nns++++=rewards.
. ^zz++++=EXTRAWORD
To ^to++++=To
find ^vbi+vprv+++=find
and ^cc+phrs+++=and
secure ^vb++++=secure
the ^ati++++=the
magnificent ^jj+atrb+++=magnificent
treasure ^nn++++=treasure
which ^whp+rel+obj++=which
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
seeking ^vbg+++xvbgx+=seeking
with ^in++++=with
a ^at++++=a
sure ^jj+atrb+++=sure
prospect ^nn++++=prospect
of ^in++++=of
discovering ^xvbg+++xvbg+=discovering
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
must ^md+nec+++=must
run ^vb+++xvbn+=run
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
encounters ^nns+nom+++=encounters
with ^in++++=with
savage ^jj+atrb+++=savage
Mexican ^jj+atrb+++=Mexican
soldiers ^nns+nom+++=soldiers
and ^cc++++=and
marines ^nns++++=marines,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
take ^vb++++=take
all ^rb++++=all
the ^ati++++=the
other ^ap++++=other
dangerous ^jj+atrb+++=dangerous
chances ^nns+nom+++=chances
of ^in++++=of
which ^whp+rel+pied++=which
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
aware ^jj+pred+++=aware.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
charterer ^nn++++=charterer
of ^in++++=of
this ^dt+dem+++=this
vessel ^nn++++=vessel
and ^cc++++=and
the ^ati++++=the
leader ^nn++++=leader
of ^in++++=of
the ^ati++++=the
expedition ^nn+nom+++=expedition
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
exercised ^vprf+++xvbnx+=exercised
extraordinary ^jj+atrb+++=extraordinary
care ^nn++++=care
in ^in++++=in
selecting ^xvbg+++xvbg+=selecting
my ^pp$+pp1+++=my
associates ^nns+nom+++=associates.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
and ^cc++++=and
still ^rb++++=still
are ^vb+ber+vrb++=are
equals ^nns++++=equals,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
leadership ^nn+nom+++=leadership
as ^in++++=as
the ^ati++++=the
outfitter ^nn++++=outfitter
of ^in++++=of
the ^ati++++=the
expedition ^nn+nom+++=expedition
gives ^vbz++++=gives
me ^pp1o+pp1+++=me
no ^at++++=no
advantage ^nn+nom+++=advantage
in ^in++++=in
the ^ati++++=the
sharing ^jj+++xvbg+=sharing
of ^in++++=of
the ^ati++++=the
treasure ^nn++++=treasure.
. ^zz++++=EXTRAWORD
As ^ql++++=As
such ^abl++++=such
leader ^nn++++=leader,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
in ^in++++=in
authority ^nn+nom+++=authority,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
have ^vb+hv+aux++=have
employed ^vprf+++xvbnx+=employed,
, ^zz++++=EXTRAWORD
unsuspected ^jj++++=unsuspected
by ^in++++=by
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
