There ^ex+pex+++=THERE
was ^vbd+bedz+vrb++=was
once ^rb+tm+++=once
a ^rb++++=a
little ^rb"++++=little
boy ^nn++++=boy
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
cold ^jj++++=cold
by ^in++++=by
going ^xvbg+++xvbg+=going
out ^rp+pl+++=out
and ^cc++++=and
getting ^vbg+++xvbg+=getting
his ^pp$+pp3+++=his
feet ^nns++++=feet
wet ^jj++++=wet.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
could ^md+pos+++=could
think ^vb+vprv+++=think
how ^wrb+who+whcl++=how
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
managed ^vprf+++xvbnx+=managed
to ^to+vcmp+++=to
do ^vbi++++=do
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
weather ^nn++++=weather
was ^vbd+bedz+vrb++=was
quite ^rb++++=quite
dry ^jj+pred+++=dry.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
mother ^nn++++=mother
undressed ^vwbn+++xvbn+=undressed
him ^pp3o+pp3+++=him
and ^cc++++=and
put ^vb+++xvbn+=put
him ^pp3o+pp3+++=him
to ^in++++=to
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
she ^pp3a+pp3+++=she
brought ^vbd+++xvbnx+=brought
in ^rb+phrv+++=in
the ^ati++++=the
teapot ^nn++++=teapot
to ^to++++=to
make ^vbi++++=make
him ^pp3o+pp3+++=him
a ^at++++=a
good ^jj+atrb+++=good
cup ^nn++++=cup
of ^in++++=of
elder ^jjr+atrb+++=elder
tea ^nn++++=tea,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
so ^ql++++=so
warming ^nvbg+++xvbg+=warming.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time
the ^ati++++=the
friendly ^jj+atrb+++=friendly
old ^jj+atrb+++=old
man ^nn++++=man
who ^whp+rel+subj++=who
lived ^vbd+++xvbn+=lived
all ^abn++++=all
alone ^rb++++=alone
at ^rb++++=at
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
the ^ati++++=the
house ^nn++++=house
came ^vbd+++xvbn+=came
in ^in++++=in
at ^in++++=at
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
neither ^dt++neg++=neither
wife ^nn++++=wife
nor ^cc++neg++=nor
child ^nn++++=child,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
fond ^jj++++=fond
of ^in++++=of
children ^nns++++=children
and ^cc++++=and
knew ^vbd+vprv++xvbn+=knew
so ^cs+sub+++=so
many ^ap++++=many
fairy ^nn++++=fairy
tales ^nns++++=tales
and ^cc++++=and
stories ^nns++++=stories
that ^tht+rel+obj++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
pleasure ^nn++++=pleasure
to ^to++++=to
hear ^vbi+vprv+++=hear
him ^pp3o+pp3+++=him
talk ^nn++++=talk.
. ^zz++++=EXTRAWORD
" ^zz++++="Now,
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
drink ^vb++++=drink
your ^pp$+pp2+++=your
tea ^nn++++=tea,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
" ^zz++++="very
very ^ql+amp+++=EXTRAWORD
likely ^jj++++=likely
you ^pp2+pp2+++=you
will ^md+prd+++=will
have ^vb+hv+vrb++=have
a ^at++++=a
story ^nn++++=story
in ^in++++=in
the ^ati++++=the
meantime ^nn++++=meantime."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc+cls+++=EXTRAWORD
how ^wrb+who+++=how
did ^vbd+dod+vrb++=did
the ^ati++++=the
little ^rb++++=little
fellow ^jjb++++=fellow
get ^vb++++=get
his ^pp$+pp3+++=his
feet ^nns++++=feet
wet ^jj++++=wet?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
he.. ^nn+++??+=he....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
could ^md+pos+++=could
think ^vb+vprv+++=think
of ^in++++=of
a ^at++++=a
new ^jj+atrb+++=new
one ^cd1++++=one
to ^to++++=to
tell ^vbi++++=tell,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc+cls+++=EXTRAWORD
how ^wrb+who+++=how
did ^vbd+dod+vrb++=did
the ^ati++++=the
little ^rb++++=little
fellow ^jjb++++=fellow
get ^vb++++=get
his ^pp$+pp3+++=his
feet ^nns++++=feet
wet ^jj++++=wet?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua+tht0+xvbn+=asked
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="Ah,"
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
what ^wdt+who+++=what
we ^pp1a+pp1+++=we
cannot ^md+pos+not++=cannot
make ^vb++++=make
out ^rp+pl+++=out."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Will
will ^md+prd+++=EXTRAWORD
you ^pp2+pp2+++=you
tell ^vb++++=tell
me ^pp1o+pp1+++=me
a ^at++++=a
story ^nn++++=story?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
boy ^nn++++=boy.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
can ^md+pos+++=can
tell ^vb++++=tell
me ^pp1o+pp1+++=me
exactly ^rb++++=exactly
how ^wrb+who+++=how
deep ^jj++++=deep
the ^ati++++=the
gutter ^nn++++=gutter
is ^vbz+bez+vrb++=is
in ^in++++=in
the ^ati++++=the
little ^ap++++=little
street ^nn++++=street
through ^in++++=through
which ^whp+rel+pied++=which
you ^pp2+pp2+++=you
go ^vb++++=go
to ^in++++=to
school ^nn++++=school."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Just
just ^rb+emph+++=EXTRAWORD
halfway ^rb++++=halfway
up ^in+cmpx+++=up
to ^in"++++=to
my ^pp$+pp1+++=my
knee ^nn++++=knee,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
promptly ^rb++++=promptly;
; ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
stand ^vb++++=stand
in ^in++++=in
the ^ati++++=the
deepest ^jjt+atrb+++=deepest
part ^nn++++=part."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
easy ^jj+pred+++=easy
to ^to+jcmp+++=to
see ^vbi+vprv+++=see
how ^wrb+who+whcl++=how
we ^pp1a+pp1+++=we
got ^vbd+++xvbn+=got
our ^pp$+pp1+++=our
feet ^nns++++=feet
wet ^jj++++=wet,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
I ^pp1a+pp1+++=I
suppose ^vb+vprv+tht0++=suppose
I ^pp1a+pp1+++=I
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
tell ^vb++++=tell
a ^at++++=a
story ^nn++++=story,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
really ^rb+emph+++=really
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
any ^dti++++=any
more ^rbr++++=more."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
can ^md+pos+++=can
make ^vb++++=make
up ^rp++++=up
one ^pn++++=one,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
boy ^nn++++=boy.
. ^zz++++=EXTRAWORD
" ^zz++++="Mother
mother ^nn++++=EXTRAWORD
says ^vbz+vpub+++=says
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
can ^md+pos+++=can
turn ^vb++++=turn
everything ^pn++++=everything
you ^pp2+pp2+++=you
look ^vb++++=look
at ^rb++++=at
into ^in++++=into
a ^at++++=a
story ^nn++++=story,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
everything ^pn++++=everything,
, ^zz++++=EXTRAWORD
even ^rb+cnj+++=even,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
touch ^nn++++=touch."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ah,
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
those ^dt+dem+++=those
tales ^nns++++=tales
and ^cc++++=and
stories ^nns++++=stories
are ^vb+ber+vrb++=are
worth ^in++++=worth
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
The ^ati++++=The
real ^jj+atrb+++=real
ones ^cd1s++++=ones
come ^vprf+++xvbn+=come
of ^in++++=of
themselves ^ppls+pp3+++=themselves;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
knock ^vb++++=knock
at ^rb++++=at
my ^pp$+pp1+++=my
forehead ^nn++++=forehead
and ^cc++++=and
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
' ^zz++++='Here
here ^rn+pl+++=EXTRAWORD
we ^pp1a+pp1+++=we
are! ^nn+++??+=are!'"
'" ^nn+++??+=EXTRAWORD
" ^zz++++="Won't
will ^md+prd+++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
there ^ex+pex+++=there
be ^vb+be+vrb++=be
a ^at++++=a
knock ^nn++++=knock
soon ^rb+tm+++=soon?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
boy ^nn++++=boy.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
his ^pp$+pp3+++=his
mother ^nn++++=mother
laughed ^vbd+++xvbn+=laughed
as ^ql++++=as
she ^pp3a+pp3+++=she
put ^vbd+++xvbnx+=put
elder ^jjr+atrb+++=elder
flowers[177 ^nn+++??+=flowers[177]
] ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
teapot ^nn++++=teapot
and ^cc++++=and
poured ^vbd+++xvbn+=poured
boiling ^nvbg+++xvbg+=boiling
water ^nn++++=water
over ^rp++++=over
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
tell ^vb++++=tell
me ^pp1o+pp1+++=me
a ^at++++=a
story ^nn++++=story."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
a ^at++++=a
story ^nn++++=story
comes ^vbz++++=comes
of ^in++++=of
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
tales ^nns++++=tales
and ^cc++++=and
stories ^nns++++=stories
are ^vb+ber+vrb++=are
very ^ql+amp+++=very
grand ^np++++=grand;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
only ^ap+down+++=only
come ^vprf+++xvbn+=come
when ^wrb+who+++=when
it ^pp3+it+++=it
pleases ^vbz++++=pleases
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Stop ^vb++++=Stop,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried
all ^rb++++=all
at ^rb++++=at
once ^rb"+tm+++=once,
, ^zz++++=EXTRAWORD
" ^zz++++="here
here ^rn+pl+++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
look ^vb++++=look!
! ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
story ^nn++++=story
in ^in++++=in
the ^ati++++=the
teapot ^nn++++=teapot
now ^rn+tm+++=now."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
little ^jj+atrb+++=little
boy ^nn++++=boy
looked ^vbd+++xvbn+=looked
at ^rb++++=at
the ^ati++++=the
teapot ^nn++++=teapot
and ^cc++++=and
saw ^vbd+vprv+tht0+xvbn+=saw
the ^ati++++=the
lid ^nn++++=lid
raise ^vb++++=raise
itself ^ppl++++=itself
gradually ^rb++++=gradually
and ^cc++++=and
long ^jj+atrb+++=long
branches ^nns++++=branches
stretch ^vb++++=stretch
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
even ^rb++++=even
from ^in++++=from
the ^ati++++=the
spout ^nn++++=spout,
, ^zz++++=EXTRAWORD
in ^in++++=in
all ^abn++++=all
directions ^nns+nom+++=directions
till ^cs+sub+++=till
they ^pp3a+pp3+++=they
became ^vbd+++xvbnx+=became
larger ^jjr++++=larger
and ^cc+phrs+++=and
larger ^jjr++++=larger,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
appeared ^vprf+++xvbn+=appeared
a ^at++++=a
great ^jj+atrb+++=great
elder ^jjr+atrb+++=elder
tree ^nn++++=tree
covered ^vbd+++xvbn+=covered
with ^in++++=with
flowers ^nns+nom+++=flowers
white ^jj++++=white
and ^cc+phrs+++=and
fresh ^jj++++=fresh.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
spread ^vbd+++xvbn+=spread
itself ^ppl++++=itself
even ^rb++++=even
to ^in++++=to
the ^ati++++=the
bed ^nn++++=bed
and ^cc++++=and
pushed ^vbd+++xvbn+=pushed
the ^ati++++=the
curtains ^nns++++=curtains
aside ^rp++++=aside,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
oh ^uh++++=oh,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
fragrant ^jj++++=fragrant
the ^ati++++=the
blossoms ^nns+++??+=blossoms
were ^vbd+bed+vrb++=were!
! ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
midst ^nn++++=midst
of ^in++++=of
the ^ati++++=the
tree ^nn++++=tree
sat ^vbd+++xvbn+=sat
a ^at++++=a
pleasant ^jj++++=pleasant-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
old ^jj+atrb+++=old
woman ^nn++++=woman
in ^in++++=in
a ^at++++=a
very ^ql+amp+++=very
strange ^jj+atrb+++=strange
dress ^nn++++=dress.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dress ^nn++++=dress
was ^vbd+bedz+vrb++=was
green ^nn++++=green,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
leaves ^nns++++=leaves
of ^in++++=of
the ^ati++++=the
elder ^jjr+atrb+++=elder
tree ^nn++++=tree,
