They ^pp3a+pp3+++=They
all ^abn++++=all
happened ^jj+++xvbn+=happened
on ^in++++=on
the ^ati++++=the
same ^ap++++=same
day ^nn++++=day.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
that ^dt+dem+++=that
day ^nn++++=day
was ^vbd+bedz+vrb++=was
a ^at++++=a
Saturday ^nr++++=Saturday,
, ^zz++++=EXTRAWORD
the ^ati++++=the
red ^jj+atrb+++=red
Saturday ^nr++++=Saturday
on ^in++++=on
which ^whp+rel+pied++=which,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
unforgettable ^jj+atrb+++=unforgettable
football ^nn++++=football
match ^nn++++=match
between ^in++++=between
Tottenham ^np++++=Tottenham
Hotspur ^np+++??+=Hotspur
and ^cc++++=and
the ^ati++++=the
Hanbridge ^np+++??+=Hanbridge
F.c ^np+++??+=F.C.
. ^zz++++=EXTRAWORD
( ^zz++++=(formed
formed ^vprf+++xvbn+=EXTRAWORD
regardless ^rb++++=regardless
of ^in++++=of
expense ^nn++++=expense
in ^in++++=in
the ^ati++++=the
matter ^nn++++=matter
of ^in++++=of
professionals ^nns+nom+++=professionals
to ^to++++=to
take ^vbi++++=take
the ^ati++++=the
place ^nn++++=place
of ^in++++=of
the ^ati++++=the
bankrupt ^nn++++=bankrupt
Knype ^np+++??+=Knype
F.c. ^np+++??+=F.C.),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
referee ^nn++++=referee
would ^md+prd+++=would
certainly ^rb++++=certainly
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
murdered ^vpsv++agls+xvbnx+=murdered
had ^vb+hv+vrb++=had
not ^xnot++not++=not
a ^at++++=a
Five ^cd++++=Five
Towns ^nns++++=Towns
crowd ^nn++++=crowd
observed ^vbd+vprv++xvbn+=observed
its ^pp$+it+++=its
usual ^jj+atrb+++=usual
miraculous ^jj+atrb+++=miraculous
self ^nn++++=self-restraint.
- ^zz++++=EXTRAWORD
restraint ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr
Cowlishaw ^np++++=Cowlishaw--aged
-- ^--+clp+++=EXTRAWORD
aged ^jj++++=EXTRAWORD
twenty ^cd++++=twenty-four,
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
fair ^jj++++=fair-haired
- ^zz++++=EXTRAWORD
haired ^jj+atrb+++=EXTRAWORD
bachelor ^nn++++=bachelor
with ^in++++=with
a ^at++++=a
weak ^jj+atrb+++=weak
moustache ^nn++++=moustache--had
-- ^--+clp+++=EXTRAWORD
had ^vbd+hvd+aux++=EXTRAWORD
bought ^vprf+++xvbnx+=bought
the ^ati++++=the
practice ^nn++++=practice
of ^in++++=of
the ^ati++++=the
retired ^jj+++xvbn+=retired
Mr ^npt++++=Mr
Rapper ^np++++=Rapper,
, ^zz++++=EXTRAWORD
a ^at++++=a
dentist ^nn+nom+++=dentist
of ^in++++=of
the ^ati++++=the
very ^ql+amp+++=very
old ^jj+atrb+++=old
school ^nn++++=school.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
native ^nn++++=native
of ^in++++=of
the ^ati++++=the
Five ^cd++++=Five
Towns ^nns++++=Towns.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
came ^vbd+++xvbnx+=came
from ^in+ppvb+++=from
St ^npt++++=St
Albans ^np+++??+=Albans,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done
the ^ati++++=the
deal ^nn++++=deal
through ^in++++=through
an ^at++++=an
advertisement ^nn+nom+++=advertisement
in ^in++++=in
the ^ati++++=the
Dentists ^nns+nom+++=Dentists'
' ^zz++++=EXTRAWORD
