They ^pp3a+pp3+++=They
began ^vbd+++xvbnx+=began
work ^nn++++=work
at ^rb++++=at
seven ^cd++++=seven-thirty,
- ^zz++++=EXTRAWORD
thirty ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
ten ^cd++++=ten
minutes ^nns++++=minutes
past ^jjb++++=past
eight ^cd++++=eight
every ^at++++=every
hammer ^nn++++=hammer
stopped ^vbd+++xvbn+=stopped.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
Senate ^np++++=Senate
Chamber ^nn++++=Chamber
and ^cc++++=and
in ^in++++=in
the ^ati++++=the
House ^nn++++=House,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
stairways ^rb++++=stairways
and ^cc++++=and
in ^in++++=in
the ^ati++++=the
corridors ^nns++++=corridors,
, ^zz++++=EXTRAWORD
in ^in++++=in
every ^at++++=every
office ^nn++++=office
from ^in++++=from
the ^ati++++=the
Governor ^np++++=Governor's
's ^vbz+bez+vrb++0=EXTRAWORD
to ^in++++=to
the ^ati++++=the
custodian ^jj+atrb+++=custodian's
's ^vbz+bez+aux++0=EXTRAWORD
they ^pp3a+pp3+++=they
laid ^vbd+++xvbnx+=laid
down ^rb+phrv+++=down
their ^pp$+pp3+++=their
implements ^nns+nom+++=implements
and ^cc++++=and
rose ^vpsv++agls+xvbn+=rose
to ^in++++=to
their ^pp$+pp3+++=their
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
A ^at++++=A
long ^rb++++=long
whistle ^nn++++=whistle
had ^vbd+hvd+aux++=had
sounded ^vprf+++xvbnx+=sounded
through ^in++++=through
the ^ati++++=the
building ^nvbg+++xvbg+=building.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
magic ^jj+pred+++=magic
in ^in++++=in
its ^pp$+it+++=its
note ^nn++++=note.
. ^zz++++=EXTRAWORD
" ^zz++++="What's
what ^wdt+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
matter ^nn++++=matter
with ^in++++=with
you ^pp2+pp2+++=you
fellows ^nns++++=fellows?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
attorney ^nn++++=attorney-general,
- ^zz++++=EXTRAWORD
general ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
swinging ^jj+++xvbg+=swinging
around ^rp++++=around
in ^in++++=in
his ^pp$+pp3+++=his
chair ^nn++++=chair.
. ^zz++++=EXTRAWORD
" ^zz++++="Strike,"
strike ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
declared ^vbd+vpub++xvbn+=declared
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
men ^nns++++=men,
, ^zz++++=EXTRAWORD
with ^in++++=with
becoming ^xvbg+++xvbg+=becoming
brevity ^nn+nom+++=brevity.
. ^zz++++=EXTRAWORD
" ^zz++++="Strike
strike ^nn++++=EXTRAWORD
of ^in++++=of
what ^wdt+who+++=what?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Carpet-Tackers'
carpet ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
tackers ^nns+nom+++=EXTRAWORD
' ^zz++++=EXTRAWORD
Union ^nn++++=Union
Number ^nn++++=Number
One ^pn++++=One,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
the ^ati++++=the
man ^nn++++=man,
, ^zz++++=EXTRAWORD
kindly ^rb++++=kindly
gathering ^vbg+++xvbg+=gathering
up ^rp++++=up
a ^ap++++=a
few ^ap"++++=few
tacks ^nns++++=tacks.
. ^zz++++=EXTRAWORD
" ^zz++++="Never
never ^rb++++=EXTRAWORD
heard ^vbd+vprv++xvbn+=heard
of ^in++++=of
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Organised
organised ^jj+++xvbn+=EXTRAWORD
last ^rb++++=last
night ^nn++++=night,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
carpet ^nn++++=carpet-tacker,
- ^zz++++=EXTRAWORD
tacker ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
putting ^vbg+++xvbg+=putting
on ^rb+phrv+++=on
his ^pp$+pp3+++=his
coat ^nn++++=coat.
. ^zz++++=EXTRAWORD
" ^zz++++="Well
well ^rb++++=EXTRAWORD
I ^pp1a+pp1+++=I'll--"
'll--" ^nn+++??+=EXTRAWORD
he ^pp3a+pp3+++=he
paused ^vbd+++xvbnx+=paused
expressively ^rb+cnj+++=expressively,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
inquired ^vbd+++xvbn+=inquired:
: ^zz++++=EXTRAWORD
" ^zz++++="What's
what ^wdt+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
your ^pp$+pp2+++=your
game ^nn++++=game?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
boss ^nn++++=boss,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
executive ^nn++++=executive
council ^nn++++=council
that ^tht+rel+subj++=that
runs ^vbz++++=runs
the ^ati++++=the
State ^nn++++=State-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
has ^vbz+hvz+aux++=has
refused ^vprf+++xvbnx+=refused
our ^pp$+pp1+++=our
demands ^nns++++=demands."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
are ^vb+ber+aux++=are
your ^pp$+pp2+++=your
demands ^vbz+vsua+++=demands?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Double
double ^jj+atrb+++=EXTRAWORD
pay ^nn++++=pay."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Double
double ^jj+atrb+++=EXTRAWORD
pay ^nn++++=pay!
! ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
how ^wrb+who+whq++=how
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
figure ^nn++++=figure
it ^pp3+it+++=it
out ^rp+pl+++=out
that ^cs+sub+++=that
you ^pp2+pp2+++=you
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
have ^vbi++vrb++=have
double ^jj+atrb+++=double
pay ^nn++++=pay?"
? ^zz++++=EXTRAWORD
