Of ^in++++=Of
Herbert ^np++++=Herbert
West ^np+pl+++=West,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
my ^pp$+pp1+++=my
friend ^nn++++=friend
in ^in++++=in
college ^nn++++=college
and ^cc++++=and
in ^in++++=in
after ^in++++=after
life ^nn++++=life,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
speak ^vb++++=speak
only ^rb+down+++=only
with ^in++++=with
extreme ^jj+atrb+++=extreme
terror ^nn++++=terror.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
terror ^nn++++=terror
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
due ^jj++++=due
altogether ^nn+nom+++=altogether
to ^in++++=to
the ^ati++++=the
sinister ^jj+atrb+++=sinister
manner ^nn++++=manner
of ^in++++=of
his ^pp$+pp3+++=his
recent ^jj+atrb+++=recent
disappearance ^nn+nom+++=disappearance,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
was ^vbd+bedz+aux++=was
engendered ^vwbn+++xvbn+=engendered
by ^in++++=by
the ^ati++++=the
whole ^jj+atrb+++=whole
nature ^nn++++=nature
of ^in++++=of
his ^pp$+pp3+++=his
life ^nn++++=life-work,
- ^zz++++=EXTRAWORD
work ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
first ^od++++=first
gained ^vprf+++xvbn+=gained
its ^pp$+it+++=its
acute ^jj+atrb+++=acute
form ^nn++++=form
more ^rbr++++=more
than ^in++++=than
seventeen ^cd++++=seventeen
years ^nns++++=years
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
in ^in++++=in
the ^ati++++=the
third ^nn++++=third
year ^nn++++=year
of ^in++++=of
our ^pp$+pp1+++=our
course ^nn++++=course
at ^rb++++=at
the ^ati++++=the
Miskatonic ^np+++??+=Miskatonic
University ^nn+nom+++=University
Medical ^jj+atrb+++=Medical
School ^nn++++=School
in ^in++++=in
Arkham ^np+++??+=Arkham.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
with ^in++++=with
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
the ^ati++++=the
wonder ^nn++++=wonder
and ^cc++++=and
diabolism ^nn+nom+++=diabolism
of ^in++++=of
his ^pp$+pp3+++=his
experiments ^nns+nom+++=experiments
fascinated ^vwbn+++xvbn+=fascinated
me ^pp1o+pp1+++=me
utterly ^rb+cnj+++=utterly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
closest ^jjt+atrb+++=closest
companion ^nn++++=companion.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
gone ^vpsv++agls+xvbnx+=gone
and ^cc++++=and
the ^ati++++=the
spell ^nn++++=spell
is ^vbz+bez+aux++=is
broken ^vpsv++agls+xvbnx+=broken,
, ^zz++++=EXTRAWORD
the ^ati++++=the
actual ^jj+atrb+++=actual
fear ^nn++++=fear
is ^vbz+bez+vrb++=is
greater ^jjr+pred+++=greater.
. ^zz++++=EXTRAWORD
Memories ^nns++++=Memories
and ^cc++++=and
possibilities ^nns+nom+++=possibilities
are ^vb+ber+vrb++=are
ever ^rb++++=ever
more ^rbr++++=more
hideous ^jj++++=hideous
than ^in++++=than
realities ^nns+nom+++=realities.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^rb++++=first
horrible ^jj+atrb+++=horrible
incident ^nn++++=incident
of ^in++++=of
our ^pp$+pp1+++=our
acquaintance ^nn+nom+++=acquaintance
was ^vbd+bedz+vrb++=was
the ^ati++++=the
greatest ^jjt+atrb+++=greatest
shock ^nn++++=shock
I ^pp1a+pp1+++=I
ever ^rb++++=ever
experienced ^jj+++xvbn+=experienced,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
only ^rb+down+++=only
with ^in++++=with
reluctance ^nn+nom+++=reluctance
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
repeat ^vb++++=repeat
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
As ^ql++++=As
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
said ^vprf+++xvbnx+=said,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
happened ^vbd+++xvbn+=happened
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
in ^in++++=in
the ^ati++++=the
medical ^jj+atrb+++=medical
school ^nn++++=school
1 ^zz++++=1
where ^wrb+who+++=where
West ^np+pl+++=West
had ^vb+hv+aux++=had
already ^rb++splt++=already
made ^vprf+++xvbnx+=made
himself ^ppl+pp3+++=himself
notorious ^jj++++=notorious
through ^in++++=through
his ^pp$+pp3+++=his
wild ^jj+atrb+++=wild
theories ^nns++++=theories
on ^in++++=on
the ^ati++++=the
nature ^nn++++=nature
of ^in++++=of
death ^nn++++=death
and ^cc++++=and
the ^ati++++=the
possibility ^nn+nom+++=possibility
of ^in++++=of
overcoming ^xvbg+++xvbg+=overcoming
it ^pp3+it+++=it
artificially ^rb++++=artificially.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
views ^nns++++=views,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+aux++=were
widely ^rb++splt++=widely
ridiculed ^vpsv++by+xvbnx+=ridiculed
by ^in++++=by
the ^ati++++=the
faculty ^nn++++=faculty
and ^cc++++=and
by ^in++++=by
his ^pp$+pp3+++=his
fellow ^jjb++++=fellow-students,
- ^zz++++=EXTRAWORD
students ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
hinged ^jj++++=hinged
on ^in++++=on
the ^ati++++=the
essentially ^rb+down+++=essentially
mechanistic ^jj+atrb+++=mechanistic
nature ^nn++++=nature
of ^in++++=of
life ^nn++++=life;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
concerned ^xvbn+++xvbn+=concerned
means ^nns++++=means
for ^in++++=for
operating ^xvbg+++xvbg+=operating
the ^ati++++=the
organic ^jj+atrb+++=organic
machinery ^nn+nom+++=machinery
of ^in++++=of
mankind ^nn++++=mankind
by ^in++++=by
calculated ^vbd+vprv++xvbn+=calculated
chemical ^jj+atrb+++=chemical
action ^nn++++=action
after ^in++++=after
the ^ati++++=the
failure ^nn++++=failure
of ^in++++=of
natural ^jj+atrb+++=natural
processes ^nns+nom+++=processes.
. ^zz++++=EXTRAWORD
In ^in++++=In
his ^pp$+pp3+++=his
experiments ^nns+nom+++=experiments
with ^in++++=with
various ^jj+atrb+++=various
animating ^jj+atrb++xvbg+=animating
solutions ^nns+nom+++=solutions,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
killed ^vprf+++xvbnx+=killed
and ^cc+phrs+++=and
treated ^vbd+++xvbn+=treated
immense ^jj+atrb+++=immense
numbers ^nns+nom+++=numbers
of ^in++++=of
rabbits ^nns++++=rabbits,
, ^zz++++=EXTRAWORD
guinea ^np++++=guinea-pigs,
- ^zz++++=EXTRAWORD
pigs ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
cats ^nns++++=cats,
, ^zz++++=EXTRAWORD
dogs ^nns++++=dogs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
monkeys ^nns++++=monkeys,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
the ^ati++++=the
prime ^jjb+atrb+++=prime
nuisance ^nn+nom+++=nuisance
of ^in++++=of
the ^ati++++=the
college ^nn++++=college.
. ^zz++++=EXTRAWORD
Several ^ap++++=Several
times ^nns++++=times
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
actually ^rb+amp+splt++=actually
obtained ^vprf+++xvbnx+=obtained
signs ^nns++++=signs
of ^in++++=of
life ^nn++++=life
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
animals ^nns+nom+++=animals
supposedly ^rb++++=supposedly
dead ^jj++++=dead;
; ^zz++++=EXTRAWORD
in ^in++++=in
many ^ap++++=many
cases ^nns++++=cases
violent ^jj+atrb+++=violent
sign ^nn++++=sign
5 ^zz++++=5;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
soon ^rb+tm+++=soon
saw ^vbd+vprv++xvbn+=saw
that ^tht+vcmp+++=that
the ^ati++++=the
perfection ^nn+nom+++=perfection
of ^in++++=of
his ^pp$+pp3+++=his
process ^nns+nom+++=process,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
indeed ^qlp++++=indeed
possible ^jj++++=possible,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
necessarily ^rb++splt++=necessarily
involve ^vb++++=involve
a ^at++++=a
lifetime ^nn++++=lifetime
of ^in++++=of
research ^nn++++=research.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
likewise ^rb+cnj+++=likewise
became ^vbd+++xvbn+=became
clear ^jj++++=clear
that ^tht+jcmp+++=that,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
the ^ati++++=the
same ^ap++++=same
solution ^nn+nom+++=solution
never ^rb++++=never
worked ^vbd+++xvbn+=worked
alike ^rb++++=alike
on ^in++++=on
different ^jj+atrb+++=different
organic ^jj+atrb+++=organic
species ^nn++++=species,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
require ^vb+vsua+++=require
human ^jj+atrb+++=human
subjects ^nns++++=subjects
for ^in++++=for
further ^jjb++++=further
and ^cc++++=and
more ^rbr++++=more
specialised ^jj+atrb++xvbn+=specialised
progress ^nns+nom+++=progress.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
here ^rn+pl+++=here
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
first ^rb++++=first
came ^vbd+++xvbn+=came
into ^in+ppvb+++=into
conflict ^nn++++=conflict
with ^in++++=with
the ^ati++++=the
college ^nn++++=college
authorities ^nns+nom+++=authorities,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
debarred ^vpsv++agls+xvbnx+=debarred
from ^in++++=from
future ^jjb+atrb+++=future
experiments ^nns+nom+++=experiments
by ^in++++=by
no ^at++++=no
less ^rbr++++=less
a ^at++++=a
dignitary ^nn+nom+++=dignitary
than ^in++++=than
the ^ati++++=the
dean ^np++++=dean
of ^in++++=of
the ^ati++++=the
medical ^jj+atrb+++=medical
school ^nn++++=school
himself ^ppl+pp3+++=himself
- ^zz++++=-the
the ^ati++++=EXTRAWORD
learned ^jj+atrb++xvbn+=learned
and ^cc+phrs+++=and
benevolent ^jj+atrb+++=benevolent
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Allan ^np++++=Allan
Halsey ^np++++=Halsey,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
work ^nn++++=work
in ^in++++=in
behalf ^in"++++=behalf
of ^in"++++=of
the ^ati++++=the
stricken ^jj++++=stricken
is ^vbz+bez+aux++=is
recalled ^vpsv++by+xvbnx+=recalled
by ^in++++=by
every ^at++++=every
old ^jj+atrb+++=old
resident ^nn++++=resident
of ^in++++=of
Arkham ^np+++??+=Arkham.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
always ^rb++splt++=always
been ^vprf+ben+vrb+xvbnx+=been
exceptionally ^rb++++=exceptionally
tolerant ^jj++++=tolerant
of ^in++++=of
Wests ^np+++??+=Wests
pursuits ^nns++++=pursuits,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
frequently ^rb++++=frequently
discussed ^vbd+++xvbn+=discussed
his ^pp$+pp3+++=his
theories ^nns++++=theories,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
ramifications ^nns+nom+++=ramifications
and ^cc++++=and
corollaries ^nns++++=corollaries
were ^vbd+bed+vrb++=were
almost ^rb+hdg+++=almost
infinite ^jj+pred+++=infinite.
. ^zz++++=EXTRAWORD
Holding ^vbg+vprv++xvbg+=Holding
with ^in+ppvb+++=with
Haeckel ^np+++??+=Haeckel
that ^tht+rel+++=that
all ^abn++++=all
life ^nn++++=life
is ^vbz+bez+vrb++=is
a ^at++++=a
chemical ^jj+atrb+++=chemical
and ^cc+phrs+++=and
physical ^jj+atrb+++=physical
process ^nns+nom+++=process,
, ^zz++++=EXTRAWORD
