No ^at++++=No
one ^cd1++++=one
intended ^vb+++xvbn+=intended
to ^to+vcmp+++=to
leave ^vbi++++=leave
Martha ^np+++??+=Martha
alone ^rb++++=alone
that ^dt+dem+++=that
afternoon ^nn++++=afternoon,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
happened ^vbd+++xvbn+=happened
that ^dt+dem+++=that
everyone ^pn++++=everyone
was ^vbd+bedz+aux++=was
called ^vpsv++agls+xvbnx+=called
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
for ^in++++=for
one ^cd1++++=one
reason ^nn++++=reason
or ^cc++++=or
another ^dt++++=another.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Mcfarland ^np++++=McFarland
was ^vbd+bedz+aux++=was
attending ^vbg+++xvbgx+=attending
the ^ati++++=the
weekly ^jj+atrb+++=weekly
card ^nn++++=card
party ^nn++++=party
held ^vwbn+vprv++xvbn+=held
by ^in++++=by
the ^ati++++=the
Women ^np++++=Women's
's ^$++++=EXTRAWORD
Anti ^np+++??+=Anti-Gambling
- ^zz++++=EXTRAWORD
gambling ^nn+nom+++=EXTRAWORD
League ^nn++++=League.
. ^zz++++=EXTRAWORD
Sister ^nn++++=Sister
Nell ^np++++=Nell's
's ^$++++=EXTRAWORD
young ^jj+atrb+++=young
man ^nn++++=man
had ^vbd+hvd+aux++=had
called ^vprf+++xvbnx+=called
quite ^rb++++=quite
unexpectedly ^rb++++=unexpectedly
to ^to++++=to
take ^vbi++++=take
her ^pp$+pp3+++=her
for ^in++++=for
a ^at++++=a
long ^rb++++=long
drive ^nn++++=drive.
. ^zz++++=EXTRAWORD
Papa ^npt++++=Papa
was ^vbd+bedz+vrb++=was
at ^rb++++=at
the ^ati++++=the
office ^nn++++=office,
, ^zz++++=EXTRAWORD
as ^ql++++=as
usual ^jj++++=usual.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
Mary ^np++++=Mary
Ann ^np++++=Ann's
's ^$++++=EXTRAWORD
day ^nn++++=day
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
As ^in++++=As
for ^in"++++=for
Emeline ^np+++??+=Emeline,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
certainly ^rb++++=certainly
should ^md+nec+++=should
have ^vb+hv+aux++=have
stayed ^vprf+++xvbnx+=stayed
in ^in++++=in
the ^ati++++=the
house ^nn++++=house
and ^cc++++=and
looked ^vpsv++agls+xvbn+=looked
after ^in+ppvb+++=after
the ^ati++++=the
little ^jj+atrb+++=little
girl ^nn++++=girl;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Emeline ^np+++??+=Emeline
had ^vb+hv+vrb++=had
a ^at++++=a
restless ^jj+atrb+++=restless
nature ^nn++++=nature.
. ^zz++++=EXTRAWORD
" ^zz++++="Would
would ^md+prd+++=EXTRAWORD
you ^pp2+pp2+++=you
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
miss ^npt++++=miss,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
just ^rb+emph+++=just
crossed ^vbd+++xvbn+=crossed
the ^ati++++=the
alley ^nn++++=alley
to ^to++++=to
speak ^vbi++++=speak
a ^at++++=a
word ^nn++++=word
to ^in++++=to
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Carleton ^np++++=Carleton's
's ^$++++=EXTRAWORD
girl ^nn++++=girl?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
asked ^vbd+vsua++xvbnx+=asked
Martha ^np+++??+=Martha.
. ^zz++++=EXTRAWORD
" ^zz++++="'Course
' ^zz++++=EXTRAWORD
course ^nn++++=EXTRAWORD
not ^xnot++not++=not,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
the ^ati++++=the
child ^nn++++=child.
. ^zz++++=EXTRAWORD
" ^zz++++="You'd
you ^pp2+pp2+++=EXTRAWORD
'd ^md"+hvd+pmd"++0=EXTRAWORD
better ^md+atrb+md++=better
lock ^vb++++=lock
the ^ati++++=the
back ^jjb+atrb+++=back
door ^nn++++=door,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
take ^vb++++=take
the ^ati++++=the
key ^jjb++++=key,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
upstairs ^jjb+pred+++=upstairs."
