Once ^rb+tm+++=Once
there ^rn+pl+++=there
lay ^jjb+++xvbn+=lay
in ^in++++=in
a ^at++++=a
certain ^jj+atrb+++=certain
haven ^nn++++=haven
a ^at++++=a
large ^jj+atrb+++=large
number ^nn++++=number
of ^in++++=of
vessels ^nns++++=vessels.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
lain ^vprf+++xvbn+=lain
there ^rn+pl+++=there
very ^ap+amp+++=very
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
exactly ^rb++++=exactly
on ^in++++=on
account ^nn++++=account
of ^in++++=of
storm ^nn++++=storm,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
rather ^rb++++=rather
because ^cs+cos+++=because
of ^in"++++=of
a ^at++++=a
dead ^jj+atrb+++=dead
calm ^nn++++=calm;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
last ^rb"++++=last
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
lain ^vprf+++xvbn+=lain
there ^rn+pl+++=there
until ^cs+sub+++=until
they ^pp3a+pp3+++=they
no ^at++++=no
longer ^rbr++++=longer
heeded ^vbd+++xvbn+=heeded
the ^ati++++=the
weather ^nn++++=weather.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
captains ^nns++++=captains
had ^vb+hv+aux++=had
gradually ^rb++splt++=gradually
become ^vb++++=become
good ^jj+atrb+++=good
friends ^nns++++=friends;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
visited ^vbd+++xvbnx+=visited
from ^in++++=from
ship ^nn++++=ship
to ^in++++=to
ship ^nn++++=ship,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
called ^jj+atrb++xvbn+=called
one ^cd1++++=one
another ^dt++++=another
' ^zz++++='Cousin.'
cousin ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
