Has ^vbz+hvz+aux++=Has
it ^pp3+it+++=it
not ^xnot++not++=not
been ^vprf+ben+aux+xvbn+=been
said ^vpsv++agls+xvbnx+=said
that ^tht+vcmp+++=that
once ^rb+tm+++=once
in ^in++++=in
a ^at++++=a
lifetime ^nn++++=lifetime
most ^ap+emph+++=most
of ^in++++=of
us ^pp1o+pp1+++=us
succumb ^nn+++??+=succumb
to ^in++++=to
the ^ati++++=the
particular ^jj+atrb+++=particular
situation ^nn+nom+++=situation
against ^in++++=against
which ^whp+rel+pied++=which
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
cultivated ^vprf+++xvbnx+=cultivated
the ^ati++++=the
strongest ^jjt+atrb+++=strongest
principles ^nns++++=principles?
? ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
there ^ex+pex+++=there
be ^vb+be+vrb++=be
one ^pn++++=one
such ^abl++++=such,
, ^zz++++=EXTRAWORD
among ^in++++=among
the ^ati++++=the
possibilities ^nns+nom+++=possibilities
to ^to++++=to
which ^whp+who+++=which
a ^at++++=a
truly ^rb++++=truly
civilized ^jj+atrb+++=civilized
career ^nn++++=career
is ^vbz+bez+vrb++=is
liable ^jj+pred+++=liable,
, ^zz++++=EXTRAWORD
more ^ql++++=more
than ^cs+sub+++=than
another ^ppls++++=another
objectionable ^jj++++=objectionable
to ^in++++=to
the ^ati++++=the
writer ^nn++++=writer
of ^in++++=of
these ^dt+dem+++=these
words ^nns++++=words,
, ^zz++++=EXTRAWORD
the ^ati++++=the
creation ^nn+nom+++=creation
of ^in++++=of
autobiography ^nn++++=autobiography
has ^vbz+hvz+aux++=has
long ^rb++splt++=long
been ^vprf+ben+vrb+xvbnx+=been
that ^dt+dem+++=that
one ^pn++++=one.
. ^zz++++=EXTRAWORD
Yet ^rb+cnj+++=Yet,
, ^zz++++=EXTRAWORD
for ^in++++=for
that ^dt+dem+++=that
offence ^nn+nom+++=offence,
, ^zz++++=EXTRAWORD
once ^rb+tm+++=once
criminal ^jj++++=criminal
to ^to+jcmp+++=to
my ^pp$+pp1+++=my
taste ^nn++++=taste,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
find ^vb+vprv+tht0++=find
myself ^ppl+pp1+++=myself
hereby ^rb++++=hereby
about ^md"++pmd"++=about
to ^md+prd+++=to
become ^vb++++=become
indictable ^jj++++=indictable;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
do ^vb+do+aux++=do
set ^vb+++xvbn+=set
my ^pp$+pp1+++=my
hand ^nn++++=hand
and ^cc++++=and
seal ^nn++++=seal,
, ^zz++++=EXTRAWORD
on ^in++++=on
this ^dt+dem+++=this
day ^nn++++=day
of ^in++++=of
the ^ati++++=the
recall ^nn++++=recall
of ^in++++=of
my ^pp$+pp1+++=my
dearest ^jjt+atrb+++=dearest
literary ^jj+atrb+++=literary
oath ^nn++++=oath,
, ^zz++++=EXTRAWORD
in ^in++++=in
this ^dt+dem+++=this
year ^nn++++=year
of ^in++++=of
eminent ^jj+atrb+++=eminent
autobiographical ^jj+atrb+++=autobiographical
examples ^nns++++=examples,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
thousand ^cd++++=thousand
eight ^cd++++=eight
hundred ^cd++++=hundred
and ^cc++++=and
ninety ^cd++++=ninety-five.
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+vrb++=is
, ^zz++++=,
who ^whp+rel+subj++=who
has ^vbz+hvz+aux++=has
written ^vprf+++xvbnx+=written
a ^at++++=a
charming ^jj+atrb++xvbg+=charming
series ^nn++++=series
of ^in++++=of
personal ^jj+atrb+++=personal
reminiscences ^nns+nom+++=reminiscences,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
, ^zz++++=,
and ^cc+cls+++=and
. ^zz++++=.
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
might ^md+pos+++=might
meet ^vb++++=meet
your ^pp$+pp2+++=your
natural ^jj++++=natural
shrinking ^jj+++xvbg+=shrinking
by ^in++++=by
allowing ^xvbg+++xvbg+=allowing
yourself ^ppl+pp2+++=yourself
to ^to++++=to
treat ^vbi++++=treat
especially ^rb++++=especially
of ^in++++=of
your ^pp$+pp2+++=your
literary ^jj+atrb+++=literary
life ^nn++++=life;
; ^zz++++=EXTRAWORD
including ^in+strn+++=including,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
whatever ^nn+nom+++=whatever
went ^vbd+++xvbn+=went
to ^in++++=to
form ^nn++++=form
and ^cc++++=and
sustain ^vb++++=sustain
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
suppose ^vb+vprv+tht0++=suppose
I ^pp1a+pp1+++=I
might ^md+pos+++=might,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sigh ^nn++++=sigh.
. ^zz++++=EXTRAWORD
The ^ati++++=The
answer ^nn++++=answer
is ^vbz+bez+vrb++=is
faint ^jj+pred+++=faint;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
deed ^nn++++=deed
is ^vbz+bez+aux++=is
decreed ^vpsv++agls+xvbnx+=decreed.
. ^zz++++=EXTRAWORD
Shall ^md+prd+++=Shall
I ^pp1a+pp1+++=I
be ^vb+be+vrb++=be
sorry ^uh++++=sorry
for ^in++++=for
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
gray ^np++++=gray
day ^nn++++=day,
, ^zz++++=EXTRAWORD
on ^in++++=on
gray ^np++++=gray
Cape ^np++++=Cape
Ann ^np++++=Ann,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
write ^vb++++=write
these ^dt+dem+++=these
words ^nns++++=words.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fog ^nn++++=fog
is ^vbz+bez+aux++=is
breathing ^vbg+++xvbgx+=breathing
over ^in++++=over
the ^ati++++=the
downs ^nns++++=downs.
. ^zz++++=EXTRAWORD
The ^ati++++=The
outside ^jjb+atrb+++=outside
steamers ^nns+nom+++=steamers
shriek ^vb++++=shriek
from ^in++++=from
off ^in+pl+++=off
the ^ati++++=the
Point ^nn++++=Point,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
feel ^vb+vprv+tht0++=feel
their ^pp$+pp3+++=their
way ^nn++++=way
at ^rb++++=at
live ^vb++++=live
of ^in++++=of
noon ^nn++++=noon,
, ^zz++++=EXTRAWORD
groping ^vbg+++xvbg+=groping
as ^cs+sub+++=as
though ^cs+sub+++=though
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
dead ^jj+pred+++=dead
of ^in++++=of
night ^nn++++=night,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stars ^nns++++=stars
and ^cc++++=and
coast ^nn++++=coast-lights
- ^zz++++=EXTRAWORD
lights ^nns++++=EXTRAWORD
all ^abn++++=all
were ^vbd+bed+aux++=were
smitten ^vprf+++xvbn+=smitten
dark ^jj++++=dark,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
pilot ^nn++++=pilot
were ^vbd+bed+vrb++=were
a ^at++++=a
stranger ^nn+nom+++=stranger
to ^in++++=to
his ^pp$+pp3+++=his
chart ^nn++++=chart.
. ^zz++++=EXTRAWORD
A ^at++++=A
stranger ^nn+nom+++=stranger
to ^in++++=to
my ^pp$+pp1+++=my
chart ^nn++++=chart,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
doubtful ^jj++++=doubtful,
, ^zz++++=EXTRAWORD
put ^j+++xvbn+=put
about ^in+strn+++=about,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
make ^vb++++=make
the ^ati++++=the
untried ^jj+atrb+++=untried
coast ^nn++++=coast.
. ^zz++++=EXTRAWORD
At ^rb++++=At
such ^abl++++=such
a ^at++++=a
moment ^nn++++=moment,
