A ^at++++=A
certain ^jj+atrb+++=certain
fine ^jj+atrb+++=fine
old ^jj+atrb+++=old
lady ^nn++++=lady
was ^vbd+bedz+vrb++=was
seventy ^cd++++=seventy-three
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
8 ^zz++++=8
th ^zz++++=th
of ^in++++=of
October ^nr++++=October.
. ^zz++++=EXTRAWORD
The ^ati++++=The
day ^nn++++=day
was ^vbd+bedz+aux++=was
always ^rb++splt++=always
celebrated ^vpsv++agls+xvbnx+=celebrated
with ^in++++=with
splendor ^nn++++=splendor
by ^in++++=by
her ^pp$+pp3+++=her
children ^nns++++=children
and ^cc++++=and
grand ^jj++++=grand-children;
- ^zz++++=EXTRAWORD
children ^nns++++=EXTRAWORD
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
on ^in++++=on
this ^dt+dem+++=this
occasion ^nn++++=occasion
they ^pp3a+pp3+++=they
felt ^vbd+vprv++xvbnx+=felt
that ^tht+vcmp+++=that
something ^pn++++=something
unusually ^rb++++=unusually
interesting ^jj++++=interesting
and ^cc+phrs+++=and
festive ^jj++++=festive
should ^md+nec+++=should
be ^vb+be+aux++=be
done ^vpsv++agls+xvbnx+=done,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
grandma ^np++++=grandma
had ^vb+hv+aux++=had
lately ^rb+tm+splt++=lately
been ^vprf+ben+vrb+xvbnx+=been
so ^ql++++=so
very ^ql+amp+++=very
ill ^jj++++=ill
that ^dt+dem+++=that
no ^at++++=no
one ^cd1++++=one
thought ^nn+++xvbn+=thought
she ^pp3a+pp3+++=she
would ^md+prd+++=would
ever ^rb++splt++=ever
see ^vb+vprv+++=see
another ^dt++++=another
birthday ^nn++++=birthday.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
pleased ^vbd+++xvbn+=pleased
God ^np++++=God
to ^to++++=to
spare ^vbi++++=spare
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
here ^rn+pl+++=here
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
as ^rb++++=as
well ^rb++++=well
and ^cc++++=and
gay ^jj++++=gay
as ^ql++++=as
ever ^rb++++=ever.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
families ^nns++++=families
do ^vb+do+aux++=do
not ^xnot++not++=not
celebrate ^nn+nom+++=celebrate
these ^dt+dem+++=these
days ^nns++++=days,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
miss ^npt++++=miss
a ^at++++=a
great ^jj+atrb+++=great
deal ^nn++++=deal
of ^in++++=of
pleasure ^nn++++=pleasure,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
people ^nn++++=people
of ^in++++=of
whom ^whp+rel+pied++=whom
I ^pp1a+pp1+++=I
write ^vb++++=write
always ^rb++++=always
made ^vbd+++xvbn+=made
a ^at++++=a
great ^jj+atrb+++=great
deal ^nn++++=deal
of ^in++++=of
such ^abl++++=such
occasions ^nns++++=occasions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
often ^rb++++=often
got ^vbd+++xvbn+=got
up ^rp++++=up
very ^ql+amp+++=very
funny ^jj+atrb+++=funny
amusements ^nns+nom+++=amusements,
, ^zz++++=EXTRAWORD
as ^ql++++=as
you ^pp2+pp2+++=you
will ^md+prd+++=will
see ^vb+vprv+++=see.
. ^zz++++=EXTRAWORD
As ^ql++++=As
grandma ^np++++=grandma
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
very ^ql+amp+++=very
strong ^jj++++=strong,
, ^zz++++=EXTRAWORD
some ^dti++++=some
quiet ^jj+atrb+++=quiet
fun ^nn++++=fun
must ^md+nec+++=must
be ^vb+be+aux++=be
devised ^vpsv++agls+xvbnx+=devised
this ^dt+dem+++=this
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
surprises ^nn++++=surprises
sprinkled ^vbd+++xvbn+=sprinkled
along ^in++++=along
through ^in++++=through
the ^ati++++=the
day ^nn++++=day,
, ^zz++++=EXTRAWORD
lest ^cs+sub+++=lest
they ^pp3a+pp3+++=they
should ^md+nec+++=should
be ^vb+be+vrb++=be
too ^ql++++=too
much ^ap++++=much
for ^in++++=for
her ^pp$+pp3+++=her
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
all ^abn++++=all
burst ^vbd+++xvbn+=burst
upon ^in++++=upon
her ^pp$+pp3+++=her
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
The ^ati++++=The
morning ^nn++++=morning
was ^vbd+bedz+vrb++=was
fine ^jj+pred+++=fine
and ^cc+phrs+++=and
clear ^jj++++=clear,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
first ^od++++=first
thing ^nn++++=thing
that ^tht+rel+subj++=that
happened ^vprf+++xvbn+=happened
was ^vbd+bedz+vrb++=was
the ^ati++++=the
appearance ^nn+nom+++=appearance
of ^in++++=of
two ^cd++++=two
little ^jj+atrb+++=little
ghosts ^nns++++=ghosts,
, ^zz++++=EXTRAWORD
" ^zz++++="all
all ^abn++++=EXTRAWORD
in ^in++++=in
white ^jj++++=white,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
who ^whp+who+++=who
came ^vbd+++xvbn+=came
prancing ^jj++++=prancing
into ^in++++=into
the ^ati++++=the
old ^jj+atrb+++=old
lady ^nn++++=lady's
's ^$++++=EXTRAWORD
room ^nn++++=room,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
lay ^vbd+++xvbnx+=lay
placidly ^rb++++=placidly
watching ^vbg+++xvbg+=watching
the ^ati++++=the
sun ^nn++++=sun
rise ^nn++++=rise,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thinking ^nvbg+++xvbg+=thinking
of ^in++++=of
the ^ati++++=the
many ^ap++++=many
years ^nns++++=years
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
happy ^jj+atrb+++=happy
birthday ^nn++++=birthday,
, ^zz++++=EXTRAWORD
gramma ^nn+++??+=gramma!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
the ^ati++++=the
little ^jj+atrb+++=little
ghosts ^nns++++=ghosts,
, ^zz++++=EXTRAWORD
scrambling ^nn+nom+++=scrambling
up ^rp++++=up
to ^to++++=to
kiss ^vbi++++=kiss
the ^ati++++=the
smiling ^jj+atrb++xvbg+=smiling
old ^jj+atrb+++=old
face ^nn++++=face
in ^in++++=in
the ^ati++++=the
ruffled ^jj+atrb++xvbn+=ruffled
night ^nn++++=night-cap.
- ^zz++++=EXTRAWORD
cap ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
great ^nn++++=great
laughing ^vwbg+++xvbg+=laughing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cuddling ^nn+nom+++=cuddling,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nestling ^nn+nom+++=nestling
among ^in++++=among
the ^ati++++=the
pillows ^nns++++=pillows,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
the ^ati++++=the
small ^jj+atrb+++=small
arms ^nns++++=arms
and ^cc++++=and
legs ^nns++++=legs
subsided ^vprf+++xvbn+=subsided,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
two ^cd++++=two
round ^nn++++=round,
, ^zz++++=EXTRAWORD
rosy ^jj++++=rosy
faces ^vbz++++=faces
appeared ^vprf+++xvbn+=appeared,
, ^zz++++=EXTRAWORD
listening ^jj+++xvbg+=listening
attentively ^jj++++=attentively
to ^in++++=to
the ^ati++++=the
stories ^nns++++=stories
grandma ^np++++=grandma
told ^vbd+vpub++xvbn+=told
them ^pp3o+pp3+++=them
till ^in++++=till
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
time ^nn++++=time
to ^in++++=to
dress ^nn++++=dress.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
you ^pp2+pp2+++=you
must ^md+nec+++=must
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
only ^rb+down+++=only
two ^cd++++=two
grandchildren ^nn++++=grandchildren
in ^in++++=in
this ^dt+dem+++=this
family ^nn++++=family,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
equal ^jj+pred+++=equal
to ^in++++=to
