Something ^pn++++=SOMETHING
was ^vbd+bedz+aux++=was
tapping ^vbg+++xvbgx+=tapping
on ^in++++=on
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
Blowing ^vbg+++xvbg+=Blowing
up ^in+cmpx+++=up
against ^in"++++=against
the ^ati++++=the
pane ^nn+++??+=pane,
, ^zz++++=EXTRAWORD
again ^rb+tm+++=again
and ^cc+phrs+++=and
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Carried ^xvbn+++xvbn+=Carried
by ^in++++=by
the ^ati++++=the
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
Tapping ^vbg+++xvbg+=Tapping
faintly ^rb+cnj+++=faintly,
, ^zz++++=EXTRAWORD
insistently ^jj++++=insistently.
. ^zz++++=EXTRAWORD
Lori ^np+++??+=Lori,
, ^zz++++=EXTRAWORD
sitting ^vbg+++xvbg+=sitting
on ^in++++=on
the ^ati++++=the
couch ^nn++++=couch,
, ^zz++++=EXTRAWORD
pretended ^j+++xvbn+=pretended
not ^xnot++not++=not
to ^to++++=to
hear ^vbi+vprv+++=hear.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
gripped ^vbd+++xvbnx+=gripped
her ^pp$+pp3+++=her
book ^nn++++=book
tightly ^rb++++=tightly
and ^cc++++=and
turned ^vbd+++xvbn+=turned
a ^at++++=a
page ^nn++++=page.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tapping ^nn++++=tapping
came ^vbd+++xvbn+=came
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
louder ^jjr++++=louder
and ^cc++++=and
more ^rbr++++=more
imperative ^nn++++=imperative.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
could ^md+pos+++=could
not ^xnot++not++=not
be ^vb+be+aux++=be
ignored ^vpsv++agls+xvbnx+=ignored.
. ^zz++++=EXTRAWORD
" ^zz++++="Darn!"
darn ^rb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Lori ^np+++??+=Lori
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
throwing ^jj+++xvbg+=throwing
her ^pp3o+pp3+++=her
book ^nn++++=book
down ^rp++++=down
on ^in++++=on
the ^ati++++=the
coffee ^nn++++=coffee
table ^nn++++=table
and ^cc++++=and
hurrying ^jj+++xvbg+=hurrying
to ^in++++=to
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
grasped ^vbd+vprv++xvbnx+=grasped
the ^ati++++=the
heavy ^jj+atrb+++=heavy
brass ^nn++++=brass
handles ^nns++++=handles
and ^cc++++=and
lifted ^jj+++xvbn+=lifted.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
moment ^nn++++=moment
the ^ati++++=the
window ^nn++++=window
resisted ^vbd+++xvbn+=resisted.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
protesting ^jj+atrb++xvbg+=protesting
groan ^nn++++=groan,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
reluctantly ^rb++++=reluctantly
rose ^nn+++xvbn+=rose.
. ^zz++++=EXTRAWORD
Cold ^jj+atrb+++=Cold
autumn ^nn++++=autumn
air ^nn++++=air,
, ^zz++++=EXTRAWORD
rushed ^j+++xvbn+=rushed
into ^in++++=into
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bit ^nn++++=bit
of ^in++++=of
leaf ^nn++++=leaf
ceased ^vbd+++xvbn+=ceased
tapping ^vbg+++xvbg+=tapping
and ^cc+phrs+++=and
swirled ^vpsv++agls+xvbn+=swirled
against ^in++++=against
the ^ati++++=the
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
throat ^nn++++=throat,
, ^zz++++=EXTRAWORD
dancing ^vbg+++xvbg+=dancing
to ^in++++=to
the ^ati++++=the
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
Lori ^np+++??+=Lori
picked ^vbd+++xvbn+=picked
the ^ati++++=the
leaf ^nn++++=leaf
up ^rp++++=up.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
old ^jj+pred+++=old
and ^cc+phrs+++=and
brown ^jj++++=brown.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
heart ^nn++++=heart
skipped ^vprf+++xvbn+=skipped
a ^at++++=a
beat ^vb+++xvbn+=beat
as ^ql++++=as
she ^pp3a+pp3+++=she
slipped ^vbd+++xvbnx+=slipped
the ^ati++++=the
leaf ^nn++++=leaf
into ^in++++=into
the ^ati++++=the
pocket ^nn++++=pocket
of ^in++++=of
her ^pp$+pp3+++=her
jeans ^nns++++=jeans.
. ^zz++++=EXTRAWORD
Against ^in++++=Against
her ^pp$+pp3+++=her
loins ^vbz+++??+=loins
the ^ati++++=the
leaf ^nn++++=leaf
cut ^vbd+++xvbn+=cut
and ^cc+phrs+++=and
tingled ^vbd+++xvbn+=tingled,
, ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
hard ^jj+atrb+++=hard
point ^nn++++=point
piercing ^vwbg+++xvbg+=piercing
her ^pp$+pp3+++=her
smooth ^jj+atrb+++=smooth
skin ^nn++++=skin
and ^cc++++=and
sending ^jj+atrb++xvbg+=sending
exciting ^jj+atrb+++=exciting
shudders ^nns+nom+++=shudders
up ^rp++++=up
and ^cc+phrs+++=and
down ^rp++++=down
her ^pp3o+pp3+++=her
spine ^nn++++=spine.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
stood ^vbd+++xvbnx+=stood
at ^rb++++=at
the ^ati++++=the
open ^jj+atrb+++=open
window ^nn++++=window
a ^at++++=a
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
sniffing ^vbg+++xvbg+=sniffing
the ^ati++++=the
air ^nn++++=air.
. ^zz++++=EXTRAWORD
The ^ati++++=The
air ^nn++++=air
was ^vbd+bedz+vrb++=was
full ^jj+pred+++=full
of ^in++++=of
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
trees ^nns++++=trees
and ^cc++++=and
rocks ^nns++++=rocks,
, ^zz++++=EXTRAWORD
of ^in++++=of
great ^jj+atrb+++=great
boulders ^nns+nom+++=boulders
and ^cc++++=and
remote ^jj+atrb+++=remote
places ^nns++++=places.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
time ^nn++++=time
time ^nn++++=time
to ^to++++=to
go ^vbi++++=go
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
touched ^vbd+++xvbnx+=touched
the ^ati++++=the
leaf ^nn++++=leaf.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
