Every ^at++++=Every
one ^cd1++++=one
knows ^vbz+vprv+++=knows
through ^in++++=through
what ^wdt+who+++=what
adventure ^nn++++=adventure
King ^nn++++=King
Francis ^np++++=Francis,
, ^zz++++=EXTRAWORD
the ^ati++++=the
first ^rb++++=first
of ^in++++=of
that ^dt+dem+++=that
name ^nn++++=name,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
taken ^vpsv++agls+xvbnx+=taken
like ^in++++=like
a ^at++++=a
silly ^jj+atrb+++=silly
bird ^nn++++=bird
and ^cc++++=and
led ^vpsv++agls+xvbn+=led
into ^in++++=into
the ^ati++++=the
town ^nn++++=town
of ^in++++=of
Madrid ^np++++=Madrid,
, ^zz++++=EXTRAWORD
in ^in++++=in
Spain ^np++++=Spain.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
the ^ati++++=the
Emperor ^nn++++=Emperor
Charles ^np++++=Charles
V ^zz++++=V.
. ^zz++++=EXTRAWORD
kept ^j+++xvbn+=kept
him ^pp3o+pp3+++=him
carefully ^rb++++=carefully
locked ^vbd+++xvbn+=locked
up ^rp++++=up,
, ^zz++++=EXTRAWORD
like ^in++++=like
an ^at++++=an
article ^nn++++=article
of ^in++++=of
great ^jj+atrb+++=great
value ^nn++++=value,
, ^zz++++=EXTRAWORD
in ^in++++=in
one ^pn++++=one
of ^in++++=of
his ^pp$+pp3+++=his
castles ^nns++++=castles,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
which ^whp+who+++=which
our ^pp$+pp1+++=our
defunct ^nn+++??+=defunct
sire ^nn++++=sire,
, ^zz++++=EXTRAWORD
of ^in++++=of
immortal ^jj+atrb+++=immortal
memory ^nn++++=memory,
, ^zz++++=EXTRAWORD
soon ^rb+tm+++=soon
became ^vbd+++xvbn+=became
listless ^jj++++=listless
and ^cc+phrs+++=and
weary ^jj++++=weary,
, ^zz++++=EXTRAWORD
seeing ^vbg+vprv++xvbg+=seeing
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
loved ^vbd+++xvbnx+=loved
the ^ati++++=the
open ^jj+atrb+++=open
air ^nn++++=air,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
little ^jj+atrb+++=little
comforts ^nns++++=comforts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
more ^rbr++++=more
understood ^vbd+vprv++xvbn+=understood
being ^xvbg+++xvbg+=being
shut ^vbd+++xvbn+=shut
up ^rp++++=up
in ^in++++=in
a ^at++++=a
cage ^nn++++=cage
than ^in++++=than
