All ^abn++++=All
my ^pp$+pp1+++=my
life ^nn++++=life
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
lived ^vprf+++xvbnx+=lived
on ^in++++=on
a ^at++++=a
barge ^nn++++=barge.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
father ^nn++++=father,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
worked ^vbd+++xvbnx+=worked
a ^at++++=a
barge ^nn++++=barge
from ^in++++=from
London ^np++++=London
to ^in++++=to
Tonbridge ^np+++??+=Tonbridge,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++0='twas
was ^vbd+bedz+vrb++=EXTRAWORD
on ^in++++=on
a ^at++++=a
barge ^nn++++=barge
I ^pp1a+pp1+++=I
first ^od++++=first
see ^vb+vprv+++=see
the ^ati++++=the
light ^nn++++=light
when ^wrb+who+++=when
my ^pp$+pp1+++=my
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
time ^nn++++=time
come ^vb++++=come.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
used ^md"++pmd"++=used
to ^to++++=to
wish ^vb+vprv+++=wish
sometimes ^rb++++=sometimes
as ^ql++++=as
I ^pp1a+pp1+++=I
could ^md+pos+++=could
' ^zz++++='ave
ave ^nn+++??+=EXTRAWORD
lived ^vbd+++xvbn+=lived
in ^in++++=in
a ^at++++=a
cottage ^nn+nom+++=cottage
with ^in++++=with
a ^ap++++=a
few ^ap"++++=few
bits ^nns++++=bits
of ^in++++=of
flowers ^nns+nom+++=flowers
in ^in++++=in
the ^ati++++=the
front ^jjb++++=front,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think
if ^cs+cnd+++=if
I ^pp1a+pp1+++0=I'd
'd ^vbd+hvd+aux++=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
put ^vpsv++agls+xvbnx+=put
to ^in++++=to
it ^pp3+it+++=it
I ^pp1a+pp1+++=I
should ^md+nec+++=should
have ^vb+hv+aux++=have
chose ^vprf+++xvbnx+=chose
the ^ati++++=the
barge ^nn++++=barge
rather ^rb++++=rather
than ^in++++=than
the ^ati++++=the
finest ^jjt+atrb+++=finest
cottage ^nn+nom+++=cottage
ever ^rb++++=ever
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
come ^vb++++=come
to ^to++++=to
be ^vbi+vbi+aux++=be
grown ^vpsv++agls+xvbnx+=grown
up ^rp++++=up
and ^cc++++=and
took ^vbd+++xvbn+=took
a ^at++++=a
husband ^nn++++=husband
of ^in++++=of
my ^pp$+pp1+++=my
own ^ap++++=own
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
bargeman ^nn+nom+++=bargeman
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
good ^jj+atrb+++=good
sort ^nn++++=sort
always ^rb+cnj+++=always,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
my ^pp$+pp1+++=my
Tom ^np++++=Tom,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
not ^xnot++not++=not
particular ^jj++++=particular
about ^in++++=about
Sundays ^nrs++++=Sundays
and ^cc++++=and
churchgoings ^nns+++??+=churchgoings
and ^cc++++=and
such ^abl++++=such
like ^in+strn+++=like,
, ^zz++++=EXTRAWORD
as ^ql++++=as
my ^pp$+pp1+++=my
father ^nn++++=father
always ^rb++++=always
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
used ^md"++pmd"++=used
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
sorrow ^nn++++=sorrow
to ^in++++=to
me ^pp1o+pp1+++=me
in ^in++++=in
my ^pp$+pp1+++=my
young ^jj+atrb+++=young
married ^jj+atrb++xvbn+=married
days ^nns++++=days
to ^to++++=to
think ^vbi+vprv+tht0++=think
as ^ql++++=as
Tom ^np++++=Tom
was ^vbd+bedz+vrb++=was
so ^ql++++=so
far ^rb+pl+++=far
from ^rb"++++=from
the ^ati++++=the
Lord ^npt++++=Lord,
