From ^in++++=From
The ^ati++++=The
House ^nn++++=House
of ^in++++=of
Cobwebs ^nns++++=Cobwebs
and ^cc++++=and
Other ^ap++++=Other
Stories ^nns++++=Stories
( ^zz++++=(1906).
1906 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
drawing ^jj+++xvbg+=drawing-room,
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
after ^in++++=after
dinner ^nn++++=dinner.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Charman ^np++++=Charman,
, ^zz++++=EXTRAWORD
the ^ati++++=the
large ^jj+atrb+++=large
and ^cc+phrs+++=and
kindly ^jj+atrb+++=kindly
hostess ^nns+nom+++=hostess,
, ^zz++++=EXTRAWORD
sank ^j+++xvbn+=sank
into ^in++++=into
a ^at++++=a
chair ^nn++++=chair
beside ^in+pl+++=beside
her ^pp$+pp3+++=her
little ^ap++++=little
friend ^nn++++=friend
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Loring ^np++++=Loring,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sighed ^vbd+++xvbn+=sighed
a ^at++++=a
question ^nn+nom+++=question.
. ^zz++++=EXTRAWORD
' ^zz++++='How
how ^wrb+who+whq++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
like ^in++++=like
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Tymperley ^np++++=Tymperley?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Very
very ^ql+amp+++=EXTRAWORD
nice ^jj++++=nice.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
a ^rb++++=a
little ^rb"++++=little
peculiar ^jj++++=peculiar.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
peculiar ^jj+pred+++=peculiar!
! ^zz++++=EXTRAWORD
Quite ^rb++++=Quite
original ^nn+nom+++=original.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
tell ^vbi++++=tell
you ^pp2+pp2+++=you
about ^rb++++=about
him ^pp3o+pp3+++=him
before ^cs+sub+++=before
we ^pp1a+pp1+++=we
went ^vbd+++xvbn+=went
down ^rp++++=down,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
a ^at++++=a
very ^ql+amp+++=very
old ^jj+atrb+++=old
friend ^nn++++=friend
of ^in++++=of
ours ^pp$$++++=ours.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
dear ^jj+atrb+++=dear
husband ^nn++++=husband
and ^cc++++=and
he ^pp3a+pp3+++=he
were ^vbd+bed+vrb++=were
at ^rb++++=at
school ^nn++++=school
together ^nn+nom+++=together--Harrovians.
-- ^--+clp+++=EXTRAWORD
harrovians ^nns++++=EXTRAWORD
