From ^in++++=From
Noughts ^np+++??+=Noughts
and ^cc++++=and
Crosses ^nns++++=Crosses:
: ^zz++++=EXTRAWORD
Stories ^nns++++=Stories,
, ^zz++++=EXTRAWORD
Studies ^nns++++=Studies
and ^cc++++=and
Sketches ^nns++++=Sketches.
. ^zz++++=EXTRAWORD
The ^ati++++=The
jury ^nn++++=jury
re ^in++++=re-entered
- ^zz++++=EXTRAWORD
entered ^vbd+++xvbn+=EXTRAWORD
the ^ati++++=the
court ^nn++++=court
after ^in++++=after
half ^abn++++=half
an ^at++++=an
hour ^nn++++=hour's
's ^$++++=EXTRAWORD
consultation ^nn+nom+++=consultation.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
all ^rb++++=all
comes ^vbz++++=comes
back ^jjb++++=back
to ^in++++=to
me ^pp1o+pp1+++=me
as ^in++++=as
vividly ^rb++++=vividly
as ^cs+sub+++=as
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
stood ^vbd+++xvbnx+=stood
in ^in++++=in
the ^ati++++=the
dock ^nn++++=dock
at ^in++++=at
this ^dt+dem+++=this
very ^ap+amp+++=very
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dense ^jj+atrb+++=dense
fog ^nn++++=fog
that ^tht+rel+subj++=that
hung ^vwbn+++xvbn+=hung
over ^in++++=over
the ^ati++++=the
well ^rb++++=well
of ^in++++=of
the ^ati++++=the
court ^nn++++=court;
; ^zz++++=EXTRAWORD
the ^ati++++=the
barristers ^nns+nom+++=barristers'
' ^zz++++=EXTRAWORD
wigs ^nns+++??+=wigs
that ^tht+rel+++=that
bobbed ^jj++++=bobbed
up ^rp++++=up
through ^in++++=through
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
were ^vbd+bed+aux++=were
drowned ^vpsv++agls+xvbnx+=drowned
again ^rb+tm+++=again
in ^cs+sub+++=in
that ^cs"++++=that
seething ^jj+atrb+++=seething
cauldron ^nn++++=cauldron;
; ^zz++++=EXTRAWORD
the ^ati++++=the
rays ^nns++++=rays
of ^in++++=of
the ^ati++++=the
guttering ^nn++++=guttering
candles ^nns++++=candles
( ^zz++++=(for
for ^in++++=EXTRAWORD
the ^ati++++=the
murder ^nn++++=murder-trial
- ^zz++++=EXTRAWORD
trial ^nn++++=EXTRAWORD
had ^vbd+hvd+aux++=had
lasted ^vprf+++xvbnx+=lasted
far ^rb+pl+++=far
into ^in++++=into
the ^ati++++=the
evening ^nn++++=evening)
) ^zz++++=EXTRAWORD
that ^dt+dem+++=that
loomed ^jj+++xvbn+=loomed
through ^in++++=through
it ^pp3+it+++=it
and ^cc++++=and
wore ^vbd+++xvbn+=wore
a ^at++++=a
sickly ^jj+atrb+++=sickly
halo ^nn++++=halo;
; ^zz++++=EXTRAWORD
the ^ati++++=the
red ^jj+atrb+++=red
robes ^nns++++=robes
and ^cc++++=and
red ^jj+atrb+++=red
face ^nn++++=face
of ^in++++=of
my ^pp$+pp1+++=my
lord ^npt++++=lord
judge ^nn++++=judge
opposite ^jj++++=opposite
that ^cs+sub+++=that
stared ^vprf+++xvbn+=stared
through ^in++++=through
it ^pp3+it+++=it
and ^cc++++=and
outshone ^nn+++??+=outshone
the ^ati++++=the
candles ^nns++++=candles;
; ^zz++++=EXTRAWORD
the ^ati++++=the
black ^jj+atrb+++=black
crowd ^nn++++=crowd
around ^in+strn+++=around,
, ^zz++++=EXTRAWORD
seen ^j+++xvbn+=seen
mistily ^jj++++=mistily;
; ^zz++++=EXTRAWORD
the ^ati++++=the
voice ^nn++++=voice
of ^in++++=of
the ^ati++++=the
usher ^np++++=usher
calling ^vwbg+++xvbg+=calling
" ^zz++++="Silence!";
silence! ^nn+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
the ^ati++++=the
shuffling ^jj+++xvbg+=shuffling
of ^in++++=of
the ^ati++++=the
jurymen ^jj+atrb++xvbn+=jurymen's
's ^vbz+bez+vrb++0=EXTRAWORD
feet ^nns++++=feet;
; ^zz++++=EXTRAWORD
the ^ati++++=the
pallor ^nn++++=pallor
on ^in++++=on
their ^pp$+pp3+++=their
faces ^nns++++=faces
as ^ql++++=as
I ^pp1a+pp1+++=I
leant ^vbd+++xvbnx+=leant
forward ^rb++++=forward
and ^cc++++=and
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
read ^vbn+vprv++xvbn+=read
the ^ati++++=the
verdict ^nn++++=verdict
on ^in++++=on
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
the ^ati++++=the
very ^ql+amp+++=very
smell ^vb++++=smell
of ^in++++=of
the ^ati++++=the
place ^nn++++=place,
, ^zz++++=EXTRAWORD
compounded ^xvbn+++xvbn+=compounded
of ^in++++=of
fog ^nn++++=fog,
, ^zz++++=EXTRAWORD
gaol ^nn++++=gaol-fever,
- ^zz++++=EXTRAWORD
fever ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
close ^jj+atrb+++=close
air ^nn++++=air,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
dinners ^nns+nom+++=dinners
eaten ^vwbn+++xvbn+=eaten
earlier ^jjr++++=earlier
in ^in++++=in
the ^ati++++=the
day ^nn++++=day
by ^in++++=by
the ^ati++++=the
crowd ^nn++++=crowd--all
-- ^--+clp+++=EXTRAWORD
all ^abn++++=EXTRAWORD
this ^dt+pdem+++=this
strikes ^vbz++++=strikes
home ^nr++++=home
upon ^in++++=upon
me ^pp1o+pp1+++=me
as ^in++++=as
sharply ^rb++++=sharply
as ^ql++++=as
it ^pp3+it+++=it
then ^rn+tm+++=then
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
after ^in++++=after
the ^ati++++=the
numb ^jj+atrb+++=numb
apathy ^nn++++=apathy
of ^in++++=of
waiting ^xvbg+++xvbg+=waiting.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
jury ^nn++++=jury
huddled ^vbd+++xvbn+=huddled
into ^in++++=into
their ^pp$+pp3+++=their
places ^nns++++=places
I ^pp1a+pp1+++=I
stole ^vbd+++xvbnx+=stole
a ^at++++=a
look ^vb++++=look
at ^rb++++=at
my ^pp$+pp1+++=my
counsel ^nn++++=counsel.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
paused ^vbd+++xvbnx+=paused
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
from ^in++++=from
his ^pp$+pp3+++=his
task ^nn++++=task
of ^in++++=of
trimming ^nn++++=trimming
a ^at++++=a
quill ^nn++++=quill,
, ^zz++++=EXTRAWORD
shot ^j+++xvbn+=shot
a ^at++++=a
quick ^jj+atrb+++=quick
glance ^nn++++=glance
at ^in++++=at
the ^ati++++=the
