Whenever ^nn+nom+++=Whenever
you ^pp2+pp2+++=you
visit ^vb++++=visit
Austin ^np++++=Austin
you ^pp2+pp2+++=you
should ^md+nec+++=should
by ^in++++=by
all ^abn++++=all
means ^nns++++=means
go ^vb++++=go
to ^to++++=to
see ^vbi+vprv+++=see
the ^ati++++=the
General ^jj+atrb+++=General
Land ^nn++++=Land
Office ^nn++++=Office.
. ^zz++++=EXTRAWORD
As ^ql++++=As
you ^pp2+pp2+++=you
pass ^vb++++=pass
up ^rp++++=up
the ^ati++++=the
avenue ^nn++++=avenue
you ^pp2+pp2+++=you
turn ^nn++++=turn
sharp ^jj++++=sharp
round ^in++++=round
the ^ati++++=the
corner ^nn++++=corner
of ^in++++=of
the ^ati++++=the
court ^nn++++=court
house ^npl++++=house,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
a ^at++++=a
steep ^jj+atrb+++=steep
hill ^npl++++=hill
before ^cs+sub+++=before
you ^pp2+pp2+++=you
you ^pp2+pp2+++=you
see ^vb+vprv+++=see
a ^at++++=a
medieval ^jj+atrb+++=medieval
castle ^nn++++=castle.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
think ^vb+vprv+++=think
of ^in++++=of
the ^ati++++=the
Rhine ^np++++=Rhine;
; ^zz++++=EXTRAWORD
the ^ati++++=the
" ^zz++++="castled
castled ^vbd+++xvbn+=EXTRAWORD
crag ^npl++++=crag
of ^in++++=of
Drachenfels ^np+++??+=Drachenfels";
" ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
the ^ati++++=the
Lorelei ^np++++=Lorelei;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
vine ^nn++++=vine-clad
- ^zz++++=EXTRAWORD
clad ^jj+atrb+++=EXTRAWORD
slopes ^nns++++=slopes
of ^in++++=of
Germany ^np++++=Germany.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
German ^jj++++=German
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
in ^in++++=in
every ^at++++=every
line ^nn++++=line
of ^in++++=of
its ^pp$+it+++=its
architecture ^nn++++=architecture
and ^cc++++=and
design ^nn++++=design.
. ^zz++++=EXTRAWORD
The ^ati++++=The
plan ^nn++++=plan
was ^vbd+bedz+aux++=was
drawn ^vpsv++by+xvbnx+=drawn
by ^in++++=by
an ^at++++=an
old ^jj+atrb+++=old
draftsman ^nn+nom+++=draftsman
from ^in++++=from
the ^ati++++=the
" ^zz++++="Vaterland,"
vaterland ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
whose ^whp+who+++=whose
heart ^nn++++=heart
still ^rb++++=still
loved ^vbd+++xvbn+=loved
the ^ati++++=the
scenes ^nns++++=scenes
of ^in++++=of
his ^pp$+pp3+++=his
native ^jj+atrb+++=native
land ^nn++++=land,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
said ^vpsv++tht0+xvbnx+=said
he ^pp3a+pp3+++=he
reproduced ^vbd+++xvbnx+=reproduced
the ^ati++++=the
design ^nn++++=design
of ^in++++=of
a ^at++++=a
certain ^jj+atrb+++=certain
castle ^npl++++=castle
near ^rb++++=near
his ^pp$+pp3+++=his
birthplace ^nn++++=birthplace,
, ^zz++++=EXTRAWORD
with ^in++++=with
remarkable ^jj+atrb+++=remarkable
fidelity ^nn+nom+++=fidelity.
. ^zz++++=EXTRAWORD
Under ^in++++=Under
the ^ati++++=the
present ^jj+atrb+++=present
administration ^nn+nom+++=administration
a ^at++++=a
new ^jj+atrb+++=new
coat ^nn++++=coat
of ^in++++=of
paint ^nn++++=paint
has ^vbz+hvz+aux++=has
vulgarized ^vprf+++xvbnx+=vulgarized
its ^pp$+it+++=its
