When ^wrb+who+++=WHEN
Urda ^np+++??+=Urda
Bjarnason ^np+++??+=Bjarnason
tells ^vbz++++=tells
a ^at++++=a
tale ^nn++++=tale
all ^rb++++=all
the ^ati++++=the
men ^nns++++=men
stop ^vb++++=stop
their ^pp$+pp3+++=their
talking ^vbg+++xvbg+=talking
to ^to++++=to
listen ^vbi++++=listen,
, ^zz++++=EXTRAWORD
for ^in++++=for
they ^pp3a+pp3+++=they
know ^vb+vprv+tht0++=know
her ^pp$+pp3+++=her
to ^to++++=to
be ^vbi++vrb++=be
wise ^jj+pred+++=wise
with ^in++++=with
the ^ati++++=the
wisdom ^nn++++=wisdom
of ^in++++=of
the ^ati++++=the
old ^jj+atrb+++=old
people ^nns++++=people,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
has ^vbz+hvz+vrb++=has
more ^ql++++=more
learning ^jj+++xvbg+=learning
than ^in++++=than
can ^md+pos+++=can
be ^vb+be+aux++=be
got ^vpsv++agls+xvbnx+=got
even ^rb++++=even
from ^in++++=from
the ^ati++++=the
great ^jj+atrb+++=great
schools ^nns++++=schools
at ^in++++=at
Reykjavik ^np+++??+=Reykjavik.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
is ^vbz+bez+aux++=is
especially ^rb++splt++=especially
prized ^vpsv++by+xvbnx+=prized
by ^in++++=by
them ^pp3o+pp3+++=them
here ^rn+pl+++=here
in ^in++++=in
this ^dt+dem+++=this
new ^jj+atrb+++=new
country ^nn++++=country
where ^wrb+who+++=where
the ^ati++++=the
Icelandmen ^np+++??+=Icelandmen
are ^vb+ber+aux++=are
settled ^vpsv++agls+xvbnx+=settled
- ^zz++++=-this
this ^dt+dem+++=EXTRAWORD
America ^np++++=America,
, ^zz++++=EXTRAWORD
so ^ql++++=so
new ^np++++=new
in ^in++++=in
letters ^nns+nom+++=letters,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
people ^nns++++=people
speak ^vb++++=speak
foolishly ^rb++++=foolishly
and ^cc++++=and
write ^vb++++=write
unthinking ^jj+atrb+++=unthinking
books ^nns++++=books.
. ^zz++++=EXTRAWORD
So ^cs+sub+++=So
the ^ati++++=the
men ^nns++++=men
who ^whp+rel+subj++=who
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
given ^vpsv++agls+xvbnx+=given
to ^in++++=to
the ^ati++++=the
mothers ^nns+nom+++=mothers
of ^in++++=of
earth ^nn++++=earth
to ^to++++=to
be ^vbi++vrb++=be
very ^ql+amp+++=very
wise ^jj++++=wise,
, ^zz++++=EXTRAWORD
stop ^vb++++=stop
their ^pp$+pp3+++=their
six ^cd++++=six
part ^nn++++=part
singing ^vwbg+++xvbg+=singing,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
their ^pp$+pp3+++=their
jangles ^nns+++??+=jangles
about ^in++++=about
the ^ati++++=the
free ^jj++++=free-thinkers,
- ^zz++++=EXTRAWORD
thinkers ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
give ^vb++++=give
attentive ^jj+atrb+++=attentive
ear ^nn++++=ear
when ^wrb+who+++=when
Urda ^np+++??+=Urda
Bjarnason ^np+++??+=Bjarnason
lights ^nns++++=lights
her ^pp3o+pp3+++=her
pipe ^nn++++=pipe
and ^cc++++=and
begins ^vbz++++=begins
her ^pp$+pp3+++=her
tale ^nn++++=tale.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
is ^vbz+bez+vrb++=is
very ^ql+amp+++=very
old ^jj++++=old.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
daughters ^nns+nom+++=daughters
and ^cc++++=and
sons ^nns++++=sons
are ^vb+ber+vrb++=are
all ^abn++++=all
dead ^jj++++=dead,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
her ^pp$+pp3+++=her
granddaughter ^nn+nom+++=granddaughter,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
is ^vbz+bez+vrb++=is
most ^ql+emph+++=most
respectable ^jj++++=respectable,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
cousin ^nn++++=cousin
of ^in++++=of
a ^at++++=a
physician ^nn++++=physician,
, ^zz++++=EXTRAWORD
