A ^at++++=A
man ^nn++++=man,
, ^zz++++=EXTRAWORD
with ^in++++=with
thin ^jj+atrb+++=thin
brown ^jj+atrb+++=brown
hair ^nn++++=hair
and ^cc++++=and
a ^at++++=a
pale ^nn++++=pale
face ^nn++++=face,
, ^zz++++=EXTRAWORD
half ^abn++++=half
ran ^vbd+++xvbn+=ran,
, ^zz++++=EXTRAWORD
half ^abn++++=half
walked ^jj+++xvbn+=walked,
, ^zz++++=EXTRAWORD
along ^in++++=along
the ^ati++++=the
road ^npl++++=road
that ^tht+rel+subj++=that
wound ^vwbn+++xvbn+=wound
from ^in++++=from
the ^ati++++=the
south ^np+pl+++=south
to ^in++++=to
the ^ati++++=the
town ^nn++++=town
of ^in++++=of
Sligo ^np++++=Sligo.
. ^zz++++=EXTRAWORD
Many ^ap++++=Many
called ^jj+++xvbn+=called
him ^pp3o+pp3+++=him
Cumhal ^np+++??+=Cumhal,
, ^zz++++=EXTRAWORD
the ^ati++++=the
son ^nn++++=son
of ^in++++=of
Cormac ^np+++??+=Cormac,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
many ^ap++++=many
called ^jj+++xvbn+=called
him ^pp3o+pp3+++=him
the ^ati++++=the
Swift ^jj+atrb+++=Swift,
, ^zz++++=EXTRAWORD
Wild ^jj+atrb+++=Wild
Horse ^nn++++=Horse;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
gleeman ^nn++++=gleeman,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
wore ^vbd+++xvbnx+=wore
a ^at++++=a
short ^jj+atrb+++=short
parti ^nn+++??+=parti-coloured
- ^zz++++=EXTRAWORD
coloured ^jj+atrb++xvbn+=EXTRAWORD
doublet ^nn+nom+++=doublet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
pointed ^vprf+++xvbnx+=pointed
shoes ^nns++++=shoes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
bulging ^jj+atrb++xvbg+=bulging
wallet ^nn++++=wallet.
. ^zz++++=EXTRAWORD
Also ^rb++++=Also
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
of ^in++++=of
the ^ati++++=the
blood ^nn++++=blood
of ^in++++=of
the ^ati++++=the
Ernaans ^nns+nom++??+=Ernaans,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
birth ^nn++++=birth-place
- ^zz++++=EXTRAWORD
place ^nn++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
Field ^nn++++=Field
of ^in++++=of
Gold ^nn++++=Gold;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
eating ^nvbg+++xvbg+=eating
and ^cc++++=and
sleeping ^nvbg+++xvbg+=sleeping
places ^nns++++=places
where ^wrb+who+++=where
the ^ati++++=the
four ^cd++++=four
provinces ^nns++++=provinces
of ^in++++=of
Eri ^np+++??+=Eri,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
abiding ^jj+atrb+++=abiding
place ^nn++++=place
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
upon ^in++++=upon
the ^ati++++=the
ridge ^nn++++=ridge
of ^in++++=of
the ^ati++++=the
earth ^nn++++=earth.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
eyes ^nns++++=eyes
strayed ^vbd+++xvbn+=strayed
from ^in++++=from
the ^ati++++=the
Abbey ^nn++++=Abbey
tower ^nn++++=tower
of ^in++++=of
the ^ati++++=the
White ^jj+atrb+++=White
Friars ^np++++=Friars
and ^cc++++=and
the ^ati++++=the
town ^nn++++=town
battlements ^nns+nom+++=battlements
to ^in++++=to
a ^at++++=a
row ^nn++++=row
of ^in++++=of
crosses ^nns++++=crosses
which ^whp+rel+subj++=which
stood ^vbd+++xvbn+=stood
out ^rp+pl+++=out
against ^in++++=against
the ^ati++++=the
sky ^nn++++=sky
upon ^in++++=upon
a ^at++++=a
hill ^nn++++=hill
a ^rb++++=a
little ^rb"++++=little
to ^in++++=to
the ^ati++++=the
eastward ^rb++++=eastward
of ^in++++=of
the ^ati++++=the
town ^nn++++=town,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
clenched ^vbd+++xvbnx+=clenched
his ^pp$+pp3+++=his
fist ^nn++++=fist,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
shook ^vbd+++xvbn+=shook
it ^pp3+it+++=it
