Searchers ^nns+nom++??+=Searchers
after ^in++++=after
horror ^nn++++=horror
haunt ^nn++++=haunt
strange ^jj++++=strange,
, ^zz++++=EXTRAWORD
far ^rb+pl+++=far
places ^nns++++=places.
. ^zz++++=EXTRAWORD
For ^in++++=For
them ^pp3o+pp3+++=them
are ^vb+ber+vrb++=are
the ^ati++++=the
catacombs ^nns+++??+=catacombs
of ^in++++=of
Ptolemais ^np+++??+=Ptolemais,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
carven ^jj+atrb++xvbn+=carven
mausolea ^nn+++??+=mausolea
of ^in++++=of
the ^ati++++=the
nightmare ^nn++++=nightmare
countries ^nns++++=countries.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
climb ^vb++++=climb
to ^in++++=to
the ^ati++++=the
moonlit ^nn+++??+=moonlit
towers ^nns++++=towers
of ^in++++=of
ruined ^jj+++xvbn+=ruined
Rhine ^np++++=Rhine
castles ^nns++++=castles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
falter ^jjr++++=falter
down ^rp++++=down
black ^jj+atrb+++=black
cobwebbed ^jj+atrb++xvbn+=cobwebbed
steps ^nns++++=steps
beneath ^in+pl+++=beneath
the ^ati++++=the
scattered ^jj+atrb++xvbn+=scattered
stones ^nns++++=stones
of ^in++++=of
forgotten ^vbn+vprv++xvbn+=forgotten
cities ^nns++++=cities
in ^in++++=in
Asia ^np++++=Asia.
. ^zz++++=EXTRAWORD
The ^ati++++=The
haunted ^jj+++xvbn+=haunted
wood ^npl++++=wood
and ^cc++++=and
the ^ati++++=the
desolate ^jj+atrb+++=desolate
mountain ^nn++++=mountain
are ^vb+ber+vrb++=are
their ^pp$+pp3+++=their
shrines ^nns++++=shrines,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
linger ^vb++++=linger
around ^in++++=around
the ^ati++++=the
sinister ^jj+atrb+++=sinister
monoliths ^nns++++=monoliths
on ^in++++=on
uninhabited ^jj+atrb+++=uninhabited
islands ^nns++++=islands.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
true ^jj+atrb+++=true
epicure ^nn++++=epicure
in ^in++++=in
the ^ati++++=the
terrible ^jj++++=terrible,
, ^zz++++=EXTRAWORD
to ^to++++=to
whom ^whp+wpor+++=whom
a ^at++++=a
new ^jj+atrb+++=new
thrill ^nn++++=thrill
of ^in++++=of
unutterable ^jj+atrb+++=unutterable
ghastliness ^nns+nom+++=ghastliness
is ^vbz+bez+vrb++=is
the ^ati++++=the
chief ^jjb+atrb+++=chief
end ^nn++++=end
and ^cc++++=and
justification ^nn+nom+++=justification
of ^in++++=of
existence ^nn+nom+++=existence,
, ^zz++++=EXTRAWORD
esteems ^nns+++??+=esteems
most ^ql+emph+++=most
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
ancient ^jj+atrb+++=ancient,
, ^zz++++=EXTRAWORD
lonely ^jj+atrb+++=lonely
farmhouses ^nns++++=farmhouses
of ^in++++=of
backwoods ^nns++++=backwoods
New ^jj+atrb+++=New
England ^np++++=England;
; ^zz++++=EXTRAWORD
for ^in++++=for
there ^rn+pl+++=there
the ^ati++++=the
dark ^jj+atrb+++=dark
elements ^nns+nom+++=elements
of ^in++++=of
strength ^nn++++=strength,
, ^zz++++=EXTRAWORD
solitude ^nn++++=solitude,
, ^zz++++=EXTRAWORD
grotesqueness ^nns+nom+++=grotesqueness
and ^cc++++=and
ignorance ^nn+nom+++=ignorance
combine ^nn++++=combine
to ^in++++=to
form ^nn++++=form
the ^ati++++=the
perfection ^nn+nom+++=perfection
of ^in++++=of
the ^ati++++=the
hideous ^nn++++=hideous.
. ^zz++++=EXTRAWORD
Most ^ql+emph+++=Most
horrible ^jj++++=horrible
of ^in++++=of
all ^abn++++=all
sights ^nns++++=sights
are ^vb+ber+vrb++=are
the ^ati++++=the
little ^jj+atrb+++=little
unpainted ^jj+atrb+++=unpainted
wooden ^jj+atrb+++=wooden
houses ^nns++++=houses
remote ^jj++++=remote
from ^in++++=from
travelled ^vbd+++xvbn+=travelled
ways ^nns++++=ways,
, ^zz++++=EXTRAWORD
usually ^rb+down+++=usually
squatted ^vbd+++xvbn+=squatted
upon ^in++++=upon
some ^dti++++=some
damp ^jj+atrb+++=damp
grassy ^jj+atrb+++=grassy
slope ^nn++++=slope
or ^cc++++=or
leaning ^jj+++xvbg+=leaning
against ^in++++=against
some ^dti++++=some
gigantic ^jj++++=gigantic
outcropping ^jj+++xvbg+=outcropping
of ^in++++=of
rock ^nn++++=rock.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
hundred ^cd++++=hundred
years ^nns++++=years
and ^cc++++=and
more ^ql++++=more
they ^pp3a+pp3+++=they
have ^vb+hv+aux++=have
leaned ^vprf+++xvbnx+=leaned
or ^cc+phrs+++=or
squatted ^vbd+++xvbn+=squatted
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
