Men ^nns++++=Men
were ^vbd+bed+aux++=were
placed ^vpsv++agls+xvbnx+=placed
at ^rb++++=at
the ^ati++++=the
water ^nn++++=water-pumps,
- ^zz++++=EXTRAWORD
pumps ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
oxygen ^nn++++=oxygen
containers ^nns+nom+++=containers,
, ^zz++++=EXTRAWORD
air ^nn++++=air-purifiers
- ^zz++++=EXTRAWORD
purifiers ^nns+nom+++=EXTRAWORD
and ^cc++++=and
vdistilling ^nn+nom+++=vdistilling
machinery ^nn+nom+++=machinery,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
vhatchways ^rb++++=vhatchways
were ^vbd+bed+aux++=were
thoroughly ^rb+amp+splt++=thoroughly
examined ^vpsv++agls+xvbnx+=examined;
; ^zz++++=EXTRAWORD
the ^ati++++=the
gunners ^nns+nom+++=gunners
took ^vbd+++xvbn+=took
their ^pp$+pp3+++=their
posts ^nns++++=posts
at ^in++++=at
the ^ati++++=the
torpedo ^nn+++??+=torpedo
tubes ^nns++++=tubes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
order ^to++++=order
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
given ^vpsv++agls+xvbnx+=given
to ^to++++=to
move ^vbi++++=move
about ^rb+phrv+++=about
as ^ql++++=as
little ^ap++++=little
as ^ql++++=as
possible ^jj++++=possible,
, ^zz++++=EXTRAWORD
to ^to++++=to
keep ^vbi++++=keep
in ^rb+phrv+++=in
the ^ati++++=the
berths ^nns++++=berths
when ^wrb+who+++=when
not ^xnot++not++=not
on ^in++++=on
duty ^nn++++=duty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
to ^to++++=to
talk ^vbi++++=talk
and ^cc++++=and
laugh ^nn++++=laugh.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
watchman ^nn+nom+++=watchman
left ^vbd+++xvbn+=left
the ^ati++++=the
vconning ^jj+++xvbg+=vconning
tower ^npl++++=tower,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
main ^jjb+atrb+++=main
hatchway ^nn+++??+=hatchway
was ^vbd+bedz+aux++=was
vhermetically ^rb++splt++=vhermetically
closed ^vpsv++agls+xvbnx+=closed.
. ^zz++++=EXTRAWORD
Captain ^npt++++=Captain
Andrey ^np+++??+=Andrey
gave ^vbd+++xvbn+=gave
the ^ati++++=the
order ^vb++++=order
to ^to+vcmp+++=to
submerge ^vb+++??+=submerge
and ^cc++++=and
went ^vpsv++agls+xvbn+=went
over ^rb+phrv+++=over
to ^in+ppvb+++=to
the ^ati++++=the
navigating ^jj+atrb++xvbg+=navigating
compartment ^nn+nom+++=compartment.
. ^zz++++=EXTRAWORD
Water ^nn++++=Water
rushed ^vbd+++xvbn+=rushed
into ^in++++=into
the ^ati++++=the
