Laura ^nn++++=Laura
stood ^vbd+++xvbn+=stood
across ^in+pl+++=across
the ^ati++++=the
street ^nn++++=street
waiting ^vwbg+++xvbg+=waiting
for ^in++++=for
the ^ati++++=the
people ^nn++++=people
to ^to++++=to
come ^vbi++++=come
out ^rp+pl+++=out
from ^in++++=from
the ^ati++++=the
picture ^nn++++=picture-show.
- ^zz++++=EXTRAWORD
show ^vb+vprv+++=EXTRAWORD
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+aux++=have
said ^vprf+++xvbnx+=said
just ^rb+emph+++=just
why ^wrb+who+++=why
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
waiting ^vbg+++xvbgx+=waiting,
, ^zz++++=EXTRAWORD
unless ^cs+cnd+++=unless
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
waiting ^vbg+++xvbgx+=waiting
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
could ^md+pos+++=could
not ^xnot++not++=not
go ^vb++++=go
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
wearing ^vbg+++xvbg+=wearing
her ^pp$+pp3+++=her
black ^jj++++=black;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
a ^at++++=a
reason ^nn++++=reason
for ^in++++=for
not ^xnot++not++=not
wearing ^vbg+++xvbg+=wearing
it ^pp3+it+++=it
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
came ^vbd+++xvbnx+=came
on ^in++++=on
these ^dt+dem+++=these
trips ^nns++++=trips,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
simple ^jj+atrb+++=simple
lines ^nns++++=lines
of ^in++++=of
her ^pp$+pp3+++=her
dark ^jj++++=dark-blue
- ^zz++++=EXTRAWORD
blue ^jj+atrb+++=EXTRAWORD
suit ^nn++++=suit
and ^cc++++=and
the ^ati++++=the
smart ^jj++++=smart
little ^ap++++=little
hat ^nn++++=hat
Howie ^np++++=Howie
had ^vb+hv+aux++=had
always ^rb++splt++=always
liked ^vprf+++xvbnx+=liked
on ^in++++=on
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
somehow ^rb++++=somehow
suggested ^vbd+vpub++xvbn+=suggested
young ^jj+atrb+++=young
and ^cc+phrs+++=and
happy ^jj+atrb+++=happy
things ^nns++++=things.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
soldiers ^nns+nom+++=soldiers
came ^vwbn+++xvbn+=came
by ^in+strn+++=by;
; ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Hello,
hello ^rb+dspt+++=EXTRAWORD
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
kiddo ^nn+++??+=kiddo,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
noting ^vbg+vprv++xvbg+=noting
the ^ati++++=the
anxiety ^nn++++=anxiety
with ^in++++=with
which ^whp+rel+pied++=which
she ^pp3a+pp3+++=she
waited ^vbd+++xvbnx+=waited,
, ^zz++++=EXTRAWORD
assured ^vpbn+vpub+tht0+xvbn+=assured
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
should ^md+nec+++=should
worry ^vb+vprv+++=worry."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
saw ^vbd+vprv+tht0+xvbnx+=saw
her ^pp$+pp3+++=her
face ^nn++++=face
the ^ati++++=the
one ^cd1++++=one
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
said ^vprf+++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
should ^md+nec+++=should
worry ^vb+vprv+++=worry,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
in ^in++++=in
sheepish ^jj+atrb+++=sheepish
fashion ^nn++++=fashion,
, ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
worry ^vb+vprv+++=worry,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
to ^to++++=to
get ^vbi++++=get
out ^rb+phrv+++=out
of ^in++++=of
the ^ati++++=the
apology ^nn++++=apology
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
to ^to++++=to
make ^vbi++++=make.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
glad ^jj+pred+++=glad
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
by ^in+strn+++=by.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
hurt ^vbd+++xvbn+=hurt
so ^pn++++=so
to ^to++++=to
be ^vbi++vrb++=be
near ^in+pl+++=near
the ^ati++++=the
soldiers ^nns+nom+++=soldiers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
behind ^rp+pl+++=behind
her ^pp3o+pp3+++=her
kept ^vbd+++xvbn+=kept
saying ^vbg+++xvbg+=saying,
, ^zz++++=EXTRAWORD
" ^zz++++="Pop-corn!
pop ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
corn ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Pop ^nn++++=Pop-corn
- ^zz++++=EXTRAWORD
corn ^nn++++=EXTRAWORD
right ^nn++++=right
here ^rn+pl+++=here."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemed ^vbd+seem+tht0+xvbn+=seemed
she ^pp3a+pp3+++=she
must ^md+nec+++=must
buy ^vb++++=buy
pop ^nn++++=pop-corn
- ^zz++++=EXTRAWORD
corn ^nn++++=EXTRAWORD
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
stood ^vbd+++xvbnx+=stood
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
bought ^vbd+++xvbnx+=bought
some ^dti++++=some.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
do ^vbi++++=do
the ^ati++++=the
thing ^nn++++=thing
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
expected ^vpsv++agls+xvbnx+=expected
to ^to+vcmp+++=to
do ^vbi++++=do
so ^ql++++=so
she ^pp3a+pp3+++=she
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+aux++=be
noticed ^vpsv++agls+xvbnx+=noticed.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
people ^nn++++=people
came ^vbd+++xvbn+=came
pushing ^vbg+++xvbg+=pushing
out ^rp+pl+++=out
from ^in++++=from
the ^ati++++=the
theater ^nn++++=theater.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
did ^vbd+dod+vrb++=did
it ^pp3+it+++=it
just ^rb+emph+++=just
as ^ql++++=as
they ^pp3a+pp3+++=they
did ^vbd+dod+vrb++=did
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
other ^ap++++=other
towns ^nns++++=towns.
. ^zz++++=EXTRAWORD
A ^at++++=A
new ^jj+atrb+++=new
town ^nn++++=town
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
the ^ati++++=the
same ^ap++++=same
town ^nn++++=town
in ^in++++=in
a ^at++++=a
different ^jj+atrb+++=different
place ^nn++++=place;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
of ^in++++=of
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
world ^nn++++=world
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
as ^ql++++=as
out ^rp+pl+++=out
of ^in++++=of
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
were ^vbd+bed+aux++=were
passing ^vbg+++xvbgx+=passing
before ^in++++=before
her ^pp$+pp3+++=her
in ^in++++=in
a ^at++++=a
picture ^nn++++=picture.
. ^zz++++=EXTRAWORD
All ^abn++++=All
of ^in++++=of
