1 ^zz++++=1
The ^ati++++=The
blue ^jj+atrb+++=blue
prints ^nns++++=prints
and ^cc++++=and
specifications ^nns+nom+++=specifications
in ^in++++=in
the ^ati++++=the
case ^nn++++=case
of ^in++++=of
Tidbury ^np+++??+=Tidbury
Epps ^np+++??+=Epps
follow ^vb+vprv+++=follow:
: ^zz++++=EXTRAWORD
Age ^nn++++=Age:
: ^zz++++=EXTRAWORD
the ^ati++++=the
early ^jj++++=early
thirties ^cds++++=thirties.
. ^zz++++=EXTRAWORD
Status ^nn++++=Status:
: ^zz++++=EXTRAWORD
bachelor ^nn++++=bachelor.
. ^zz++++=EXTRAWORD
Habitat ^nn++++=Habitat:
: ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Kelty ^np++++=Kelty's
's ^$++++=EXTRAWORD
Refined ^jj+atrb++xvbn+=Refined
Boarding ^nn++++=Boarding
House ^nn++++=House,
, ^zz++++=EXTRAWORD
Brooklyn ^np+++??+=Brooklyn.
. ^zz++++=EXTRAWORD
Occupation ^nn+nom+++=Occupation:
: ^zz++++=EXTRAWORD
a ^at++++=a
lesser ^jjr+atrb+++=lesser
clerk ^nn++++=clerk
in ^in++++=in
the ^ati++++=the
wholesale ^jjb+atrb+++=wholesale
selling ^jj+atrb++xvbg+=selling
department ^nn+nom+++=department
of ^in++++=of
Spingle ^np+++??+=Spingle
& ^zz++++=&
Blatter ^np+++??+=Blatter,
, ^zz++++=EXTRAWORD
Nifty ^np+++??+=Nifty
Straw ^nn++++=Straw
Hattings ^np+++??+=Hattings.
. ^zz++++=EXTRAWORD
See ^vb+vprv+++=See
Advts ^np+++??+=Advts.
. ^zz++++=EXTRAWORD
Appearance ^nn+nom+++=Appearance:
: ^zz++++=EXTRAWORD
that ^dt+dem+++=that
of ^in++++=of
a ^at++++=a
lesser ^jjr+atrb+++=lesser
clerk ^nn++++=clerk.
. ^zz++++=EXTRAWORD
Weight ^nn++++=Weight:
: ^zz++++=EXTRAWORD
feather ^nn++++=feather.
. ^zz++++=EXTRAWORD
Nose ^nn++++=Nose:
: ^zz++++=EXTRAWORD
stub ^nn++++=stub.
. ^zz++++=EXTRAWORD
Eyes ^nns++++=Eyes:
: ^zz++++=EXTRAWORD
apologetic ^jj++++=apologetic.
. ^zz++++=EXTRAWORD
Teeth ^nns++++=Teeth:
: ^zz++++=EXTRAWORD
obvious ^jj++++=obvious.
. ^zz++++=EXTRAWORD
Figure ^nn++++=Figure:
: ^zz++++=EXTRAWORD
brief ^jj++++=brief.
. ^zz++++=EXTRAWORD
Manner ^nn++++=Manner:
: ^zz++++=EXTRAWORD
diffident ^jj++++=diffident.
. ^zz++++=EXTRAWORD
Nature ^nn++++=Nature:
: ^zz++++=EXTRAWORD
kind ^nn++++=kind.
. ^zz++++=EXTRAWORD
Disposition ^nn+nom+++=Disposition:
: ^zz++++=EXTRAWORD
amiable ^jj++++=amiable
but ^cc+phrs+++=but
subdued ^jj++++=subdued.
. ^zz++++=EXTRAWORD
Conspicuous ^jj+atrb+++=Conspicuous
vices ^nns++++=vices:
: ^zz++++=EXTRAWORD
none ^pn++++=none.
. ^zz++++=EXTRAWORD
Conspicuous ^jj+atrb+++=Conspicuous
virtues ^nns++++=virtues:
: ^zz++++=EXTRAWORD
none ^pn++++=none.
. ^zz++++=EXTRAWORD
Distinguishing ^jj+atrb++xvbg+=Distinguishing
marks ^nns++++=marks:
: ^zz++++=EXTRAWORD
none ^pn++++=none.
. ^zz++++=EXTRAWORD
Tidbury ^np+++??+=Tidbury
was ^vbd+bedz+vrb++=was
no ^at++++=no
Napoleon ^np++++=Napoleon.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
aware ^jj+pred+++=aware
of ^in++++=of
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
was ^vbd+bedz+vrb++=was
everybody ^pn++++=everybody
in ^in++++=in
the ^ati++++=the
hat ^nn++++=hat
company ^nn++++=company,
, ^zz++++=EXTRAWORD
including ^in+strn+++=including,
, ^zz++++=EXTRAWORD
unfortunately ^rb+cnj+++=unfortunately,
, ^zz++++=EXTRAWORD
Titus ^np+++??+=Titus
Spingle ^np+++??+=Spingle,
, ^zz++++=EXTRAWORD
the ^ati++++=the
president ^nn++++=president,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
felt ^vprf+++xvbn+=felt
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
a ^at++++=a
thing ^nn++++=thing
or ^cc++++=or
two ^cd++++=two
about ^in++++=about
Bonapartes ^np+++??+=Bonapartes
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
been ^vprf+ben+aux+xvbnx+=been
referred ^vpsv++agls+xvbnx+=referred
to ^in++++=to
in ^in++++=in
a ^at++++=a
straw ^nn++++=straw-hat
- ^zz++++=EXTRAWORD
hat ^nn++++=EXTRAWORD
trade ^nn++++=trade
paper ^nn++++=paper
as ^in++++=as
the ^ati++++=the
Napoleon ^np++++=Napoleon
of ^in++++=of
Hatdom ^np+++??+=Hatdom.
. ^zz++++=EXTRAWORD
Mildly ^rb+cnj+++=Mildly,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
everything ^pn++++=everything
else ^rb+cnj+++=else
in ^in++++=in
life ^nn++++=life,
, ^zz++++=EXTRAWORD
Tidbury ^np+++??+=Tidbury
admired ^vbd+++xvbn+=admired,
, ^zz++++=EXTRAWORD
indeed ^rb++++=indeed
almost ^rb+hdg+++=almost
envied ^vbd+++xvbn+=envied
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Spingle ^np++++=Spingle's
's ^$++++=EXTRAWORD
silk ^nn++++=silk
shirts ^nns++++=shirts,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
customarily ^rb++++=customarily
suggested ^vbd+vpub++xvbn+=suggested
an ^at++++=an
explosion ^nn++++=explosion
in ^in++++=in
