I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
The ^ati++++=THE
City ^nn++++=CITY.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
once ^rb+tm+++=once
a ^rb++++=a
little ^rb"++++=little
boy ^nn++++=boy
whose ^whp+rel+obj++=whose
name ^nn++++=name
was ^vbd+bedz+vrb++=was
Richard ^np++++=Richard
Whit ^np+++??+=Whit
ting ^vwbg+++xvbg+=ting-ton;
- ^zz++++=EXTRAWORD
ton ^&fw++++=EXTRAWORD
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
everybody ^pn++++=everybody
called ^vbd+++xvbn+=called
him ^pp3o+pp3+++=him
Dick ^np++++=Dick.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
father ^nn++++=father
and ^cc++++=and
mother ^nn++++=mother
had ^vbd+hvd+aux++=had
died ^vprf+++xvbnx+=died
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
a ^at++++=a
babe ^nn++++=babe,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
people ^nns++++=people
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
the ^ati++++=the
care ^nn++++=care
of ^in++++=of
him ^pp3o+pp3+++=him
were ^vbd+bed+vrb++=were
very ^ql+amp+++=very
poor ^jj++++=poor.
. ^zz++++=EXTRAWORD
Dick ^np++++=Dick
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
old ^jj++++=old
enough ^dt++++=enough
to ^in++++=to
work ^nn++++=work,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
a ^at++++=a
hard ^jj+atrb+++=hard
time ^nn++++=time
of ^in++++=of
it ^pp3+it+++=it
indeed ^rb++++=indeed.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
no ^at++++=no
break ^vb++++=break-fast,
- ^zz++++=EXTRAWORD
fast ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sometimes ^rb++++=sometimes
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
no ^at++++=no
dinner ^nn++++=dinner;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
glad ^jj+pred+++=glad
at ^in++++=at
any ^dti++++=any
time ^nn++++=time
to ^to++++=to
get ^vbi++++=get
a ^at++++=a
crust ^nn++++=crust
of ^in++++=of
bread ^nn++++=bread
or ^cc++++=or
a ^at++++=a
drop ^nn++++=drop
of ^in++++=of
milk ^nn++++=milk.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
town ^nn++++=town
where ^wrb+who+++=where
Dick ^np++++=Dick
lived ^vbd+++xvbn+=lived,
, ^zz++++=EXTRAWORD
the ^ati++++=the
people ^nns++++=people
liked ^vbd+++xvbn+=liked
to ^to+vcmp+++=to
talk ^vbi++++=talk
about ^in++++=about
London ^np++++=London.
. ^zz++++=EXTRAWORD
None ^pn++++=None
of ^in++++=of
them ^pp3o+pp3+++=them
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
been ^vprf+ben+vrb+xvbnx+=been
to ^in++++=to
the ^ati++++=the
