In ^in++++=IN
Remembrance ^nn+nom+++=REMEMBRANCE
Of ^in++++=OF
" ^zz++++="SAMMY,"
sammy ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=THE
Intelligent ^jj++++=INTELLIGENT
Pink ^jj++++=PINK-EYED
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
Representative ^nn++++=REPRESENTATIVE
Of ^in++++=OF
A ^at++++=A
Persecuted ^np+++??+=PERSECUTED
( ^zz++++=(BUT
but ^cc++++=EXTRAWORD
Irrepressible ^np+++??+=IRREPRESSIBLE)
) ^zz++++=EXTRAWORD
Race ^nn++++=RACE.
. ^zz++++=EXTRAWORD
An ^at++++=AN
Affectionate ^jj+atrb+++=AFFECTIONATE
Little ^jj+atrb+++=LITTLE
Friend ^nn++++=FRIEND.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=AND
Most ^ql+emph+++=MOST
Accomplished ^jj+atrb++xvbn+=ACCOMPLISHED
Thief ^nn++++=THIEF!
! ^zz++++=EXTRAWORD
The ^ati++++=THE
Roly ^np+++??+=ROLY-POLY
- ^zz++++=EXTRAWORD
poly ^np++++=EXTRAWORD
Pudding ^nn++++=PUDDING
Once ^rb+tm+++=ONCE
upon ^in++++=upon
a ^at++++=a
time ^nn++++=time
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
an ^at++++=an
old ^jj+atrb+++=old
cat ^nn++++=cat,
, ^zz++++=EXTRAWORD
called ^j+++xvbn+=called
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Tabitha ^np++++=Tabitha
Twitchit ^np+++??+=Twitchit,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
an ^at++++=an
anxious ^jj+atrb+++=anxious
parent ^nn++++=parent.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
used ^md"++pmd"++=used
to ^to++++=to
lose ^vb++++=lose
her ^pp$+pp3+++=her
kittens ^vbz+++??+=kittens
continually ^rb+cnj+++=continually,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
whenever ^nn+nom+++=whenever
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
lost ^vpsv++agls+xvbnx+=lost
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
always ^rb++++=always
in ^in++++=in
mischief ^nn++++=mischief!
! ^zz++++=EXTRAWORD
On ^in++++=On
baking ^nn++++=baking
day ^nn++++=day
she ^pp3a+pp3+++=she
determined ^jj+++xvbnx+=determined
to ^to+jcmp+++=to
shut ^vbi++++=shut
