Everybody ^pn++++=EVERYBODY
knows ^vbz+vprv+++=knows,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
general ^jj+atrb+++=general
way ^nn++++=way,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
finest ^jjt+atrb+++=finest
place ^nn++++=place
in ^in++++=in
the ^ati++++=the
world ^nn++++=world
is ^vbz+bez+vrb++=is
- ^zz++++=-or,
or ^cc++++=EXTRAWORD
, ^zz++++=EXTRAWORD
alas ^uh++++=alas,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
- ^zz++++=-the
the ^ati++++=EXTRAWORD
Dutch ^nn++++=Dutch
borough ^nn++++=borough
of ^in++++=of
Vondervotteimittiss ^np+++??+=Vondervotteimittiss.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
as ^ql++++=as
it ^pp3+it+++=it
lies ^vbz++++=lies
some ^dti++++=some
distance ^nn+nom+++=distance
from ^in++++=from
any ^dti++++=any
of ^in++++=of
the ^ati++++=the
main ^jjb+atrb+++=main
roads ^nns++++=roads,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
in ^in++++=in
a ^at++++=a
somewhat ^rb+down+++=somewhat
out ^rp+pl+++=out-of-the-way
- ^zz++++=EXTRAWORD
of ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
the ^ati++++=EXTRAWORD
- ^zz++++=EXTRAWORD
way ^nn++++=EXTRAWORD
situation ^nn+nom+++=situation,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
perhaps ^rb++++=perhaps
very ^ql+amp+++=very
few ^ap++++=few
of ^in++++=of
my ^pp$+pp1+++=my
readers ^nns+nom+++=readers
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
ever ^rb++splt++=ever
paid ^vprf+++xvbnx+=paid
it ^pp3+it+++=it
a ^at++++=a
visit ^nn++++=visit.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
benefit ^nn++++=benefit
of ^in++++=of
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
have ^vb+hv+vrb++=have
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
will ^md+prd+++=will
be ^vb+be+vrb++=be
only ^rb+down+++=only
proper ^jj+pred+++=proper
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
should ^md+nec+++=should
enter ^vb++++=enter
into ^in+ppvb+++=into
some ^dti++++=some
account ^nn++++=account
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
indeed ^rb++++=indeed
the ^ati++++=the
more ^rbr++++=more
necessary ^jj++++=necessary,
, ^zz++++=EXTRAWORD
as ^in++++=as
with ^in"++++=with
the ^ati++++=the
hope ^nn++++=hope
of ^in++++=of
enlisting ^xvbg+++xvbg+=enlisting
public ^jj+atrb+++=public
sympathy ^nn++++=sympathy
in ^in++++=in
behalf ^in"++++=behalf
of ^in"++++=of
the ^ati++++=the
inhabitants ^nns+nom+++=inhabitants,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
design ^nn++++=design
here ^rn+pl+++=here
to ^to++++=to
give ^vbi++++=give
a ^at++++=a
history ^nn++++=history
of ^in++++=of
the ^ati++++=the
calamitous ^jj+atrb+++=calamitous
events ^nns++++=events
which ^whp+rel+subj++=which
have ^vb+hv+aux++=have
so ^rb++splt++=so
lately ^rb+tm+++=lately
occurred ^vbd+++xvbn+=occurred
within ^in++++=within
its ^pp$+it+++=its
limits ^nns++++=limits.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
who ^whp+rel+subj++=who
knows ^vbz+vprv+tht0++=knows
me ^pp1o+pp1+++=me
will ^md+prd+++=will
doubt ^vb++++=doubt
that ^tht+vcmp+++=that
the ^ati++++=the
duty ^nn++++=duty
thus ^rb+cnj+++=thus
self ^nn++++=self-imposed
- ^zz++++=EXTRAWORD
imposed ^vbd+++xvbn+=EXTRAWORD
will ^md+prd+++=will
be ^vb+be+aux++=be
executed ^vpsv++agls+xvbnx+=executed
to ^in++++=to
the ^ati++++=the
best ^nn++++=best
of ^in++++=of
my ^pp$+pp1+++=my
ability ^nn+nom+++=ability,
, ^zz++++=EXTRAWORD
with ^in++++=with
all ^abn++++=all
that ^dt+dem+++=that
rigid ^jj+atrb+++=rigid
impartiality ^nn+nom+++=impartiality,
, ^zz++++=EXTRAWORD
all ^abn++++=all
that ^dt+dem+++=that
cautious ^jj+atrb+++=cautious
examination ^nn+nom+++=examination
into ^in++++=into
facts ^nns++++=facts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
diligent ^jj+atrb+++=diligent
collation ^nn+nom+++=collation
of ^in++++=of
authorities ^nns+nom+++=authorities,
, ^zz++++=EXTRAWORD
