Speaking ^vbg+++xvbg+=SPEAKING
in ^in++++=in
after ^in++++=after
years ^nns++++=years
about ^in++++=about
that ^dt+dem+++=that
period ^nn++++=period
of ^in++++=of
his ^pp$+pp3+++=his
life ^nn++++=life,
, ^zz++++=EXTRAWORD
Lloyd ^np++++=Lloyd
Merriwether ^np+nom++??+=Merriwether,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
a ^at++++=a
New ^jj+atrb+++=New
Englander ^np+nom++??+=Englander
and ^cc+cls+++=and
thus ^rb+cnj+++=thus
congenitally ^rb++++=congenitally
given ^vbd+++xvbn+=given
to ^to++++=to
dissecting ^vbg+++xvbg+=dissecting
his ^pp$+pp3+++=his
motives ^nns++++=motives
and ^cc++++=and
reactions ^nns+nom+++=reactions
and ^cc++++=and
screwing ^vbg+++xvbg+=screwing
them ^pp3o+pp3+++=them
into ^in++++=into
test ^nn++++=test-tubes,
- ^zz++++=EXTRAWORD
tubes ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
used ^md"++pmd"++=used
to ^to++++=to
add ^vb+vpub+++=add,
, ^zz++++=EXTRAWORD
by ^in++++=by
way ^in"++++=way
of ^in"++++=of
psychological ^jj+atrb+++=psychological
comment ^nn+nom+++=comment,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
the ^ati++++=the
big ^jj+atrb+++=big
things ^nns++++=things
that ^tht+rel+subj++=that
mattered ^vbd+++xvbn+=mattered
in ^in++++=in
a ^at++++=a
crisis ^nn++++=crisis,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
small ^jj+atrb+++=small
ones ^pn++++=ones;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
same ^ap++++=same
token ^nn++++=token,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
the ^ati++++=the
big ^jj+atrb+++=big
things ^nns++++=things
one ^cd1++++=one
missed ^vprf+++xvbn+=missed
when ^wrb+who+++=when
one ^cd1++++=one
was ^vbd+bedz+vrb++=was
away ^in+pl+++=away
from ^in"++++=from
that ^dt+dem+++=that
blending ^vbg+++xvbg+=blending
of ^in++++=of
hackneyed ^jj+atrb+++=hackneyed
efficiency ^nn++++=efficiency
and ^cc++++=and
pinchbeck ^jj+atrb++??+=pinchbeck
mechanical ^jj+atrb+++=mechanical
process ^nns+nom+++=process
called ^vbd+++xvbn+=called
Civilization ^nn+nom+++=Civilization,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
petty ^jj+atrb+++=petty,
, ^zz++++=EXTRAWORD
negligible ^jj+atrb+++=negligible
ones ^cd1s++++=ones
those ^dt+dem+++=those
that ^dt+pdem+++=that
have ^vb+hv+aux++=have
grown ^vprf+++xvbnx+=grown
to ^to++++=to
become ^vbi++++=become
second ^od++++=second
nature ^nn++++=nature,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
integrally ^rb++++=integrally
part ^nn++++=part
of ^in++++=of
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
self ^nn++++=self,
, ^zz++++=EXTRAWORD
like ^in++++=like
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
ears ^nns++++=ears,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
nose ^nn++++=nose.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
