Being ^vbg+beg++xvbg+=Being
a ^at++++=a
New ^jj+atrb+++=New
Englander ^np+nom++??+=Englander,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
natural ^jj+pred+++=natural
that ^tht+jcmp+++=that
I ^pp1a+pp1+++=I
should ^md+nec+++=should
first ^od++++=first
speak ^vb++++=speak
about ^in++++=about
the ^ati++++=the
weather ^nn++++=weather.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
June ^nr++++=June,
, ^zz++++=EXTRAWORD
the ^ati++++=the
green ^jj+atrb+++=green
fields ^nns++++=fields,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
blue ^jj+atrb+++=blue
sky ^nn++++=sky,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bright ^jj+atrb+++=bright
sun ^nn++++=sun,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
touch ^nn++++=touch
of ^in++++=of
northern ^jj+atrb+++=northern
mountain ^nn++++=mountain
wind ^nn++++=wind
blowing ^vwbg+++xvbg+=blowing
straight ^jj++++=straight
toward ^in++++=toward
the ^ati++++=the
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
make ^vb++++=make
such ^abl++++=such
a ^at++++=a
day ^nn++++=day,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
all ^abn++++=all
one ^cd1++++=one
can ^md+pos+++=can
say ^vb+vpub+++=say
about ^in++++=about
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
were ^vbd+bed+aux++=were
driving ^vbg+++xvbgx+=driving
seaward ^jjb++++=seaward
through ^in++++=through
a ^at++++=a
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
country ^nn++++=country
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
least ^rbt++splt++=least
changed ^vpsv++agls+xvbn+=changed
in ^in++++=in
the ^ati++++=the
last ^ap++++=last
thirty ^cd++++=thirty
years, ^nn+++??+=years,--among
-- ^--+clp+++=EXTRAWORD
among ^in++++=EXTRAWORD
farms ^nns++++=farms
which ^whp+rel+subj++=which
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
won ^vpsv++agls+xvbnx+=won
from ^in++++=from
swampy ^nn+++??+=swampy
lowland ^nn++++=lowland,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rocky ^jj++++=rocky,
, ^zz++++=EXTRAWORD
stump ^nn++++=stump-buttressed
- ^zz++++=EXTRAWORD
buttressed ^jj+atrb++xvbn+=EXTRAWORD
hillsides ^nns++++=hillsides:
: ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
forests ^nns++++=forests
wall ^nn++++=wall
in ^in++++=in
the ^ati++++=the
fields ^nns++++=fields,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
send ^vb++++=send
their ^pp$+pp3+++=their
outposts ^nns+++??+=outposts
year ^nn++++=year
by ^in++++=by
year ^nn++++=year
farther ^rbr++++=farther
