Being ^vbg+beg++xvbg+=Being
an ^at++++=an
Eighth ^od++++=Eighth
Extract ^nn++++=Extract
from ^in++++=from
the ^ati++++=the
Legacy ^nn++++=Legacy
of ^in++++=of
the ^ati++++=the
late ^jj+atrb+++=late
Francis ^np++++=Francis
Purcell ^np+++??+=Purcell,
, ^zz++++=EXTRAWORD
P ^zz++++=P.
. ^zz++++=EXTRAWORD
P ^zz++++=P.
. ^zz++++=EXTRAWORD
of ^in++++=of
Drumcoolagh ^np+++??+=Drumcoolagh.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
observed ^vprf+++xvbnx+=observed,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
dear ^jj+atrb+++=dear
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
among ^in++++=among
other ^ap++++=other
grievous ^jj+atrb+++=grievous
misconceptions ^nns+nom+++=misconceptions
current ^nn++++=current
among ^in++++=among
men ^nns++++=men
otherwise ^rb+cnj+++=otherwise
well ^rb++++=well-informed,
- ^zz++++=EXTRAWORD
informed ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
which ^whp+rel+subj++=which
tend ^vb++++=tend
to ^to+vcmp+++=to
degrade ^vbi+++??+=degrade
the ^ati++++=the
pretensions ^nns++++=pretensions
of ^in++++=of
my ^pp$+pp1+++=my
native ^jj+atrb+++=native
land ^nn++++=land,
, ^zz++++=EXTRAWORD
an ^at++++=an
impression ^nn++++=impression
that ^tht+ncmp+++=that
there ^ex+pex+++=there
exists ^vbz++++=exists
no ^at++++=no
such ^abl++++=such
thing ^nn++++=thing
as ^in++++=as
indigenous ^jj+atrb+++=indigenous
modern ^jj+atrb+++=modern
Irish ^jj+atrb+++=Irish
composition ^nn+nom+++=composition
deserving ^vwbg+++xvbg+=deserving
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
poetry ^nn++++=poetry
a ^at++++=a
belief ^nn++++=belief
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
thoughtlessly ^jj++++=thoughtlessly
sustained ^jj+++xvbn+=sustained
and ^cc+phrs+++=and
confirmed ^jj+++xvbn+=confirmed
by ^in++++=by
the ^ati++++=the
unconscionable ^jj+atrb+++=unconscionable
literary ^jj+atrb+++=literary
perverseness ^nns+nom+++=perverseness
of ^in++++=of
Irishmen ^np+++??+=Irishmen
themselves ^ppls+pp3+++=themselves,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
preferred ^vprf+++xvbnx+=preferred
the ^ati++++=the
easy ^jj+atrb+++=easy
task ^nn++++=task
of ^in++++=of
concocting ^xvbg+++xvbg+=concocting
humorous ^jj+atrb+++=humorous
extravaganzas ^nns+++??+=extravaganzas,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
caricature ^nn++++=caricature
with ^in++++=with
merciless ^jj+atrb+++=merciless
exaggeration ^nn+nom+++=exaggeration
the ^ati++++=the
pedantry ^nn++++=pedantry,
, ^zz++++=EXTRAWORD
bombast ^nn++++=bombast,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
blunders ^nns+nom+++=blunders
incident ^nn++++=incident
to ^in++++=to
the ^ati++++=the
lowest ^jjt+atrb+++=lowest
order ^nn++++=order
of ^in++++=of
Hibernian ^np+++??+=Hibernian
ballads ^nns++++=ballads,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
more ^rbr++++=more
pleasurable ^jj+atrb+++=pleasurable
and ^cc+phrs+++=and
patriotic ^jj+atrb+++=patriotic
duty ^nn++++=duty
of ^in++++=of
collecting ^xvbg+++xvbg+=collecting
together ^nn+nom+++=together
the ^ati++++=the
many ^ap++++=many,
, ^zz++++=EXTRAWORD
many ^ap++++=many
specimens ^nns++++=specimens
of ^in++++=of
genuine ^jj+atrb+++=genuine
poetic ^jj+atrb+++=poetic
feeling ^nvbg+++xvbg+=feeling,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
have ^vb+hv+aux++=have
grown ^vprf+++xvbnx+=grown
up ^rp++++=up,
, ^zz++++=EXTRAWORD
like ^in++++=like
its ^pp$+it+++=its
wild ^jj+atrb+++=wild
flowers ^nns+nom+++=flowers,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
warm ^jj++++=warm
though ^cs+sub+++=though
neglected ^vprf+++xvbn+=neglected
soil ^nn++++=soil
of ^in++++=of
Ireland ^np++++=Ireland.
. ^zz++++=EXTRAWORD
In ^in++++=In
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
the ^ati++++=the
productions ^nns+nom+++=productions
which ^whp+rel+subj++=which
have ^vb+hv+aux++=have
long ^rb++splt++=long
been ^vprf+ben+aux+xvbnx+=been
regarded ^vpsv++agls+xvbnx+=regarded
as ^ql++++=as
pure ^jj+atrb+++=pure
samples ^nns++++=samples
of ^in++++=of
Irish ^jj+atrb+++=Irish
poetic ^jj+atrb+++=poetic
composition ^nn+nom+++=composition,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^in++++=as
' ^zz++++='The
the ^ati++++=EXTRAWORD
Groves ^nns++++=Groves
of ^in++++=of
Blarney ^np+++??+=Blarney,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++=and
' ^zz++++='The
the ^ati++++=EXTRAWORD
Wedding ^nn++++=Wedding
of ^in++++=of
Ballyporeen ^np+++??+=Ballyporeen,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Ally
ally ^nn++++=EXTRAWORD
Croker ^np+++??+=Croker,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
etc ^rb++++=etc.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
etc ^rb++++=etc.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
altogether ^nn+nom+++=altogether
spurious ^jj+pred+++=spurious,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
much ^ap++++=much
like ^in++++=like
the ^ati++++=the
thing ^nn++++=thing
they ^pp3a+pp3+++=they
call ^vb++++=call
themselves ^ppls+pp3+++=themselves
' ^zz++++='as
as ^ql++++=EXTRAWORD
I ^pp1a+pp1+++=I
to ^in++++=to
Hercules ^np+++??+=Hercules.'
. ^zz++++=EXTRAWORD
