Once ^rb+tm+++=Once
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
farmer ^nn++++=farmer
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
a ^at++++=a
very ^ql+amp+++=very
rare ^jj+atrb+++=rare
and ^cc+phrs+++=and
valuable ^jj+atrb+++=valuable
cow ^nn++++=cow.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
another ^dt++++=another
like ^in++++=like
her ^pp$+pp3+++=her
in ^in++++=in
the ^ati++++=the
whole ^jj+atrb+++=whole
kingdom ^nn+nom+++=kingdom.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
as ^ql++++=as
white ^np++++=white
as ^ql++++=as
the ^ati++++=the
whitest ^jjt++++=whitest
lily ^np++++=lily
you ^pp2+pp2+++=you
ever ^rb++++=ever
saw ^vbd+vprv++xvbn+=saw,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
horns ^nns++++=horns,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
curved ^jj++++=curved
very ^ql+amp+++=very
gracefully ^rb+cnj+++=gracefully,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
of ^in++++=of
gold ^nn++++=gold.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
a ^at++++=a
charming ^jj+++xvbg+=charming
green ^npl++++=green
meadow ^nn++++=meadow,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
silvery ^jj+atrb+++=silvery
pool ^nn++++=pool
in ^in++++=in
the ^ati++++=the
middle ^jjb++++=middle,
, ^zz++++=EXTRAWORD
to ^to++++=to
feed ^vbi++++=feed
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
Almost ^rb+hdg+++=Almost
all ^rb++++=all
the ^ati++++=the
grass ^nn++++=grass
was ^vbd+bedz+vrb++=was
blue ^jj+pred+++=blue-eyed
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
grass ^nn++++=grass,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
yellow ^jj+atrb+++=yellow
lilies ^nns++++=lilies
all ^abn++++=all
over ^in++++=over
the ^ati++++=the
pool ^nn++++=pool.
. ^zz++++=EXTRAWORD
The ^ati++++=The
farmer ^nn++++=farmer's
's ^$++++=EXTRAWORD
daughter ^nn+nom+++=daughter,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
a ^at++++=a
milkmaid ^nn+++??+=milkmaid,
, ^zz++++=EXTRAWORD
used ^md"++pmd"++=used
to ^to++++=to
tend ^vb++++=tend
the ^ati++++=the
gold ^nn++++=gold-horned
- ^zz++++=EXTRAWORD
horned ^jj+atrb++xvbn+=EXTRAWORD
cow ^nn++++=cow.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
a ^at++++=a
very ^ql+amp+++=very
pretty ^rb++++=pretty
girl ^nn++++=girl.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
name ^nn++++=name
was ^vbd+bedz+vrb++=was
Drusilla ^np+++??+=Drusilla.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
long ^rb++++=long
flaxen ^jj+atrb+++=flaxen
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
hung ^vbd+++xvbn+=hung
down ^rp++++=down
to ^in++++=to
her ^pp$+pp3+++=her
ankles ^nns++++=ankles
in ^in++++=in
two ^cd++++=two
smooth ^jj+atrb+++=smooth
braids ^nns+++??+=braids,
, ^zz++++=EXTRAWORD
tied ^j+++xvbn+=tied
with ^in++++=with
blue ^jj+atrb+++=blue
ribbons ^nns++++=ribbons.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
blue ^jj+atrb+++=blue
eyes ^nns++++=eyes
and ^cc++++=and
pink ^jj+atrb+++=pink
