There ^ex+pex+++=THERE
were ^vbd+bed+vrb++=were
sounds ^nns++++=sounds
of ^in++++=of
merriment ^nn+nom+++=merriment
in ^in++++=in
the ^ati++++=the
village ^nn+nom+++=village,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
chorus ^nn++++=chorus
of ^in++++=of
song ^nn++++=song
murmured ^vbd+++xvbn+=murmured,
, ^zz++++=EXTRAWORD
stream ^nn++++=stream-like,
- ^zz++++=EXTRAWORD
like ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
through ^in++++=through
its ^pp$+it+++=its
single ^jj+atrb+++=single
street ^nn++++=street.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
hour ^nn++++=hour
when ^wrb+who+++=when
lads ^nns++++=lads
and ^cc++++=and
lasses ^nns+++??+=lasses,
, ^zz++++=EXTRAWORD
after ^in++++=after
their ^pp$+pp3+++=their
hard ^jj+atrb+++=hard
day ^nn++++=day's
's ^$++++=EXTRAWORD
work ^nn++++=work,
, ^zz++++=EXTRAWORD
meet ^vb++++=meet
in ^in++++=in
the ^ati++++=the
mellow ^jj++++=mellow
gloaming ^jj+++xvbg+=gloaming
to ^to++++=to
express ^nns+nom+++=express
their ^pp$+pp3+++=their
feelings ^nns+nom+++=feelings
in ^in++++=in
melodies ^nns+++??+=melodies
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though
glad ^jj++++=glad,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
never ^rb++++=never
without ^in++++=without
a ^at++++=a
strain ^nn++++=strain
of ^in++++=of
sadness ^nns+nom+++=sadness.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pensive ^jj+atrb+++=pensive
eventide ^nn+++??+=eventide
was ^vbd+bedz+aux++=was
dreamily ^rb++splt++=dreamily
embracing ^vbg+++xvbgx+=embracing
the ^ati++++=the
blue ^jj+atrb+++=blue
heaven ^nn++++=heaven,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
transforming ^vbg+++xvbg+=transforming
every ^at++++=every
visible ^jj+atrb+++=visible
object ^nn++++=object
into ^in++++=into
something ^pn++++=something
vague ^jj++++=vague,
, ^zz++++=EXTRAWORD
shadowy ^jj++++=shadowy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ghost ^nn++++=ghost-like.
- ^zz++++=EXTRAWORD
like ^in+strn+++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
brooding ^nn++++=brooding
gloom ^nn++++=gloom
settled ^vbd+++xvbn+=settled
into ^in++++=into
night ^nn++++=night,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
still ^rb++++=still
the ^ati++++=the
stream ^nn++++=stream
of ^in++++=of
song ^nn++++=song
flowed ^vbd+++xvbn+=flowed
on ^in++++=on
without ^in++++=without
surcease ^nn+++??+=surcease.
. ^zz++++=EXTRAWORD
Guitar ^nn++++=Guitar
in ^in++++=in
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
the ^ati++++=the
eldest ^jjt+atrb+++=eldest
son ^nn++++=son
of ^in++++=of
the ^ati++++=the
village ^nn+nom+++=village
headman ^nn++++=headman
steals ^vbz++++=steals
away ^in+pl+++=away
from ^in"++++=from
his ^pp$+pp3+++=his
comrades ^nns++++=comrades,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
makes ^vbz++++=makes
toward ^in++++=toward
a ^at++++=a
house ^npl++++=house
that ^tht+rel+subj++=that
is ^vbz+bez+aux++=is
half ^abn++++=half
hidden ^vpsv++by+xvbn+=hidden
by ^in++++=by
a ^at++++=a
screen ^nn++++=screen
of ^in++++=of
pink ^jj++++=pink-blossomed
- ^zz++++=EXTRAWORD
blossomed ^vbd+++xvbn+=EXTRAWORD
cherry ^nn++++=cherry-trees.
- ^zz++++=EXTRAWORD
trees ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
walks ^nns++++=walks,
, ^zz++++=EXTRAWORD
the ^ati++++=the
young ^jj+atrb+++=young
Cossack ^np+++??+=Cossack
strikes ^vbz++++=strikes
a ^ap++++=a
few ^ap"++++=few
notes ^nns++++=notes
on ^in++++=on
the ^ati++++=the
instrument ^nn+nom+++=instrument,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
steps ^nns++++=steps
a ^at++++=a
measure ^nn++++=measure
to ^in++++=to
his ^pp$+pp3+++=his
own ^ap++++=own
music ^nn++++=music.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
reaches ^vbz++++=reaches
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
stops ^vbz++++=stops,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
after ^in++++=after
a ^at++++=a
short ^jj+atrb+++=short
pause ^nn++++=pause,
, ^zz++++=EXTRAWORD
touches ^nns++++=touches
his ^pp$+pp3+++=his
guitar ^nn++++=guitar
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sings ^vbz++++=sings
a ^at++++=a
song ^nn++++=song
of ^in++++=of
love ^nn++++=love,
, ^zz++++=EXTRAWORD
soft ^jj++++=soft
and ^cc+phrs+++=and
low ^jj++++=low:
: ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
sun ^nn++++=sun
is ^vbz+bez+vrb++=is
low ^jj+pred+++=low,
, ^zz++++=EXTRAWORD
the ^ati++++=the
night ^nn++++=night
is ^vbz+bez+vrb++=is
near ^in+strn+++=near,
, ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come,
, ^zz++++=EXTRAWORD
oh ^uh++++=oh,
, ^zz++++=EXTRAWORD
