It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
towards ^in++++=towards
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
August ^nr++++=August.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
and ^cc++++=and
I ^pp1a+pp1+++=I
appeared ^vbd+seem++xvbnx+=appeared
to ^to+vcmp+++=to
be ^vbi++vrb++=be
the ^ati++++=the
only ^rb+down+++=only
two ^cd++++=two
men ^nns++++=men
left ^vbd+++xvbn+=left
to ^in++++=to
the ^ati++++=the
Club ^nn++++=Club.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
sitting ^vbg+++xvbgx+=sitting
by ^in++++=by
an ^at++++=an
open ^jj+atrb+++=open
window ^nn++++=window,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Times ^nns++++=Times
lying ^vwbg+++xvbg+=lying
on ^in++++=on
the ^ati++++=the
floor ^nn++++=floor
beside ^in+pl+++=beside
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
drew ^vbd+++xvbnx+=drew
my ^pp$+pp1+++=my
chair ^nn++++=chair
a ^rb++++=a
little ^rb"++++=little
closer ^rbr++++=closer
and ^cc++++=and
remarked ^vbd+vpub++xvbn+=remarked:
: ^zz++++=EXTRAWORD
" ^zz++++="Good
good ^jj+atrb+++=EXTRAWORD
morning ^nn++++=morning."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
suppressed ^vbd+++xvbnx+=suppressed
a ^at++++=a
yawn ^nn++++=yawn,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
replied ^vbd+vpub++xvbn+=replied
" ^zz++++="Mornin'"
mornin ^nn+++??+=EXTRAWORD
'" ^nn+++??+=EXTRAWORD
dropping ^vwbg+++xvbg+=dropping
the ^ati++++=the
" ^zz++++="g."
g ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
custom ^nn++++=custom
was ^vbd+bedz+aux++=was
just ^rb+emph+splt++=just
coming ^vbg+++xvbgx+=coming
into ^in+ppvb+++=into
fashion ^nn++++=fashion;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
always ^rb++++=always
correct ^jj+pred+++=correct.
. ^zz++++=EXTRAWORD
" ^zz++++="Going
going ^md"++pmd"++=EXTRAWORD
to ^md+prd+++=to
be ^vbi++vrb++=be
a ^at++++=a
very ^ql+amp+++=very
hot ^jj+atrb+++=hot
day ^nn++++=day,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
afraid ^jj+pred+++=afraid,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
continued ^vbd+++xvbnx+=continued.
. ^zz++++=EXTRAWORD
" ^zz++++="'Fraid
' ^zz++++=EXTRAWORD
fraid ^nn+++??+=EXTRAWORD
so ^ql++++=so,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
response ^nn++++=response,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
his ^pp$+pp3+++=his
head ^jjb++++=head
away ^rp+pl+++=away
and ^cc+phrs+++=and
gently ^rb++++=gently
closed ^vbd+++xvbn+=closed
his ^pp$+pp3+++=his
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
opined ^vbd+++xvbnx+=opined
that ^cs+sub+++=that
conversation ^nn+nom+++=conversation
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
to ^in++++=to
his ^pp$+pp3+++=his
wish ^nn++++=wish,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
this ^dt+pdem+++=this
only ^rb+down+++=only
made ^vbd+++xvbn+=made
me ^pp1o+pp1+++=me
more ^rbr++++=more
determined ^jj+++xvbn+=determined
to ^to+jcmp+++=to
talk ^vbi++++=talk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
talk ^vbi++++=talk
to ^in++++=to
him ^pp3o+pp3+++=him
above ^rb++++=above
all ^abn++++=all
others ^aps++++=others
in ^in++++=in
London ^np++++=London.
. ^zz++++=EXTRAWORD
The ^ati++++=The
desire ^nn++++=desire
took ^vbd+++xvbn+=took
hold ^nn++++=hold
of ^in++++=of
me ^pp1o+pp1+++=me
to ^to++++=to
irritate ^nn+nom+++=irritate
him ^pp3o+pp3+++=him
to ^to++++=to
break ^vbi++++=break
down ^in++++=down
the ^ati++++=the
imperturbable ^jj+atrb+++=imperturbable
calm ^nn++++=calm
within ^in++++=within
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
moved ^vbd+++xvbnx+=moved
and ^cc++++=and
had ^vb+hv+aux++=had
his ^pp$+pp3+++=his
being ^vbg+beg++xvbg+=being;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
gathered ^vbd+++xvbnx+=gathered
myself ^ppl+pp1+++=myself
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
settled ^vbd+++xvbn+=settled
down ^rp++++=down
to ^in++++=to
the ^ati++++=the
task ^nn++++=task.
. ^zz++++=EXTRAWORD
" ^zz++++="Interesting
interesting ^jj+atrb+++=EXTRAWORD
paper ^nn++++=paper
the ^ati++++=the
Times ^nns++++=Times,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
observed ^vbd+vprv++xvbnx+=observed.
. ^zz++++=EXTRAWORD
" ^zz++++="Very,"
very ^ap+amp+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
replied ^vbd+vpub++xvbnx+=replied,
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
it ^pp3+it+++=it
from ^in++++=from
the ^ati++++=the
floor ^nn++++=floor
and ^cc++++=and
handing ^vbg+++xvbg+=handing
it ^pp3+it+++=it
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
" ^zz++++="Won't
will ^md+prd+++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
read ^vbd+vprv++xvbn+=read
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
careful ^jj++++=careful
to ^to+jcmp+++=to
throw ^vbi++++=throw
into ^in++++=into
my ^pp$+pp1+++=my
voice ^nn++++=voice
an ^at++++=an
aggressive ^jj+atrb+++=aggressive
cheeriness ^nns+nom+++=cheeriness
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
calculated ^vprf+++xvbnx+=calculated
would ^md+prd+++=would
vex ^vb++++=vex
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
manner ^nn++++=manner
remained ^vbd+++xvbn+=remained
that ^dt+dem+++=that
of ^in++++=of
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
is ^vbz+bez+aux++=is
simply ^rb++splt++=simply
bored ^vpsv++agls+xvbnx+=bored.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
argued ^vbd+vpub++xvbnx+=argued
with ^in++++=with
him ^pp3o+pp3+++=him
politely ^rb++++=politely
concerning ^in++++=concerning
the ^ati++++=the
paper ^nn++++=paper;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
insisted ^vbd+vpub++xvbnx+=insisted,
, ^zz++++=EXTRAWORD
still ^rb++++=still
with ^in++++=with
the ^ati++++=the
same ^ap++++=same
weary ^jj+atrb+++=weary
air ^nn++++=air,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done
with ^in++++=with
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thanked ^vbd+++xvbnx+=thanked
him ^pp3o+pp3+++=him
effusively ^rb++++=effusively.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
judged ^vbd+vprv++xvbnx+=judged
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
hated ^vbd+++xvbnx+=hated
effusiveness ^nns+nom+++=effusiveness.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
to ^to++++=to
read ^vbn+vprv++xvbn+=read
a ^at++++=a
Times ^nns++++=Times
leader ^nn++++=leader,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
persisted ^vbd+++xvbnx+=persisted,
, ^zz++++=EXTRAWORD
" ^zz++++="is
is ^vbz+bez+vrb++=EXTRAWORD
a ^at++++=a
lesson ^nn++++=lesson
in ^in++++=in
English ^jj+atrb+++=English
composition ^nn+nom+++=composition."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
told ^vpsv++agls+xvbnx+=told,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
answered ^vbd+vpub++xvbnx+=answered
tranquilly ^rb++++=tranquilly.
. ^zz++++=EXTRAWORD
" ^zz++++="Personally
personally ^rb++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
take ^vb++++=take
them ^pp3o+pp3+++=them."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
Times ^nns++++=Times,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
going ^md"++pmd"++=going
to ^md+prd+++=to
be ^vbi++vrb++=be
of ^in++++=of
much ^ap++++=much
