Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Red ^np++++=Red-headed
- ^zz++++=EXTRAWORD
headed ^vbd+++xvbn+=EXTRAWORD
Woodpecker ^np+nom++??+=Woodpecker
bent ^vbd+++xvbn+=bent
her ^pp3o+pp3+++=her
handsome ^jj++++=handsome
head ^jjb++++=head
down ^rp++++=down
and ^cc++++=and
listened ^vbd+++xvbn+=listened.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
certainly ^rb++++=certainly
is ^vbz+bez+vrb++=is!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
cried ^vbd+++xvbnx+=cried,
, ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
heard ^vbd+vprv++xvbnx+=heard
for ^in++++=for
a ^at++++=a
second ^od++++=second
time ^nn++++=time
the ^ati++++=the
faint ^jj++++=faint
" ^zz++++="tap-tap-tap"
tap ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
tap ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
tap ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
of ^in++++=of
a ^at++++=a
tiny ^jj+atrb+++=tiny
beak ^nn++++=beak
rapping ^vwbg+++xvbg+=rapping
on ^in++++=on
the ^ati++++=the
inside ^nn++++=inside
of ^in++++=of
an ^at++++=an
egg ^nn++++=egg
shell ^nn++++=shell.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
hopped ^vbd+++xvbnx+=hopped
to ^to++++=to
one ^cd1++++=one
side ^nn++++=side
of ^in++++=of
her ^pp$+pp3+++=her
nest ^nn++++=nest
and ^cc++++=and
stood ^vbd+++xvbn+=stood
looking ^vbg+++xvbg+=looking
at ^rb++++=at
the ^ati++++=the
four ^cd++++=four
white ^jj+atrb+++=white
eggs ^nns++++=eggs
that ^tht+rel+++=that
lay ^jjb+++xvbn+=lay
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Soon ^rb+tm+++=Soon
the ^ati++++=the
rapping ^nvbg+++xvbg+=rapping
was ^vbd+bedz+aux++=was
heard ^vpsv++agls+xvbnx+=heard
again ^rb+tm+++=again
and ^cc++++=and
she ^pp3a+pp3+++=she
saw ^vbd+vprv+tht0+xvbnx+=saw
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
move ^vb++++=move
a ^at++++=a
bit ^nn++++=bit
on ^in++++=on
its ^pp$+it+++=its
bed ^nn++++=bed
of ^in++++=of
chips ^nns++++=chips.
. ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
one ^pn++++=one,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
cried ^vbd+++xvbnx+=cried.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
thought ^vbd+++xvbnx+=thought
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
certain ^jj+pred+++=certain
that ^tht+jcmp+++=that
I ^pp1a+pp1+++=I
laid ^vbd+++xvbnx+=laid
that ^dt+dem+++=that
one ^cd1++++=one
first ^rb++++=first."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
she ^pp3a+pp3+++=she
arched ^vbd+++xvbnx+=arched
her ^pp$+pp3+++=her
neck ^nn++++=neck
proudly ^rb+cnj+++=proudly,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
beak ^nn++++=beak
of ^in++++=of
her ^pp$+pp3+++=her
eldest ^jjt+atrb+++=eldest
child ^nn++++=child
came ^vbd+++xvbn+=came
through ^in++++=through
a ^at++++=a
crack ^nn++++=crack
in ^in++++=in
the ^ati++++=the
shell ^nn++++=shell.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
nobody ^pn++++=nobody
else ^rb+cnj+++=else
could ^md+pos+++=could
have ^vb+hv+aux++=have
told ^vprf+++xvbnx+=told
one ^cd1++++=one
egg ^nn++++=egg
from ^in++++=from
another ^dt++++=another,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
mothers ^nns+nom+++=mothers
have ^vb+hv+vrb++=have
a ^at++++=a
way ^nn++++=way
of ^in++++=of
remembering ^xvbg+++xvbg+=remembering
such ^abl++++=such
things ^nns++++=things,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
may ^md+pos+++=may
be ^vb+be+vrb++=be
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
love ^vb++++=love
their ^pp$+pp3+++=their
children ^nns++++=children
so ^ql++++=so
that ^cs+sub+++=that
sometimes ^rb++++=sometimes
their ^pp$+pp3+++=their
sight ^nn++++=sight
is ^vbz+bez+vrb++=is
a ^rb++++=a
little ^rb"++++=little
sharper ^jjr++++=sharper,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
hearing ^nvbg+++xvbg+=hearing
a ^rb++++=a
little ^rb"++++=little
keener ^jjr++++=keener
than ^in++++=than
anybody ^pn++++=anybody
else ^rb+cnj+++=else's.
's. ^nn+++??+=EXTRAWORD
However ^rb+cnj+++=However
that ^dt+dem+++=that
