From ^in++++=From
The ^ati++++=The
House ^nn++++=House
of ^in++++=of
Cobwebs ^nns++++=Cobwebs
and ^cc++++=and
Other ^ap++++=Other
Stories ^nns++++=Stories
( ^zz++++=(1906).
1906 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++='Farmiloe.
farmiloe ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
Chemist ^nn+nom+++=Chemist
by ^in++++=by
Examination ^nn+nom+++=Examination.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
So ^ql++++=So
did ^vbd+dod+vrb++=did
the ^ati++++=the
good ^jj+atrb+++=good
man ^nn++++=man
proclaim ^vb++++=proclaim
himself ^ppl+pp3+++=himself
to ^in++++=to
a ^at++++=a
suburb ^nn++++=suburb
of ^in++++=of
a ^at++++=a
city ^nn++++=city
in ^in++++=in
the ^ati++++=the
West ^np+pl+++=West
of ^in++++=of
England ^np++++=England.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
pretty ^jj++++=pretty,
, ^zz++++=EXTRAWORD
clean ^jj++++=clean,
, ^zz++++=EXTRAWORD
fresh ^jj++++=fresh-coloured
- ^zz++++=EXTRAWORD
coloured ^jj+atrb++xvbn+=EXTRAWORD
suburbs ^nns++++=suburbs
only ^rb+down+++=only
to ^to++++=to
be ^vbi+vbi+aux++=be
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
the ^ati++++=the
west ^np+pl+++=west;
; ^zz++++=EXTRAWORD
a ^ap++++=a
few ^ap"++++=few
dainty ^jj+atrb+++=dainty
little ^jj+atrb+++=little
shops ^nns++++=shops,
, ^zz++++=EXTRAWORD
everything ^pn++++=everything
about ^rb++++=about
them ^pp3o+pp3+++=them
bright ^jj++++=bright
or ^cc+phrs+++=or
glistening ^jj++++=glistening,
, ^zz++++=EXTRAWORD
scattered ^j+++xvbn+=scattered
among ^in++++=among
pleasant ^jj+atrb+++=pleasant
little ^jj+atrb+++=little
houses ^nns++++=houses
with ^in++++=with
gardens ^nns++++=gardens
eternally ^rb++++=eternally
green ^jj++++=green
and ^cc++++=and
all ^rb++++=all
but ^cc+phrs+++=but
perennially ^rb++++=perennially
in ^in++++=in
bloom ^nn++++=bloom;
; ^zz++++=EXTRAWORD
every ^at++++=every
vista ^nn++++=vista
ending ^vwbg+++xvbg+=ending
in ^in++++=in
foliage ^nn+nom+++=foliage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
one ^cd1++++=one
direction ^nn+nom+++=direction
a ^at++++=a
far ^rb+pl+++=far
glimpse ^nn++++=glimpse
of ^in++++=of
the ^ati++++=the
Cathedral ^nn+nom+++=Cathedral
towers ^nns++++=towers,
, ^zz++++=EXTRAWORD
sending ^vbg+++xvbg+=sending
forth ^np++++=forth
their ^pp$+pp3+++=their
music ^nn++++=music
to ^to++++=to
fall ^vbi++++=fall
dreamily ^rb++++=dreamily
upon ^in++++=upon
these ^dt+dem+++=these
quiet ^nn++++=quiet
roads ^nns++++=roads.
. ^zz++++=EXTRAWORD
The ^ati++++=The
neighbourhood ^nn+nom+++=neighbourhood
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
breathe ^vbi++++=breathe
a ^at++++=a
tranquil ^jj+atrb+++=tranquil
