Once ^rb+tm+++=Once
in ^in++++=in
the ^ati++++=the
autumn ^nn++++=autumn
I ^pp1a+pp1+++=I
happened ^vbd+++xvbnx+=happened
to ^to+vcmp+++=to
be ^vbi++vrb++=be
in ^in++++=in
a ^at++++=a
very ^ql+amp+++=very
unpleasant ^jj+atrb+++=unpleasant
and ^cc+phrs+++=and
inconvenient ^jj+atrb+++=inconvenient
position ^nn+nom+++=position.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
town ^nn++++=town
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
arrived ^vprf+++xvbnx+=arrived
and ^cc+cls+++=and
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
not ^xnot++not++=not
a ^at++++=a
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv+tht0+xvbnx+=found
myself ^ppl+pp1+++=myself
without ^in++++=without
a ^at++++=a
farthing ^nn++++=farthing
in ^in++++=in
my ^pp$+pp1+++=my
pocket ^nn++++=pocket
and ^cc++++=and
without ^in++++=without
a ^at++++=a
night ^nn++++=night's
's ^$++++=EXTRAWORD
lodging ^nn++++=lodging.
. ^zz++++=EXTRAWORD
Having ^xvbg+++xvbg+=Having
sold ^vprf+++xvbn+=sold
during ^in++++=during
the ^ati++++=the
first ^rb++++=first
few ^ap++++=few
days ^nns++++=days
every ^at++++=every
part ^nn++++=part
of ^in++++=of
my ^pp$+pp1+++=my
costume ^nn++++=costume
without ^in++++=without
which ^whp+rel+pied++=which
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
still ^rb+atrb+++=still
possible ^jj+pred+++=possible
to ^to+jcmp+++=to
go ^vbi++++=go
about ^in+ppvb+++=about,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
passed ^vbd+++xvbnx+=passed
from ^in++++=from
the ^ati++++=the
town ^nn++++=town
into ^in++++=into
the ^ati++++=the
quarter ^nn++++=quarter
called ^vbd+++xvbn+=called
" ^zz++++="Yste,"
yste ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
where ^wrb+who+whq++=where
were ^vbd+bed+aux++=were
the ^ati++++=the
steamship ^nn+nom+++=steamship
wharves ^nns+++??+=wharves--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
quarter ^nn++++=quarter
which ^whp+rel+obj++=which
during ^in++++=during
the ^ati++++=the
navigation ^nn+nom+++=navigation
season ^nn++++=season
fermented ^jj++++=fermented
with ^in++++=with
boisterous ^jj+atrb+++=boisterous,
, ^zz++++=EXTRAWORD
laborious ^jj+atrb+++=laborious
life ^nn++++=life,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
now ^rn+tm+++=now
was ^vbd+bedz+vrb++=was
silent ^jj+pred+++=silent
and ^cc+phrs+++=and
deserted ^jj+++xvbn+=deserted,
, ^zz++++=EXTRAWORD
for ^in++++=for
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
in ^in++++=in
the ^ati++++=the
last ^jj+atrb+++=last
days ^nns++++=days
of ^in++++=of
October ^nr++++=October.
. ^zz++++=EXTRAWORD
Dragging ^vbg+++xvbg+=Dragging
my ^pp$+pp1+++=my
feet ^nns++++=feet
along ^in++++=along
the ^ati++++=the
moist ^jj+atrb+++=moist
sand ^nn++++=sand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
obstinately ^rb++++=obstinately
scrutinising ^jj+++xvbg+=scrutinising
it ^pp3+it+++=it
with ^in++++=with
the ^ati++++=the
desire ^nn++++=desire
to ^to+ncmp+++=to
discover ^nn+nom+++=discover
in ^in++++=in
it ^pp3+it+++=it
any ^dti++++=any
sort ^nn++++=sort
of ^in++++=of
fragment ^nn+nom+++=fragment
of ^in++++=of
food ^nn++++=food,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wandered ^vbd+++xvbnx+=wandered
alone ^rb++++=alone
among ^in++++=among
the ^ati++++=the
deserted ^jj+atrb++xvbn+=deserted
buildings ^nns++++=buildings
and ^cc++++=and
warehouses ^nns++++=warehouses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thought ^nn+++xvbn+=thought
how ^wrb+who+++=how
good ^jj++++=good
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+aux++=be
to ^to++++=to
get ^vbi++++=get
a ^at++++=a
full ^jj+atrb+++=full
meal ^nn++++=meal.
. ^zz++++=EXTRAWORD
In ^in++++=In
our ^pp$+pp1+++=our
present ^vb++++=present
state ^nn++++=state
of ^in++++=of
culture ^nn++++=culture
hunger ^nn++++=hunger
of ^in++++=of
the ^ati++++=the
mind ^nn++++=mind
is ^vbz+bez+vrb++=is
more ^rbr++++=more
quickly ^rb++++=quickly
satisfied ^jj+++xvbn+=satisfied
than ^in++++=than
hunger ^nn++++=hunger
of ^in++++=of
the ^ati++++=the
body ^nn++++=body.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
wander ^vb++++=wander
about ^in++++=about
the ^ati++++=the
streets ^nns++++=streets,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
surrounded ^vpsv++by+xvbnx+=surrounded
by ^in++++=by
buildings ^nns++++=buildings
not ^xnot++not++=not
bad ^jj++++=bad-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
from ^in++++=from
the ^ati++++=the
outside ^jjb++++=outside
and ^cc++++=and--you
-- ^--+clp+++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
may ^md+pos+++=may
safely ^rb++splt++=safely
say ^vb+vpub+++=say
it ^pp3+it+++=it--not
-- ^--+clp+++=EXTRAWORD
not ^xnot++not++=EXTRAWORD
so ^rb++++=so
badly ^rb++++=badly
furnished ^jj+++xvbn+=furnished
inside ^jjb++++=inside,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sight ^nn++++=sight
of ^in++++=of
them ^pp3o+pp3+++=them
may ^md+pos+++=may
excite ^vb++++=excite
within ^in++++=within
you ^pp2+pp2+++=you
stimulating ^jj+atrb++xvbg+=stimulating
ideas ^nns++++=ideas
about ^in++++=about
architecture ^nn++++=architecture,
, ^zz++++=EXTRAWORD
hygiene ^nn++++=hygiene,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
many ^ap++++=many
other ^ap++++=other
wise ^jj++++=wise
and ^cc+phrs+++=and
high ^jj++++=high-flying
- ^zz++++=EXTRAWORD
flying ^vbg+++xvbg+=EXTRAWORD
subjects ^nns++++=subjects.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
may ^md+pos+++=may
meet ^vb++++=meet
warmly ^rb++++=warmly
and ^cc+phrs+++=and
neatly ^rb++++=neatly
dressed ^xvbn+++xvbn+=dressed
folks ^nns++++=folks--all
-- ^--+clp+++=EXTRAWORD
all ^abn++++=EXTRAWORD
very ^ql+amp+++=very
polite ^jj++++=polite,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
turning ^nvbg+++xvbg+=turning
away ^in+pl+++=away
from ^in"++++=from
you ^pp2+pp2+++=you
tactfully ^rb+cnj+++=tactfully,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
wishing ^vbg+++xvbg+=wishing
offensively ^rb++++=offensively
to ^in++++=to
notice ^nn++++=notice
the ^ati++++=the
lamentable ^jj+atrb+++=lamentable
fact ^nn++++=fact
of ^in++++=of
your ^pp$+pp2+++=your
existence ^nn+nom+++=existence.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mind ^nn++++=mind
of ^in++++=of
a ^at++++=a
hungry ^jj+atrb+++=hungry
man ^nn++++=man
is ^vbz+bez+vrb++=is
always ^rb++++=always
better ^jjr+pred+++=better
nourished ^vprf+++xvbn+=nourished
and ^cc++++=and
healthier ^jjr++++=healthier
than ^in++++=than
the ^ati++++=the
mind ^nn++++=mind
of ^in++++=of
the ^ati++++=the
well ^rb++++=well-fed
- ^zz++++=EXTRAWORD
fed ^jj+atrb++xvbn+=EXTRAWORD
man ^nn++++=man;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
a ^at++++=a
situation ^nn+nom+++=situation
from ^in++++=from
which ^whp+rel+pied++=which
you ^pp2+pp2+++=you
may ^md+pos+++=may
draw ^vb++++=draw
a ^at++++=a
very ^ql+amp+++=very
ingenious ^jj+atrb+++=ingenious
conclusion ^nn++++=conclusion
in ^in++++=in
favour ^in"++++=favour
of ^in"++++=of
the ^ati++++=the
ill ^nn++++=ill
fed ^vbd+++xvbn+=fed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
evening ^nn++++=evening
was ^vbd+bedz+aux++=was
approaching ^vbg+++xvbgx+=approaching,
, ^zz++++=EXTRAWORD
the ^ati++++=the
rain ^nn++++=rain
was ^vbd+bedz+aux++=was
falling ^nvbg+++xvbg+=falling,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
wind ^nn++++=wind
blew ^vbd+++xvbn+=blew
violently ^rb++++=violently
from ^in++++=from
the ^ati++++=the
north ^np+pl+++=north.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
whistled ^vbd+++xvbn+=whistled
in ^in++++=in
the ^ati++++=the
empty ^jj+atrb+++=empty
booths ^nns++++=booths
and ^cc++++=and
shops ^nns++++=shops,
, ^zz++++=EXTRAWORD
blew ^j+++xvbn+=blew
into ^in++++=into
the ^ati++++=the
plastered ^jj+atrb++xvbn+=plastered
window ^nn++++=window-panes
- ^zz++++=EXTRAWORD
panes ^nns++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
taverns ^nns++++=taverns,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
whipped ^vpsv++agls+xvbn+=whipped
into ^in++++=into
foam ^nn++++=foam
the ^ati++++=the
wavelets ^nns+nom+++=wavelets
of ^in++++=of
the ^ati++++=the
river ^nn++++=river
which ^whp+rel+subj++=which
splashed ^vbd+++xvbn+=splashed
noisily ^rb++++=noisily
on ^in++++=on
the ^ati++++=the
sandy ^np++++=sandy
shore ^nn++++=shore,
, ^zz++++=EXTRAWORD
casting ^vbg+++xvbg+=casting
high ^jj++++=high
their ^pp$+pp3+++=their
white ^jj+atrb+++=white
crests ^nns+++??+=crests,
, ^zz++++=EXTRAWORD
racing ^nvbg+++xvbg+=racing
one ^cd1++++=one
after ^in++++=after
another ^ppls++++=another
into ^in++++=into
the ^ati++++=the
dim ^jj+atrb+++=dim
distance ^nn+nom+++=distance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
leaping ^vbg+++xvbg+=leaping
impetuously ^jj++++=impetuously
over ^in++++=over
one ^cd1++++=one
another ^dt++++=another's
's ^vbz+bez+vrb++0=EXTRAWORD
shoulders ^nns+nom+++=shoulders.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemed ^vbd+seem++xvbn+=seemed
as ^cs+sub+++=as
if ^cs+cnd+++=if
the ^ati++++=the
river ^npl++++=river
felt ^vbd+vprv++xvbn+=felt
the ^ati++++=the
proximity ^nn+nom+++=proximity
of ^in++++=of
winter ^nn++++=winter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
running ^vbg+++xvbgx+=running
at ^rb++++=at
random ^rb"++++=random
away ^in+pl+++=away
from ^in"++++=from
the ^ati++++=the
fetters ^nns+nom+++=fetters
of ^in++++=of
ice ^nn++++=ice
which ^whp+rel+obj++=which
the ^ati++++=the
north ^np+pl+++=north
wind ^nn++++=wind
might ^md+pos+++=might
well ^rb++++=well
have ^vb+hv+aux++=have
flung ^vprf+++xvbnx+=flung
upon ^in++++=upon
her ^pp$+pp3+++=her
that ^cs+sub+++=that
very ^ql+amp+++=very
night ^nn++++=night.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sky ^nn++++=sky
was ^vbd+bedz+vrb++=was
heavy ^jj+pred+++=heavy
and ^cc+phrs+++=and
dark ^jj++++=dark;
; ^zz++++=EXTRAWORD
down ^rp++++=down
from ^in++++=from
it ^pp3+it+++=it
swept ^vbd+++xvbn+=swept
incessantly ^rb++++=incessantly
scarcely ^rb+down+++=scarcely
visible ^jj+atrb+++=visible
drops ^nns++++=drops
of ^in++++=of
rain ^nn++++=rain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
melancholy ^jj+atrb+++=melancholy
elegy ^nn++++=elegy
in ^in++++=in
nature ^nn++++=nature
all ^abn++++=all
around ^rp++++=around
me ^pp1o+pp1+++=me
was ^vbd+bedz+aux++=was
emphasised ^vpsv++by+xvbnx+=emphasised
by ^in++++=by
a ^at++++=a
couple ^nn++++=couple
of ^in++++=of
battered ^jj+atrb++xvbn+=battered
and ^cc+phrs+++=and
misshapen ^jj+atrb+++=misshapen
willow ^nn++++=willow-trees
- ^zz++++=EXTRAWORD
trees ^nns++++=EXTRAWORD
and ^cc++++=and
a ^at++++=a
boat ^nn++++=boat,
, ^zz++++=EXTRAWORD
bottom ^jjb++++=bottom
upwards ^rb+cnj+++=upwards,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
was ^vbd+bedz+aux++=was
fastened ^vpsv++agls+xvbnx+=fastened
to ^in++++=to
their ^pp$+pp3+++=their
roots ^nns++++=roots.
. ^zz++++=EXTRAWORD
The ^ati++++=The
overturned ^jj+atrb++xvbn+=overturned
canoe ^nn+++??+=canoe
with ^in++++=with
its ^pp$+it+++=its
battered ^jj+atrb++xvbn+=battered
keel ^nn++++=keel
and ^cc++++=and
the ^ati++++=the
miserable ^jj+atrb+++=miserable
old ^jj+atrb+++=old
trees ^nns++++=trees
rifled ^vwbn+++xvbn+=rifled
by ^in++++=by
the ^ati++++=the
cold ^jj+atrb+++=cold
wind ^nn++++=wind--everything
-- ^--+clp+++=EXTRAWORD
everything ^pn++++=EXTRAWORD
around ^rp++++=around
me ^pp1o+pp1+++=me
was ^vbd+bedz+vrb++=was
bankrupt ^nn++++=bankrupt,
, ^zz++++=EXTRAWORD
barren ^jj++++=barren,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dead ^jj++++=dead,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sky ^nn++++=sky
flowed ^vbd+++xvbn+=flowed
with ^in++++=with
undryable ^jj+atrb+++=undryable
tears. ^nn+++??+=tears...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Everything ^pn++++=Everything
around ^in++++=around
was ^vbd+bedz+vrb++=was
waste ^nn++++=waste
and ^cc++++=and
gloomy ^jj++++=gloomy
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
as ^cs+sub+++=as
if ^cs+cnd+++=if
everything ^pn++++=everything
were ^vbd+bed+vrb++=were
dead ^jj+pred+++=dead,
, ^zz++++=EXTRAWORD
leaving ^jj+++xvbg+=leaving
me ^pp1o+pp1+++=me
alone ^rb++++=alone
among ^in++++=among
the ^ati++++=the
living ^nvbg+++xvbg+=living,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
me ^pp1o+pp1+++=me
also ^rb++++=also
a ^at++++=a
cold ^jj+atrb+++=cold
death ^nn++++=death
waited ^vbd+++xvbn+=waited.
