Money ^nn++++=Money
talks ^nns++++=talks.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
you ^pp2+pp2+++=you
may ^md+pos+++=may
think ^vb+vprv+++=think
that ^tht+vcmp+++=that
the ^ati++++=the
conversation ^nn+nom+++=conversation
of ^in++++=of
a ^rb++++=a
little ^rb"++++=little
old ^jj++++=old
ten ^cd++++=ten-dollar
- ^zz++++=EXTRAWORD
dollar ^nn++++=EXTRAWORD
bill ^nn++++=bill
in ^in++++=in
New ^jj+atrb+++=New
York ^np++++=York
would ^md+prd+++=would
be ^vb+be+vrb++=be
nothing ^pn++++=nothing
more ^rbr++++=more
than ^in++++=than
a ^at++++=a
whisper ^nn++++=whisper.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
well ^rb++++=well!
! ^zz++++=EXTRAWORD
Pass ^vb++++=Pass
up ^rp++++=up
this ^dt+dem+++=this
_sotto ^nn+++??+=_sotto
voce_ ^nn+++??+=voce_
autobiography ^nn++++=autobiography
of ^in++++=of
an ^at++++=an
X ^zz++++=X
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
like ^vb++++=like.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
kind ^nn++++=kind
that ^tht+rel+subj++=that
prefers ^nns+nom+++=prefers
to ^to+vcmp+++=to
listen ^vbi++++=listen
to ^in++++=to
John ^np++++=John
D ^zz++++=D's
's ^$++++=EXTRAWORD
checkbook ^nn+++??+=checkbook
roar ^nn++++=roar
at ^in++++=at
you ^pp2+pp2+++=you
through ^in++++=through
a ^at++++=a
megaphone ^nn++++=megaphone
as ^ql++++=as
it ^pp3+it+++=it
passes ^vbz++++=passes
by ^in+strn+++=by,
, ^zz++++=EXTRAWORD
all ^abn++++=all
right ^jj++++=right.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
forget ^vb+vprv+++=forget
that ^tht+vcmp+++=that
small ^jj+atrb+++=small
change ^nn++++=change
can ^md+pos+++=can
say ^vb+vpub+++=say
a ^at++++=a
word ^nn++++=word
to ^in++++=to
the ^ati++++=the
point ^nn++++=point
now ^rn+tm+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
time ^nn++++=time
you ^pp2+pp2+++=you
tip ^vb++++=tip
your ^pp$+pp2+++=your
grocer ^nn++++=grocer's
's ^$++++=EXTRAWORD
clerk ^nn++++=clerk
a ^at++++=a
silver ^nn++++=silver
quarter ^nn++++=quarter
to ^to++++=to
give ^vbi++++=give
you ^pp2+pp2+++=you
extra ^jj+atrb+++=extra
weight ^nn++++=weight
of ^in++++=of
his ^pp$+pp3+++=his
boss ^nn++++=boss's
's ^$++++=EXTRAWORD
goods ^nns++++=goods
read ^vbd+vprv++xvbn+=read
the ^ati++++=the
four ^cd++++=four
words ^nns++++=words
above ^in+pl+++=above
the ^ati++++=the
lady ^nn++++=lady's
's ^$++++=EXTRAWORD
head ^nn++++=head.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
are ^vb+ber+vrb++=are
