On ^in++++=On
the ^ati++++=the
day ^nn++++=day
that ^tht+rel+obj++=that
Margaret ^np++++=Margaret
left ^vbd+++xvbn+=left
Sardis ^np+++??+=Sardis,
, ^zz++++=EXTRAWORD
Roland ^np++++=Roland
began ^vbd+++xvbn+=began
his ^pp$+pp3+++=his
preparations ^nns+nom+++=preparations
for ^in++++=for
descending ^xvbg+++xvbg+=descending
the ^ati++++=the
shaft ^nn++++=shaft.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
so ^ql++++=so
thoroughly ^rb+amp+++=thoroughly
considered ^vbd+vprv++xvbn+=considered
the ^ati++++=the
machinery ^nn+nom+++=machinery
and ^cc++++=and
appliances ^nns+nom+++=appliances
necessary ^jj++++=necessary
for ^in++++=for
the ^ati++++=the
undertaking ^jj+++xvbg+=undertaking
and ^cc++++=and
had ^vbd+hvd+aux++=had
worked ^vprf+++xvbnx+=worked
out ^rp+pl+++=out
all ^rb++++=all
his ^pp$+pp3+++=his
plans ^nns++++=plans
in ^in++++=in
such ^abl++++=such
detail ^nn++++=detail,
, ^zz++++=EXTRAWORD
in ^in++++=in
his ^pp$+pp3+++=his
mind ^nn++++=mind
and ^cc++++=and
upon ^in++++=upon
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
exactly ^rb++++=exactly
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
do ^vbi++++=do.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
orders ^nns++++=orders
for ^in++++=for
the ^ati++++=the
great ^jj++++=great
length ^rb++++=length
of ^in++++=of
chain ^nn++++=chain
needed ^vwbn+++xvbn+=needed
exhausted ^vprf+++xvbn+=exhausted
the ^ati++++=the
stock ^nn++++=stock
of ^in++++=of
several ^ap++++=several
factories ^nns++++=factories,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
