We ^pp1a+pp1+++=We
were ^vbd+bed+aux++=were
seated ^vpsv++agls+xvbnx+=seated
in ^in++++=in
a ^rb++++=a
little ^rb"++++=little
park ^nn++++=park,
, ^zz++++=EXTRAWORD
driven ^xvbn+++xvbn+=driven
there ^rn+pl+++=there
by ^in++++=by
the ^ati++++=the
unbearable ^jj+atrb+++=unbearable
heat ^nn++++=heat
of ^in++++=of
the ^ati++++=the
noonday ^nn++++=noonday
sun ^nn++++=sun.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
much ^ap++++=much
cooler ^jjr++++=cooler
there ^rn+pl+++=there
than ^cs+sub+++=than
in ^in++++=in
the ^ati++++=the
streets ^nns++++=streets,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
paving ^jj+atrb++xvbg+=paving
stones ^nns++++=stones,
, ^zz++++=EXTRAWORD
steeped ^j+++xvbn+=steeped
in ^in++++=in
the ^ati++++=the
rays ^nns++++=rays
of ^in++++=of
the ^ati++++=the
July ^nr++++=July
sun ^nn++++=sun,
, ^zz++++=EXTRAWORD
burnt ^j+++xvbn+=burnt
the ^ati++++=the
soles ^nns++++=soles
of ^in++++=of
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
walls ^nns++++=walls
of ^in++++=of
the ^ati++++=the
buildings ^nns++++=buildings
seemed ^vbd+seem++xvbn+=seemed
red ^jj++++=red-hot.
- ^zz++++=EXTRAWORD
hot ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
fine ^jj+atrb+++=fine
scorching ^jj+atrb+++=scorching
dust ^nn++++=dust
of ^in++++=of
the ^ati++++=the
roadway ^nn++++=roadway
did ^vbd+dod+aux++=did
not ^xnot++not++=not
penetrate ^nn+nom+++=penetrate
through ^in++++=through
the ^ati++++=the
close ^jj+atrb+++=close
border ^nn++++=border
of ^in++++=of
leafy ^jj+atrb+++=leafy
old ^jj+atrb+++=old
limes ^nns+++??+=limes
and ^cc++++=and
spreading ^jj+atrb++xvbg+=spreading
chestnuts ^nns++++=chestnuts,
, ^zz++++=EXTRAWORD
the ^ati++++=the
latter ^ap++++=latter
with ^in++++=with
their ^pp$+pp3+++=their
long ^jj+atrb+++=long
upright ^jj+atrb+++=upright
pyramids ^nns+++??+=pyramids
of ^in++++=of
rosy ^jj+atrb+++=rosy
flowers ^nns+nom+++=flowers
looking ^vwbg+++xvbg+=looking
like ^in++++=like
gigantic ^jj+atrb+++=gigantic
imperial ^jj+atrb+++=imperial
candelabra ^nn+++??+=candelabra.
. ^zz++++=EXTRAWORD
The ^ati++++=The
park ^nn++++=park
was ^vbd+bedz+vrb++=was
full ^jj+pred+++=full
of ^in++++=of
frolicsome ^nn+++??+=frolicsome
well ^rb++++=well-dressed
- ^zz++++=EXTRAWORD
dressed ^xvbn+++xvbn+=EXTRAWORD
children ^nns++++=children,
, ^zz++++=EXTRAWORD
the ^ati++++=the
older ^jjr+atrb+++=older
ones ^cd1s++++=ones
playing ^nvbg+++xvbg+=playing
with ^in++++=with
hoops ^nns++++=hoops
and ^cc++++=and
skipping ^nn++++=skipping-ropes,
- ^zz++++=EXTRAWORD
ropes ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
chasing ^nvbg+++xvbg+=chasing
one ^cd1++++=one
another ^dt++++=another
or ^cc++++=or
going ^vbg+++xvbg+=going
together ^nn+nom+++=together
in ^in++++=in
pairs ^nns++++=pairs,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
arms ^nns++++=arms
entwined ^vbd+++xvbn+=entwined
as ^ql++++=as
they ^pp3a+pp3+++=they
walked ^vbd+++xvbnx+=walked
about ^in++++=about
with ^in++++=with
an ^at++++=an
air ^nn++++=air
of ^in++++=of
importance ^nn+nom+++=importance,
, ^zz++++=EXTRAWORD
stepping ^vbg+++xvbg+=stepping
quickly ^rb++++=quickly
upon ^in++++=upon
the ^ati++++=the
sidewalk ^nn++++=sidewalk.
. ^zz++++=EXTRAWORD
The ^ati++++=The
little ^jj+atrb+++=little
ones ^cd1s++++=ones
played ^vbd+++xvbn+=played
at ^in+ppvb+++=at
choosing ^jj+atrb++xvbg+=choosing
colours ^nns++++=colours,
, ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
lady ^npt++++=lady
sent ^vbd+++xvbn+=sent
me ^pp1o+pp1+++=me
a ^at++++=a
hundred ^cd++++=hundred
roubles ^nns++++=roubles,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
" ^zz++++="King
king ^npt++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
castle ^nn++++=castle."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
then ^rn+tm+++=then
a ^at++++=a
group ^nn++++=group
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
smallest ^jjt+atrb+++=smallest
ones ^cd1s++++=ones
gathered ^vbd+++xvbn+=gathered
together ^nn+nom+++=together
on ^in++++=on
a ^at++++=a
large ^jj+atrb+++=large
heap ^nn++++=heap
of ^in++++=of
warm ^jj+atrb+++=warm
yellow ^jj+atrb+++=yellow
sand ^nn++++=sand,
, ^zz++++=EXTRAWORD
moulding ^nvbg+++xvbg+=moulding
it ^pp3+it+++=it
into ^in++++=into
buckwheat ^nn+++??+=buckwheat
cakes ^nns++++=cakes
and ^cc++++=and
Easter ^np++++=Easter
loaves ^nns++++=loaves.
. ^zz++++=EXTRAWORD
The ^ati++++=The
nurses ^nns++++=nurses
stood ^vbd+++xvbn+=stood
round ^rb++++=round
in ^in++++=in
groups ^nns++++=groups,
, ^zz++++=EXTRAWORD
gossiping ^vbg+++xvbg+=gossiping
about ^in++++=about
their ^pp$+pp3+++=their
masters ^nns+nom+++=masters
and ^cc++++=and
mistresses ^nns+nom+++=mistresses;
; ^zz++++=EXTRAWORD
the ^ati++++=the
governesses ^nns+nom+++=governesses
sat ^vbd+++xvbn+=sat
stiffly ^rb++++=stiffly
upright ^jj++++=upright
on ^in++++=on
the ^ati++++=the
benches ^nns++++=benches,
, ^zz++++=EXTRAWORD
deep ^jj++++=deep
in ^in++++=in
their ^pp$+pp3+++=their
reading ^nvbg+++xvbg+=reading
or ^cc++++=or
their ^pp$+pp3+++=their
needlework ^nn+++??+=needlework.
. ^zz++++=EXTRAWORD
Suddenly ^rb++++=Suddenly
the ^ati++++=the
children ^nns++++=children
stopped ^vbd+++xvbn+=stopped
their ^pp$+pp3+++=their
playing ^nvbg+++xvbg+=playing
and ^cc++++=and
began ^vbd+++xvbn+=began
to ^to++++=to
gaze ^vbi++++=gaze
intently ^rb++++=intently
in ^in++++=in
the ^ati++++=the
direction ^nn+nom+++=direction
of ^in++++=of
the ^ati++++=the
entrance ^nn+nom+++=entrance
gate ^nn++++=gate.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
also ^rb++++=also
turned ^vbd+++xvbn+=turned
to ^to++++=to
look ^vbi++++=look.
. ^zz++++=EXTRAWORD
A ^at++++=A
tall ^jj+atrb+++=tall
bearded ^jj+atrb+++=bearded
peasant ^nn+nom+++=peasant
was ^vbd+bedz+aux++=was
wheeling ^nvbg+++xvbg+=wheeling
in ^in++++=in
before ^cs+sub+++=before
him ^pp3o+pp3+++=him
a ^at++++=a
bath ^nn++++=bath-chair
- ^zz++++=EXTRAWORD
chair ^nn++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
sat ^vbd+++xvbn+=sat
a ^at++++=a
pitiful ^jj+atrb+++=pitiful
helpless ^jj+atrb+++=helpless
being ^nvbg+++xvbg+=being,
, ^zz++++=EXTRAWORD
a ^at++++=a
boy ^nn++++=boy
of ^in++++=of
about ^in++++=about
eighteen ^cd++++=eighteen
or ^cc++++=or
twenty ^cd++++=twenty
years ^nns++++=years,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
