On ^in++++=On
a ^at++++=a
cheery ^jj+atrb+++=cheery
June ^nr++++=June
day ^nn++++=day
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Penelope ^np++++=Penelope
Carrolland ^np+++??+=Carrolland
her ^pp$+pp3+++=her
niece ^nn++++=niece
Debby ^np+++??+=Debby
Wilder ^jjr++++=Wilder,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
whizzing ^vbg+++xvbgx+=whizzing
alongon ^nn+++??+=alongon
their ^pp$+pp3+++=their
way ^nn++++=way
to ^in++++=to
a ^at++++=a
certain ^jj++++=certain
gay ^jj++++=gay
watering ^jj+++xvbg+=watering-place,
- ^zz++++=EXTRAWORD
place ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
bothin ^nn+++??+=bothin
the ^ati++++=the
best ^nn++++=best
of ^in++++=of
humors ^nns++++=humors
with ^in++++=with
each ^dt++++=each
other ^ap++++=other
and ^cc++++=and
all ^abn++++=all
theworld ^nn+++??+=theworld
beside ^in+strn+++=beside.
. ^zz++++=EXTRAWORD
Aunt ^nn++++=Aunt
Pen ^nn++++=Pen
was ^vbd+bedz+aux++=was
concocting ^vbg+++xvbgx+=concocting
sundrymild ^nn+++??+=sundrymild
romances ^nns+nom+++=romances,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
laying ^nvbg+++xvbg+=laying
harmless ^jj+atrb+++=harmless
plots ^nns++++=plots
for ^in++++=for
thepursuance ^nn+nom+++=thepursuance
of ^in++++=of
her ^pp$+pp3+++=her
favorite ^jj+atrb+++=favorite
pastime ^nn++++=pastime,
, ^zz++++=EXTRAWORD
match ^nn++++=match-making;for
- ^zz++++=EXTRAWORD
making;for ^nn++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
invited ^vprf+++xvbnx+=invited
her ^pp$+pp3+++=her
pretty ^rb++++=pretty
relative ^jj++++=relative
to ^to++++=to
join ^vbi++++=join
hersummer ^jjr+atrb+++=hersummer
jaunt ^nn++++=jaunt,
, ^zz++++=EXTRAWORD
ostensibly ^rb++++=ostensibly
that ^cs+sub+++=that
the ^ati++++=the
girl ^nn++++=girl
might ^md+pos+++=might
see ^vb+vprv+++=see
alittle ^nn+++??+=alittle
of ^in++++=of
fashionable ^jj+atrb+++=fashionable
life ^nn++++=life,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
good ^jj+atrb+++=good
lady ^npt++++=lady
secretlyproposed ^vbd+++xvbn+=secretlyproposed
to ^in++++=to
herself ^ppl+pp3+++=herself
to ^to++++=to
take ^vbi++++=take
her ^pp$+pp3+++=her
to ^in++++=to
the ^ati++++=the
beach ^npl++++=beach
andget ^nn+++??+=andget
her ^pp3o+pp3+++=her
a ^at++++=a
rich ^jj+atrb+++=rich
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
much ^ap++++=much
as ^ql++++=as
she ^pp3a+pp3+++=she
wouldhave ^jj+++??+=wouldhave
proposed ^jj+++xvbn+=proposed
to ^to++++=to
take ^vbi++++=take
her ^pp$+pp3+++=her
to ^in++++=to
Broadway ^np++++=Broadway
and ^cc++++=and
get ^vb++++=get
hera ^nn+++??+=hera
new ^jj+atrb+++=new
bonnet ^nn++++=bonnet:
: ^zz++++=EXTRAWORD
for ^in++++=for
both ^abx++++=both
articles ^nns++++=articles
she ^pp3a+pp3+++=she
considerednecessary ^nn+nom+++=considerednecessary,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
somewhat ^rb+down+++=somewhat
difficult ^jj++++=difficult
for ^in++++=for
a ^at++++=a
poor ^jj+atrb+++=poor
girlto ^nn+++??+=girlto
obtain ^vb++++=obtain.
. ^zz++++=EXTRAWORD
Debby ^np+++??+=Debby
was ^vbd+bedz+aux++=was
slowly ^rb++splt++=slowly
getting ^vbg+++xvbgx+=getting
her ^pp$+pp3+++=her
poise ^nn++++=poise,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
theexcitement ^nn+nom+++=theexcitement
of ^in++++=of
a ^at++++=a
first ^od++++=first
visit ^vb++++=visit
to ^in++++=to
New ^jj+atrb+++=New
York ^np++++=York;
; ^zz++++=EXTRAWORD
for ^in++++=for
tendays ^nns+++??+=tendays
of ^in++++=of
bustle ^nn++++=bustle
had ^vbd+hvd+aux++=had
introduced ^vprf+++xvbnx+=introduced
the ^ati++++=the
young ^jj+atrb+++=young
philosopherto ^nn+++??+=philosopherto
a ^at++++=a
