With ^in++++=With
the ^ati++++=the
first ^rb++++=first
day ^nn++++=day
of ^in++++=of
spring ^nn++++=spring,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
awakening ^nn++++=awakening
earth ^nn++++=earth
puts ^vbz++++=puts
on ^rb+phrv+++=on
its ^pp$+it+++=its
garment ^nn+nom+++=garment
of ^in++++=of
green ^nn++++=green,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
warm ^jj+atrb+++=warm,
, ^zz++++=EXTRAWORD
fragrant ^jj+atrb+++=fragrant
air ^nn++++=air
fans ^nns++++=fans
our ^pp$+pp1+++=our
faces ^nns++++=faces
and ^cc++++=and
fills ^vbz++++=fills
our ^pp$+pp1+++=our
lungs ^nns++++=lungs
and ^cc++++=and
appears ^vbz+seem+++=appears
even ^rb++++=even
to ^to++++=to
penetrate ^nn+nom+++=penetrate
to ^in++++=to
our ^pp$+pp1+++=our
hearts ^nns++++=hearts,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
experience ^nn+nom+++=experience
a ^at++++=a
vague ^jj+atrb+++=vague,
, ^zz++++=EXTRAWORD
undefined ^jj++++=undefined
longing ^jj+++xvbg+=longing
for ^in++++=for
freedom ^nn+nom+++=freedom,
, ^zz++++=EXTRAWORD
for ^in++++=for
happiness ^nns+nom+++=happiness,
, ^zz++++=EXTRAWORD
a ^at++++=a
desire ^nn++++=desire
to ^to+ncmp+++=to
run ^vbi++++=run,
, ^zz++++=EXTRAWORD
to ^to++++=to
wander ^vbi++++=wander
aimlessly ^rb+cnj+++=aimlessly,
, ^zz++++=EXTRAWORD
to ^to++++=to
breathe ^vbi++++=breathe
in ^rb+phrv+++=in
the ^ati++++=the
spring ^nn++++=spring.
. ^zz++++=EXTRAWORD
The ^ati++++=The
previous ^jj+atrb+++=previous
winter ^nn++++=winter
having ^xvbg+++xvbg+=having
been ^vprf+ben+vrb+xvbn+=been
unusually ^rb++++=unusually
severe ^jj++++=severe,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
spring ^nn++++=spring
feeling ^nvbg+++xvbg+=feeling
was ^vbd+bedz+vrb++=was
like ^in++++=like
a ^at++++=a
form ^nn++++=form
of ^in++++=of
intoxication ^nn+nom+++=intoxication
in ^in++++=in
May ^md+pos+++=May,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
an ^at++++=an
overabundant ^nn+nom+++=overabundant
supply ^nn++++=supply
of ^in++++=of
sap ^nn++++=sap.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
morning ^nn++++=morning
on ^in++++=on
waking ^xvbg+++xvbg+=waking
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
from ^in++++=from
my ^pp$+pp1+++=my
window ^nn++++=window
the ^ati++++=the
blue ^jj+atrb+++=blue
sky ^nn++++=sky
glowing ^vwbg+++xvbg+=glowing
in ^in++++=in
the ^ati++++=the
sun ^nn++++=sun
above ^in+pl+++=above
the ^ati++++=the
neighboring ^jj+atrb+++=neighboring
houses ^nns++++=houses.
. ^zz++++=EXTRAWORD
The ^ati++++=The
canaries ^nns++++=canaries
hanging ^vwbg+++xvbg+=hanging
in ^in++++=in
the ^ati++++=the
windows ^nns++++=windows
were ^vbd+bed+aux++=were
singing ^vbg+++xvbgx+=singing
loudly ^rb+cnj+++=loudly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
were ^vbd+bed+vrb++=were
the ^ati++++=the
servants ^nns+nom+++=servants
on ^in++++=on
every ^at++++=every
floor ^nn++++=floor;
; ^zz++++=EXTRAWORD
a ^at++++=a
cheerful ^jj+atrb+++=cheerful
noise ^nn++++=noise
rose ^vbd+++xvbn+=rose
up ^rp++++=up
from ^in++++=from
the ^ati++++=the
streets ^nns++++=streets,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
