Everything ^pn++++=Everything
( ^zz++++=(he
he ^pp3a+pp3+++=EXTRAWORD
kept ^vbd+++xvbnx+=kept
saying ^vbg+++xvbg+=saying)
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
something ^pn++++=something
it ^pp3+it+++=it
is ^vbz+bez+vrb++=isn't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
everybody ^pn++++=everybody
is ^vbz+bez+vrb++=is
always ^rb++++=always
somewhere ^rb++++=somewhere
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
Maybe ^rb+hdg+++=Maybe
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
city ^nn++++=city,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
in ^in++++=in
the ^ati++++=the
city ^nn++++=city,
, ^zz++++=EXTRAWORD
that ^cs+sub+++=that
made ^vprf+++xvbn+=made
him ^pp3o+pp3+++=him
feel ^vb+vprv+++=feel
how ^wrb+who+whcl++=how
queer ^jj++++=queer
everything ^pn++++=everything
was ^vbd+bedz+vrb++=was
and ^cc++++=and
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
something ^pn++++=something
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
Maybe ^rb+hdg+++=Maybe
( ^zz++++=(he
he ^pp3a+pp3+++=EXTRAWORD
kept ^vbd+++xvbnx+=kept
thinking ^nvbg+++xvbg+=thinking)
) ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
names ^nns++++=names
of ^in++++=of
the ^ati++++=the
things ^nns++++=things.
. ^zz++++=EXTRAWORD
The ^ati++++=The
names ^nns++++=names
were ^vbd+bed+vrb++=were
tex ^nn+++??+=tex
and ^cc++++=and
frequently ^rb++++=frequently
koid ^nn+++??+=koid.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
flex ^nn+++??+=flex
and ^cc++++=and
oid ^nn+++??+=oid
or ^cc++++=or
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
duroid ^nn+++??+=duroid
( ^zz++++=(sand)
sand ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
or ^cc++++=or
flexsan ^jj++++=flexsan
( ^zz++++=(duro),
duro ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
everything ^pn++++=everything
was ^vbd+bedz+vrb++=was
glass ^nn++++=glass
( ^zz++++=(but
but ^cc++++=EXTRAWORD
not ^xnot++not++=not
quite ^rb++++=quite
glass ^vb++++=glass)
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
thing ^nn++++=thing
that ^tht+rel+obj++=that
you ^pp2+pp2+++=you
touched ^vbd+++xvbn+=touched
( ^zz++++=(the
the ^ati++++=EXTRAWORD
surface ^nn++++=surface,
, ^zz++++=EXTRAWORD
washable ^jj++++=washable,
, ^zz++++=EXTRAWORD
crease ^nn++++=crease-resistant)
- ^zz++++=EXTRAWORD
resistant ^jj++++=EXTRAWORD
) ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
rubber ^nn++++=rubber,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
quite ^rb++++=quite
