At ^rb++++=At
the ^ati++++=the
moorland ^nn++++=moorland
cross ^jj++++=cross-roads
- ^zz++++=EXTRAWORD
roads ^nns++++=EXTRAWORD
Martin ^np++++=Martin
stood ^vbd+++xvbn+=stood
examining ^vbg+++xvbg+=examining
the ^ati++++=the
sign ^nn++++=sign-post
- ^zz++++=EXTRAWORD
post ^nn++++=EXTRAWORD
for ^in++++=for
several ^ap++++=several
minutes ^nns++++=minutes
in ^in++++=in
some ^dti++++=some
bewilderment ^nn+nom+++=bewilderment.
. ^zz++++=EXTRAWORD
The ^ati++++=The
names ^nns++++=names
on ^in++++=on
the ^ati++++=the
four ^cd++++=four
arms ^nns++++=arms
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
expected ^vbd+vprv++xvbnx+=expected,
, ^zz++++=EXTRAWORD
distances ^nns+nom+++=distances
were ^vbd+bed+aux++=were
not ^xnot++not++=not
given ^vbd+++xvbn+=given,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
map ^nn++++=map,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
concluded ^vbd+vprv++xvbnx+=concluded
with ^in++++=with
impatience ^nn+nom+++=impatience,
, ^zz++++=EXTRAWORD
must ^md+nec+++=must
be ^vb+be+vrb++=be
hopelessly ^rb++++=hopelessly
out ^rp+pl+++=out
of ^in++++=of
date ^nn++++=date.
. ^zz++++=EXTRAWORD
Spreading ^vbg+++xvbg+=Spreading
it ^pp3+it+++=it
against ^in++++=against
the ^ati++++=the
post ^nn++++=post,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
stooped ^vbd+++xvbnx+=stooped
to ^in++++=to
study ^nn++++=study
it ^pp3+it+++=it
more ^rbr++++=more
closely ^rb++++=closely.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wind ^nn++++=wind
blew ^vbd+++xvbn+=blew
the ^ati++++=the
corners ^nns+nom+++=corners
flapping ^vwbg+++xvbg+=flapping
against ^in++++=against
his ^pp$+pp3+++=his
face ^nn++++=face.
