About ^in++++=About
thirty ^cd++++=thirty
years ^nns++++=years
ago ^rb++++=ago
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
selected ^vpsv++by+xvbnx+=selected
by ^in++++=by
two ^cd++++=two
rich ^jj+atrb+++=rich
old ^jj+atrb+++=old
maids ^nns++++=maids
to ^to++++=to
visit ^vbi++++=visit
a ^at++++=a
property ^nn++++=property
in ^cs+sub+++=in
that ^cs"++++=that
part ^nn++++=part
of ^in++++=of
Lancashire ^np++++=Lancashire
which ^whp+rel+subj++=which
lies ^vbz++++=lies
near ^in+pl+++=near
the ^ati++++=the
famous ^jj+atrb+++=famous
forest ^nn++++=forest
of ^in++++=of
Pendle ^np+++??+=Pendle,
, ^zz++++=EXTRAWORD
with ^in++++=with
which ^whp+rel+pied++=which
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Ainsworth ^np++++=Ainsworth's
's ^$++++=EXTRAWORD
" ^zz++++="Lancashire
lancashire ^np++++=EXTRAWORD
Witches ^nns++++=Witches"
" ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
made ^vprf+++xvbnx+=made
us ^pp1o+pp1+++=us
so ^rb++++=so
pleasantly ^rb++++=pleasantly
familiar ^jj++++=familiar.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
business ^nns+nom+++=business
was ^vbd+bedz+aux++=was
to ^to++++=to
make ^vbi++++=make
partition ^nn+nom+++=partition
of ^in++++=of
a ^at++++=a
small ^jj+atrb+++=small
property ^nn++++=property,
, ^zz++++=EXTRAWORD
including ^in++++=including
a ^at++++=a
house ^nn++++=house
and ^cc++++=and
demesne ^nn+++??+=demesne,
, ^zz++++=EXTRAWORD
to ^to++++=to
which ^whp+who+++=which
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time
before ^in++++=before
succeeded ^nn++++=succeeded
as ^in++++=as
co ^nn++++=co-heiresses.
- ^zz++++=EXTRAWORD
heiresses ^nns+nom++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
last ^ap++++=last
forty ^cd++++=forty
miles ^nns++++=miles
of ^in++++=of
my ^pp$+pp1+++=my
journey ^nn++++=journey
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
obliged ^jj++agls+xvbnx+=obliged
to ^to+jcmp+++=to
post ^vb++++=post,
, ^zz++++=EXTRAWORD
chiefly ^rb++++=chiefly
by ^in++++=by
cross ^jj++++=cross-roads,
- ^zz++++=EXTRAWORD
roads ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
little ^ap++++=little
known ^vprf+++xvbn+=known,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
less ^rbr++++=less
frequented ^vbd+++xvbn+=frequented,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
presenting ^vbg+++xvbg+=presenting
scenery ^nn+nom+++=scenery
often ^rb++++=often
extremely ^rb+amp+++=extremely
interesting ^jj++++=interesting
and ^cc+phrs+++=and
pretty ^jj++++=pretty.
. ^zz++++=EXTRAWORD
The ^ati++++=The
picturesqueness ^nns+nom+++=picturesqueness
of ^in++++=of
the ^ati++++=the
landscape ^nn++++=landscape
was ^vbd+bedz+aux++=was
enhanced ^vpsv++by+xvbnx+=enhanced
by ^in++++=by
the ^ati++++=the
season ^nn++++=season,
, ^zz++++=EXTRAWORD
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
of ^in++++=of
September ^nr+nom+++=September,
, ^zz++++=EXTRAWORD
at ^in++++=at
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
travelling ^nvbg+++xvbg+=travelling.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
never ^rb++splt++=never
been ^vprf+ben+vrb+xvbnx+=been
in ^in++++=in
this ^dt+dem+++=this
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
world ^nn++++=world
before ^in++++=before;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
told ^vpsv++tht0+xvbnx+=told
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
now ^rn+tm+++=now
a ^at++++=a
great ^jj+atrb+++=great
deal ^nn++++=deal
less ^rbr++++=less
wild ^jj++++=wild,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
consequently ^rb+cnj+++=consequently,
, ^zz++++=EXTRAWORD
less ^rbr++++=less
beautiful ^jj++++=beautiful.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
inn ^nn++++=inn
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
stopped ^vprf+++xvbnx+=stopped
for ^in++++=for
a ^at++++=a
relay ^nn++++=relay
of ^in++++=of
horses ^nns++++=horses
and ^cc++++=and
some ^dti++++=some
dinner ^nn++++=dinner--for
-- ^--+clp+++=EXTRAWORD
for ^in++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
then ^rn+tm+++=then
past ^jjb+pred+++=past
five ^cd++++=five
o ^zz++++=o'clock--I
'clock--i ^nn+++??+=EXTRAWORD
found ^vbd+vprv++xvbn+=found
the ^ati++++=the
