Arthur ^np++++=Arthur
Kimberlin ^np+++??+=Kimberlin,
, ^zz++++=EXTRAWORD
a ^at++++=a
young ^jj+atrb+++=young
man ^nn++++=man
of ^in++++=of
very ^ql+amp+++=very
high ^np++++=high
spirit ^nn++++=spirit,
, ^zz++++=EXTRAWORD
found ^j+++xvbn+=found
himself ^ppl+pp3+++=himself
a ^at++++=a
total ^jj++++=total
stranger ^jjr++++=stranger
in ^in++++=in
San ^np++++=San
Francisco ^np++++=Francisco
one ^cd1++++=one
rainy ^jj+atrb+++=rainy
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
at ^rb++++=at
a ^at++++=a
time ^nn++++=time
when ^wrb+who+++=when
his ^pp$+pp3+++=his
heart ^nn++++=heart
was ^vbd+bedz+aux++=was
breaking ^vbg+++xvbgx+=breaking;
; ^zz++++=EXTRAWORD
for ^in++++=for
his ^pp$+pp3+++=his
hunger ^nn++++=hunger
was ^vbd+bedz+vrb++=was
of ^in++++=of
that ^dt+dem+++=that
most ^ql+emph+++=most
poignant ^jj+atrb+++=poignant
kind ^nn++++=kind
in ^in++++=in
which ^whp+rel+pied++=which
physical ^jj+atrb+++=physical
suffering ^nvbg+++xvbg+=suffering
is ^vbz+bez+aux++=is
forced ^vpsv++agls+xvbnx+=forced
to ^to+vcmp+++=to
the ^ati++++=the
highest ^jjt+atrb+++=highest
point ^nn++++=point
without ^in++++=without
impairment ^nn+nom+++=impairment
of ^in++++=of
the ^ati++++=the
mental ^jj+atrb+++=mental
functions ^nns+nom+++=functions.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
remained ^vprf+++xvbn+=remained
in ^in++++=in
his ^pp$+pp3+++=his
possession ^nn++++=possession
not ^xnot++not++=not
a ^at++++=a
thing ^nn++++=thing
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
might ^md+pos+++=might
have ^vb+hv+aux++=have
pawned ^vprf+++xvbnx+=pawned
for ^in++++=for
a ^at++++=a
morsel ^nn+++??+=morsel
to ^to++++=to
eat ^vbi++++=eat;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
as ^ql++++=as
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
stripped ^vprf+++xvbnx+=stripped
his ^pp$+pp3+++=his
body ^nn++++=body
of ^in++++=of
all ^abn++++=all
articles ^nns++++=articles
of ^in++++=of
clothing ^nn++++=clothing
except ^in++++=except
those ^dt+pdem+++=those
which ^whp+rel+obj++=which
a ^at++++=a
remaining ^jj+atrb++xvbg+=remaining
sense ^nn++++=sense
of ^in++++=of
decency ^nn++++=decency
compelled ^vwbn+++xvbn+=compelled
him ^pp3o+pp3+++=him
to ^to++++=to
retain ^vbi++++=retain.
. ^zz++++=EXTRAWORD
Hence ^rb+cnj+++=Hence
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
that ^dt+dem+++=that
cold ^jj++++=cold
assailed ^jj+++xvbn+=assailed
him ^pp3o+pp3+++=him
and ^cc++++=and
conspired ^vprf+++xvbn+=conspired
with ^in++++=with
hunger ^nn++++=hunger
to ^to++++=to
complete ^vbi++++=complete
his ^pp$+pp3+++=his
misery ^nn++++=misery.
. ^zz++++=EXTRAWORD
Having ^xvbg+++xvbg+=Having
been ^vprf+ben+aux+xvbn+=been
brought ^vpsv++agls+xvbnx+=brought
into ^in++++=into
the ^ati++++=the
world ^nn++++=world
and ^cc++++=and
reared ^vbd+++xvbn+=reared
a ^at++++=a
gentleman ^nn+nom+++=gentleman,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
lacked ^vbd+++xvbnx+=lacked
the ^ati++++=the
courage ^nn+nom+++=courage
to ^to++++=to
beg ^vbi++++=beg
and ^cc++++=and
the ^ati++++=the
skill ^nn++++=skill
to ^to++++=to
steal ^vbi++++=steal.
. ^zz++++=EXTRAWORD
Had ^vb+hv+vrb++=Had
not ^xnot++not++=not
an ^at++++=an
extraordinary ^jj+atrb+++=extraordinary
thing ^nn++++=thing
occurred ^vbd+++xvbn+=occurred
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
either ^dtx++++=either
would ^md+prd+++=would
have ^vb+hv+aux++=have
drowned ^vprf+++xvbnx+=drowned
himself ^ppl+pp3+++=himself
in ^in++++=in
the ^ati++++=the
bay ^nn++++=bay
within ^in++++=within
twenty ^cd++++=twenty-four
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
hours ^nns++++=hours
or ^cc++++=or
died ^vpsv++agls+xvbn+=died
of ^in++++=of
pneumonia ^nn++++=pneumonia
in ^in++++=in
the ^ati++++=the
street ^nn++++=street.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
seventy ^cd++++=seventy
hours ^nns++++=hours
without ^in++++=without
food ^nn++++=food,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
mental ^jj+atrb+++=mental
desperation ^nn+nom+++=desperation
had ^vbd+hvd+aux++=had
driven ^vprf+++xvbnx+=driven
him ^pp3o+pp3+++=him
far ^rb+pl+++=far
in ^in++++=in
its ^pp$+it+++=its
race ^nn++++=race
with ^in++++=with
his ^pp$+pp3+++=his
physical ^jj+atrb+++=physical
needs ^vb++++=needs
to ^to+vcmp+++=to
consume ^vbi++++=consume
the ^ati++++=the
strength ^nn++++=strength
within ^in++++=within
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
weak ^jj++++=weak,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tottering ^jj+++xvbg+=tottering,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
what ^wdt+who+++=what
comfort ^nn++++=comfort
he ^pp3a+pp3+++=he
could ^md+pos+++=could
find ^vb+vprv+++=find
in ^in++++=in
the ^ati++++=the
savory ^nn++++=savory
odors ^nns++++=odors
which ^whp+rel+subj++=which
came ^vbd+++xvbn+=came
steaming ^vbg+++xvbg+=steaming
up ^rp++++=up
from ^in++++=from
the ^ati++++=the
basement ^nn+nom+++=basement
kitchens ^nns++++=kitchens
of ^in++++=of
the ^ati++++=the
restaurants ^nns+nom+++=restaurants
in ^in++++=in
Market ^nn++++=Market
Street ^nn++++=Street,
, ^zz++++=EXTRAWORD
caring ^vbg+++xvbg+=caring
more ^ql++++=more
to ^to++++=to
gain ^vbi++++=gain
them ^pp3o+pp3+++=them
than ^in++++=than
to ^to++++=to
avoid ^vbi++++=avoid
the ^ati++++=the
rain ^nn++++=rain.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
teeth ^nns++++=teeth
chattered ^vbd+++xvbn+=chattered;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
shambled ^vbd+++xvbnx+=shambled,
, ^zz++++=EXTRAWORD
stooped ^j+++xvbn+=stooped,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gasped ^vbd+++xvbn+=gasped.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
too ^ql++++=too
desperate ^jj++++=desperate
to ^to++++=to
curse ^vbi++++=curse
his ^pp$+pp3+++=his
fate ^nn++++=fate--he
-- ^--+clp+++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
could ^md+pos+++=could
only ^rb+down+++=only
long ^rb++++=long
for ^in++++=for
food ^nn++++=food.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
not ^xnot++not++=not
reason ^nn++++=reason;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
could ^md+pos+++=could
