An ^at++++=An
acquaintance ^nn+nom+++=acquaintance
of ^in++++=of
mine ^pp$$++++=mine
once ^cs+tm+++=once
told ^vbd+vpub++xvbn+=told
me ^pp1o+pp1+++=me
the ^ati++++=the
following ^jj+atrb++xvbg+=following
story ^nn++++=story.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
a ^at++++=a
student ^nn++++=student
at ^in++++=at
Moscow ^np++++=Moscow
I ^pp1a+pp1+++=I
happened ^vbd+++xvbnx+=happened
to ^to+vcmp+++=to
live ^vbi++++=live
alongside ^in+pl+++=alongside
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
ladies ^nns++++=ladies
whose ^whp+rel+obj++=whose
repute ^nn++++=repute
is ^vbz+bez+vrb++=is
questionable ^jj+pred+++=questionable.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
a ^at++++=a
Pole ^nn++++=Pole,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
called ^vbd+++xvbnx+=called
her ^pp3o+pp3+++=her
Teresa ^np++++=Teresa.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
a ^at++++=a
tallish ^jj++++=tallish,
, ^zz++++=EXTRAWORD
powerfully ^rb++++=powerfully-built
- ^zz++++=EXTRAWORD
built ^vwbn+++xvbn+=EXTRAWORD
brunette ^jj++++=brunette,
, ^zz++++=EXTRAWORD
with ^in++++=with
black ^nn++++=black,
, ^zz++++=EXTRAWORD
bushy ^jj+atrb+++=bushy
eyebrows ^nns++++=eyebrows
and ^cc++++=and
a ^at++++=a
large ^jj+atrb+++=large
coarse ^jj+atrb+++=coarse
face ^nn++++=face
as ^cs+sub+++=as
if ^cs+cnd+++=if
carved ^xvbn+++xvbn+=carved
out ^rp+pl+++=out
by ^in++++=by
a ^at++++=a
hatchet ^nn++++=hatchet--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
bestial ^jj+atrb+++=bestial
gleam ^nn++++=gleam
of ^in++++=of
her ^pp$+pp3+++=her
dark ^jj+atrb+++=dark
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
thick ^jj+atrb+++=thick
bass ^nn++++=bass
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
cabman ^jj++++=cabman-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
gait ^nn++++=gait
and ^cc++++=and
her ^pp$+pp3+++=her
immense ^jj+atrb+++=immense
muscular ^jj+atrb+++=muscular
vigour ^nn++++=vigour,
, ^zz++++=EXTRAWORD
worthy ^jj++++=worthy
of ^in++++=of
a ^at++++=a
fishwife ^nn+++??+=fishwife,
, ^zz++++=EXTRAWORD
inspired ^j+++xvbn+=inspired
me ^pp1o+pp1+++=me
with ^in++++=with
horror ^nn++++=horror.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
lived ^vbd+++xvbnx+=lived
on ^in++++=on
the ^ati++++=the
top ^jjb+atrb+++=top
flight ^nn++++=flight
and ^cc++++=and
her ^pp$+pp3+++=her
garret ^nn+++??+=garret
was ^vbd+bedz+vrb++=was
opposite ^jj+pred+++=opposite
to ^in++++=to
mine ^pp$$++++=mine.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
left ^vbd+++xvbn+=left
my ^pp$+pp1+++=my
door ^nn++++=door
open ^nn++++=open
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
knew ^vbd+vprv+tht0+xvbnx+=knew
her ^pp$+pp3+++=her
to ^to++++=to
be ^vbi++vrb++=be
at ^rb++++=at
home ^nr++++=home.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
after ^in++++=after
all ^abn++++=all,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
very ^ql+amp+++=very
rare ^jj+atrb+++=rare
occurrence ^nn+nom+++=occurrence.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
I ^pp1a+pp1+++=I
chanced ^vbd+++xvbnx+=chanced
to ^to++++=to
meet ^vbi++++=meet
her ^pp$+pp3+++=her
on ^in++++=on
the ^ati++++=the
staircase ^nn++++=staircase
or ^cc++++=or
in ^in++++=in
the ^ati++++=the
yard ^nn++++=yard,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
would ^md+prd+++=would
smile ^vb++++=smile
upon ^in++++=upon
me ^pp1o+pp1+++=me
with ^in++++=with
a ^at++++=a
smile ^nn++++=smile
which ^whp+rel+subj++=which
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
me ^vbi++++=me
to ^to++++=to
be ^vbi++vrb++=be
sly ^jj+pred+++=sly
and ^cc+phrs+++=and
cynical ^jj++++=cynical.
. ^zz++++=EXTRAWORD
Occasionally ^rb+cnj+++=Occasionally,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
her ^pp$+pp3+++=her
drunk ^vbd+++xvbn+=drunk,
, ^zz++++=EXTRAWORD
with ^in++++=with
bleary ^nn++++=bleary
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
tousled ^jj+atrb+++=tousled
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
particularly ^rb++++=particularly
hideous ^jj+atrb+++=hideous
grin ^nn++++=grin.
. ^zz++++=EXTRAWORD
On ^in++++=On
such ^abl++++=such
occasions ^nns++++=occasions
she ^pp3a+pp3+++=she
would ^md+prd+++=would
speak ^vb++++=speak
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+whq++=EXTRAWORD
do ^vb+do+vrb++0=d'ye
you ^pp2+pp2+++=EXTRAWORD
do ^vb+do+vrb++=do,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Student ^np++++=Student!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
her ^pp$+pp3+++=her
stupid ^jj+atrb+++=stupid
laugh ^nn++++=laugh
would ^md+prd+++=would
still ^rb+atrb+++=still
further ^jjb++++=further
intensify ^vb++++=intensify
my ^pp$+pp1+++=my
loathing ^nn++++=loathing
of ^in++++=of
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
have ^vb+hv+aux++=have
liked ^vprf+++xvbnx+=liked
to ^to+vcmp+++=to
have ^vbi++++=have
changed ^vbd+++xvbn+=changed
my ^pp$+pp1+++=my
quarters ^nns+nom+++=quarters
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
have ^vbi+vbi+aux++=have
avoided ^vprf+++xvbnx+=avoided
such ^abl++++=such
encounters ^nns+nom+++=encounters
and ^cc++++=and
greetings ^nns++++=greetings;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
my ^pp$+pp1+++=my
little ^jj+atrb+++=little
chamber ^nn++++=chamber
was ^vbd+bedz+vrb++=was
a ^at++++=a
nice ^jj+atrb+++=nice
one ^pn++++=one,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
such ^abl++++=such
