1308 ^cd++++=1308
One ^pn++++=One
of ^in++++=of
the ^ati++++=the
ladies ^nns++++=ladies
most ^ql+emph+++=most
admired ^vpsv++by+xvbn+=admired
by ^in++++=by
the ^ati++++=the
ancient ^jj+atrb+++=ancient
Romans ^nn++++=Romans
was ^vbd+bedz+vrb++=was
Arria ^np+++??+=Arria,
, ^zz++++=EXTRAWORD
the ^ati++++=the
wife ^nn++++=wife
of ^in++++=of
Caecina ^np+++??+=Caecina
Paetus ^np+++??+=Paetus,
, ^zz++++=EXTRAWORD
a ^at++++=a
Roman ^nn++++=Roman
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
condemned ^vpsv++by+xvbnx+=condemned
by ^in++++=by
the ^ati++++=the
Emperor ^nn++++=Emperor
Claudius ^np++++=Claudius
to ^to++++=to
become ^vbi++++=become
his ^pp$+pp3+++=his
own ^ap++++=own
executioner ^nn+nom+++=executioner.
. ^zz++++=EXTRAWORD
Seeing ^jj+++xvbg+=Seeing
him ^pp3o+pp3+++=him
waver ^jjr++++=waver,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
resolved ^vpsv++agls+xvbnx+=resolved
to ^to+vcmp+++=to
be ^vbi++vrb++=be
with ^in++++=with
him ^pp3o+pp3+++=him
in ^in++++=in
death ^nn++++=death
as ^in++++=as
in ^in"++++=in
life ^nn++++=life,
, ^zz++++=EXTRAWORD
took ^j+++xvbn+=took
the ^ati++++=the
dagger ^nn++++=dagger
from ^in++++=from
his ^pp$+pp3+++=his
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
plunged ^xvbn+++xvbn+=plunged
it ^pp3+it+++=it
into ^in++++=into
her ^pp$+pp3+++=her
own ^ap++++=own
breast ^nn++++=breast,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
her ^pp$+pp3+++=her
last ^rb++++=last
strength ^nn++++=strength
held ^vbd+vprv++xvbn+=held
it ^pp3+it+++=it
out ^rp+pl+++=out
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
gasping ^vbg+++xvbg+=gasping
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
' ^zz++++='It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
painful ^jj++++=painful,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
Paetus ^np+++??+=Paetus.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Such ^abl++++=Such
was ^vbd+bedz+vrb++=was
heathen ^jj+atrb+++=heathen
faithfulness ^nns+nom+++=faithfulness
even ^rb++++=even
to ^in++++=to
death ^nn++++=death;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
where ^wrb+who+++=where
the ^ati++++=the
teaching ^jj+++xvbg+=teaching
of ^in++++=of
Christianity ^nn+nom+++=Christianity
had ^vb+hv+aux++=had
not ^xnot++not++=not
forbidden ^vbd+++xvbn+=forbidden
the ^ati++++=the
taking ^jj+++xvbg+=taking
away ^rp+pl+++=away
of ^in++++=of
life ^nn++++=life
by ^in++++=by
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
own ^ap++++=own
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
wifely ^jj+atrb+++=wifely
love ^nn++++=love
could ^md+pos+++=could
not ^xnot++not++=not
go ^vb++++=go
higher ^jjr++++=higher.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
Christian ^jj+atrb+++=Christian
women ^nns++++=women
have ^vb+hv+aux++=have
endured ^vprf+++xvbnx+=endured
a ^at++++=a
yet ^rb++++=yet
more ^rbr++++=more
fearful ^jj+atrb+++=fearful
ordeal ^nn++++=ordeal
to ^in++++=to
their ^pp$+pp3+++=their
tender ^jj+atrb+++=tender
affection ^nn+nom+++=affection,
, ^zz++++=EXTRAWORD
watching ^vbg+++xvbg+=watching,
, ^zz++++=EXTRAWORD
supporting ^vbg+++xvbg+=supporting,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
finding ^jj+atrb++xvbg+=finding
unfailing ^jj+atrb+++=unfailing
fortitude ^nn++++=fortitude
to ^to++++=to
uphold ^vbi++++=uphold
the ^ati++++=the
sufferer ^nn+nom+++=sufferer
in ^in++++=in
agonies ^nns++++=agonies
that ^tht+rel+subj++=that
must ^md+nec+++=must
have ^vb+hv+vrb++=have
rent ^nn++++=rent
their ^pp$+pp3+++=their
hearts ^nns++++=hearts.
. ^zz++++=EXTRAWORD
Natalia ^np+++??+=Natalia
was ^vbd+bedz+vrb++=was
the ^ati++++=the
fair ^jj+atrb+++=fair
young ^jj+atrb+++=young
wife ^nn++++=wife
of ^in++++=of
Adrian ^np++++=Adrian,
, ^zz++++=EXTRAWORD
an ^at++++=an
officer ^nn++++=officer
at ^rb++++=at
Nicomedia ^np+++??+=Nicomedia,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
guards ^nns++++=guards
of ^in++++=of
the ^ati++++=the
Emperor ^nn++++=Emperor
Galerius ^np+++??+=Galerius
Maximianus ^np+++??+=Maximianus,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
only ^rb+down+++=only
about ^in++++=about
twentyeight ^nn+++??+=twentyeight
years ^nns++++=years
old ^jj++++=old.
. ^zz++++=EXTRAWORD
Natalia ^np+++??+=Natalia
was ^vbd+bedz+vrb++=was
a ^at++++=a
Christian ^nn++++=Christian,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
her ^pp$+pp3+++=her
husband ^nn++++=husband
remained ^vbd+++xvbn+=remained
a ^at++++=a
pagan ^nn++++=pagan,
, ^zz++++=EXTRAWORD
until ^in++++=until,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
charged ^vpsv++agls+xvbnx+=charged
with ^in++++=with
the ^ati++++=the
execution ^nn+nom+++=execution
of ^in++++=of
some ^dti++++=some
martyrs ^nns++++=martyrs,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
constancy ^nn++++=constancy,
, ^zz++++=EXTRAWORD
coupled ^j+++xvbn+=coupled
with ^in++++=with
the ^ati++++=the
testimony ^nn++++=testimony
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own
wife ^nn++++=wife's
's ^$++++=EXTRAWORD
virtues ^nns++++=virtues,
, ^zz++++=EXTRAWORD
triumphed ^j+++xvbn+=triumphed
over ^in++++=over
his ^pp$+pp3+++=his
unbelief ^nn+++??+=unbelief,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
confessed ^vbd+vpub+tht0+xvbnx+=confessed
himself ^ppl+pp3+++=himself
likewise ^rb+cnj+++=likewise
a ^at++++=a
Christian ^nn++++=Christian.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
thrown ^vpsv++agls+xvbnx+=thrown
into ^in++++=into
prison ^nn++++=prison,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sentenced ^vpsv++agls+xvbn+=sentenced
to ^in++++=to
death ^nn++++=death,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
prevailed ^vbd+++xvbnx+=prevailed
on ^in++++=on
his ^pp$+pp3+++=his
gaoler ^jjr++++=gaoler
to ^to++++=to
permit ^vbi++++=permit
him ^pp3o+pp3+++=him
to ^to++++=to
leave ^vbi++++=leave
the ^ati++++=the
dungeon ^nn++++=dungeon
