There ^ex+pex+++=THERE
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
one ^cd1++++=one
possible ^jj+atrb+++=possible
objection ^nn+nom+++=objection
to ^in++++=to
the ^ati++++=the
drawing ^jj+++xvbg+=drawing-room,
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
the ^ati++++=the
occasional ^jj+atrb+++=occasional
presence ^nn+nom+++=presence
of ^in++++=of
Miss ^npt++++=Miss
Carew ^np++++=Carew;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
only ^rb+down+++=only
one ^cd1++++=one
possible ^jj+atrb+++=possible
objection ^nn+nom+++=objection
to ^in++++=to
Miss ^npt++++=Miss
Carew ^np++++=Carew.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
dead ^jj+pred+++=dead.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
dead ^jj++++=dead
twenty ^cd++++=twenty
years ^nns++++=years,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
matter ^nn++++=matter
of ^in++++=of
fact ^nn++++=fact
and ^cc++++=and
record ^nn++++=record,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
the ^ati++++=the
last ^ap++++=last
of ^in++++=of
her ^pp$+pp3+++=her
life ^nn++++=life
sacredly ^jj++++=sacredly
preserved ^jj+++xvbn+=preserved
the ^ati++++=the
treasures ^nns++++=treasures
and ^cc++++=and
traditions ^nns+nom+++=traditions
of ^in++++=of
her ^pp$+pp3+++=her
family ^nn++++=family,
, ^zz++++=EXTRAWORD
a ^at++++=a
family ^nn++++=family
bound ^vwbn+++xvbn+=bound
up ^rp++++=up
- ^zz++++=-as
as ^ql++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
quite ^rb++++=quite
unnecessary ^jj+pred+++=unnecessary
to ^to++++=to
explain ^vbi+vpub+++=explain
to ^in++++=to
any ^dti++++=any
one ^pn++++=one
in ^in++++=in
good ^jj+atrb+++=good
society ^nn++++=society
- ^zz++++=-with
with ^in++++=EXTRAWORD
all ^abn++++=all
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
most ^ql+emph+++=most
venerable ^jj++++=venerable
and ^cc+phrs+++=and
heroic ^jj++++=heroic
in ^in++++=in
the ^ati++++=the
history ^nn++++=history
of ^in++++=of
the ^ati++++=the
Republic ^nn++++=Republic.
. ^zz++++=EXTRAWORD
Miss ^npt++++=Miss
Carew ^np++++=Carew
never ^rb++++=never
relaxed ^jj+++xvbn+=relaxed
the ^ati++++=the
proverbial ^jj+atrb+++=proverbial
hospitality ^nn+nom+++=hospitality
of ^in++++=of
her ^pp3o+pp3+++=her
house ^npl++++=house,
, ^zz++++=EXTRAWORD
even ^rb++++=even
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
remained ^vbd+++xvbnx+=remained
its ^pp$+it+++=its
sole ^jjb+atrb+++=sole
representative ^nn++++=representative.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
continued ^vbd+++xvbnx+=continued
to ^to++++=to
preside ^vbi++++=preside
at ^rb++++=at
her ^pp3o+pp3+++=her
table ^nn++++=table
with ^in++++=with
dignity ^nn+nom+++=dignity
and ^cc++++=and
state ^nn++++=state,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
set ^vbi++++=set
an ^at++++=an
example ^nn++++=example
of ^in++++=of
excessive ^jj+atrb+++=excessive
modesty ^nn++++=modesty
and ^cc++++=and
gentle ^jj+atrb+++=gentle
decorum ^nn++++=decorum
to ^in++++=to
a ^at++++=a
generation ^nn+nom+++=generation
of ^in++++=of
restless ^jj+atrb+++=restless
young ^jj+atrb+++=young
women ^nns++++=women.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
likely ^jj++++=likely
that ^tht+jcmp+++=that
having ^xvbg+++xvbg+=having
lived ^vprf+++xvbn+=lived
a ^at++++=a
life ^nn++++=life
of ^in++++=of
such ^abl++++=such
irreproachable ^jj+atrb+++=irreproachable
gentility ^nn+nom+++=gentility
as ^in++++=as
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
Miss ^npt++++=Miss
Carew ^np++++=Carew
would ^md+prd+++=would
have ^vb+hv+vrb++=have
the ^ati++++=the
bad ^jj+atrb+++=bad
taste ^nn++++=taste
to ^to++++=to
die ^vbi++++=die
in ^in++++=in
any ^dti++++=any
way ^nn++++=way
not ^xnot++not++=not
pleasant ^jj++++=pleasant
to ^to+jcmp+++=to
mention ^nn+nom+++=mention
in ^in++++=in
fastidious ^jj+atrb+++=fastidious
society ^nn++++=society.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
could ^md+pos+++=could
be ^vb+be+aux++=be
trusted ^vpsv++agls+xvbnx+=trusted
to ^to+vcmp+++=to
the ^ati++++=the
last ^ap++++=last,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
to ^in++++=to
outrage ^nn+nom+++=outrage
those ^dt+dem+++=those
friends ^nns++++=friends
who ^whp+rel+subj++=who
quoted ^xvbn+++xvbn+=quoted
her ^pp$+pp3+++=her
as ^in++++=as
an ^at++++=an
exemplar ^nn+++??+=exemplar
of ^in++++=of
propriety ^nn++++=propriety.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
