A ^at++++=A
sheeted ^jj+atrb++xvbn+=sheeted
spectre ^nn+++??+=spectre
white ^jj++++=white
and ^cc+phrs+++=and
tall ^jj++++=tall,
, ^zz++++=EXTRAWORD
The ^ati++++=The
cold ^jj+atrb+++=cold
mist ^nn++++=mist
climbs ^nns++++=climbs
the ^ati++++=the
castle ^nn++++=castle
wall ^nn++++=wall
And ^cc++++=And
lays ^vbz++++=lays
its ^pp$+it+++=its
hand ^nn++++=hand
upon ^in++++=upon
thy ^pp$+pp2+++=thy
cheek ^nn++++=cheek.
. ^zz++++=EXTRAWORD
Longfellow ^np++++=Longfellow.
. ^zz++++=EXTRAWORD
Introduction ^nn+nom+++=Introduction
by ^in++++=by
Thomas ^np++++=Thomas
Rutherford ^np++++=Rutherford
Bacon ^nn++++=Bacon.
. ^zz++++=EXTRAWORD
Robert ^np++++=Robert
Louis ^np++++=Louis
Stevenson ^np++++=Stevenson
first ^rb++++=first
came ^vbd+++xvbn+=came
to ^in++++=to
California ^np++++=California
in ^in++++=in
1879 ^cd+date+++=1879
for ^in++++=for
the ^ati++++=the
purpose ^nn++++=purpose
of ^in++++=of
getting ^xvbg+++xvbg+=getting
married ^jj+++xvbn+=married.
. ^zz++++=EXTRAWORD
The ^ati++++=The
things ^nns++++=things
that ^tht+rel+subj++=that
delayed ^vprf+++xvbn+=delayed
his ^pp$+pp3+++=his
marriage ^nn+nom+++=marriage
are ^vb+ber+aux++=are
sufficiently ^rb++splt++=sufficiently
set ^vpsv++agls+xvbnx+=set
forth ^rb+phrv+++=forth
in ^in++++=in
his ^pp$+pp3+++=his
" ^zz++++="Letters"
letters ^nns+nom+++=EXTRAWORD
" ^zz++++=EXTRAWORD
( ^zz++++=(edited
edited ^vpsv++by+xvbn+=EXTRAWORD
by ^in++++=by
Sidney ^np++++=Sidney
Colvin ^np+++??+=Colvin)
) ^zz++++=EXTRAWORD
and ^cc++++=and
in ^in++++=in
his ^pp$+pp3+++=his
" ^zz++++="Life"
life ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
( ^zz++++=(written
written ^vpsv++by+xvbn+=EXTRAWORD
by ^in++++=by
Graham ^np++++=Graham
Balfour ^np++++=Balfour).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
here ^rn+pl+++=here
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
refer ^vbi++++=refer
only ^rb+down+++=only
to ^in++++=to
the ^ati++++=the
last ^ap++++=last
of ^in++++=of
the ^ati++++=the
obstacles ^nns++++=obstacles,
, ^zz++++=EXTRAWORD
the ^ati++++=the
breaking ^jj+++xvbg+=breaking
down ^rp++++=down
of ^in++++=of
his ^pp$+pp3+++=his
health ^nn++++=health.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
in ^in++++=in
connection ^nn+nom+++=connection
with ^in++++=with
the ^ati++++=the
evil ^jj+atrb+++=evil
thing ^nn++++=thing
that ^tht+rel+subj++=that
came ^vbd+++xvbn+=came
to ^in++++=to
him ^pp3o+pp3+++=him
at ^in++++=at
this ^dt+dem+++=this
time ^nn++++=time
that ^tht+rel+subj++=that
be ^vb+be+aux++=be
first ^rb++splt++=first
makes ^vbz++++=makes
mention ^nn+nom+++=mention
of ^in++++=of
" ^zz++++="the
the ^ati++++=EXTRAWORD
sea ^nn++++=sea
fogs ^nns++++=fogs,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
beset ^vbd+++xvbn+=beset
a ^at++++=a
large ^jj+atrb+++=large
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
California ^np++++=California
coast ^nn++++=coast.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
speaks ^vbz++++=speaks
of ^in++++=of
them ^pp3o+pp3+++=them
as ^in++++=as
poisonous ^jj++++=poisonous;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
poisonous ^jj++++=poisonous
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
to ^to++++=to
any ^dti++++=any
one ^cd1++++=one
who ^whp+rel+subj++=who
is ^vbz+bez+aux++=is
afflicted ^vpsv++agls+xvbnx+=afflicted
with ^in++++=with
pulmonary ^nn+nom+++=pulmonary
weakness ^nns+nom+++=weakness,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
bracing ^nvbg+++xvbg+=bracing
and ^cc++++=and
glorious ^jj++++=glorious
to ^in++++=to
others ^aps++++=others.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
give ^vb++++=give
the ^ati++++=the
charm ^nn++++=charm
of ^in++++=of
climate ^nn+nom+++=climate
to ^in++++=to
dwellers ^nns+nom+++=dwellers
around ^in++++=around
the ^ati++++=the
great ^jj+atrb+++=great
bay ^npl++++=bay.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
this ^dt+dem+++=this
first ^od++++=first
very ^ql+amp+++=very
serious ^jj+atrb+++=serious
attack ^nn++++=attack
of ^in++++=of
the ^ati++++=the
terrible ^jj+atrb+++=terrible
malady ^nn++++=malady
is ^vbz+bez+aux++=is
indicated ^vpsv++agls+xvbnx+=indicated
in ^in++++=in
the ^ati++++=the
letter ^nn++++=letter
to ^in++++=to
Edmund ^np++++=Edmund
Gosse ^np+++??+=Gosse,
, ^zz++++=EXTRAWORD
dated ^vwbn+++xvbn+=dated
April ^nr++++=April
16 ^cd++++=16,
, ^zz++++=EXTRAWORD
1880 ^cd+date+++=1880.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
attitude ^nn++++=attitude
toward ^in++++=toward
death ^nn++++=death
is ^vbz+bez+aux++=is
shown ^vpsv++agls+xvbnx+=shown
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
is ^vbz+bez+aux++=is
further ^jjb+pred+++=further
shown ^vbd+vprv++xvbn+=shown
in ^in++++=in
his ^pp$+pp3+++=his
little ^jj+atrb+++=little
paper ^nn++++=paper
Aes ^np+++??+=AEs
Triplex ^np+++??+=Triplex,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
successfully ^rb++++=successfully
vindicates ^nns+nom+++=vindicates
his ^pp$+pp3+++=his
generation ^nn+nom+++=generation
from ^in++++=from
the ^ati++++=the
charge ^nn++++=charge
of ^in++++=of
cowardice ^nn++++=cowardice
in ^in+cmpx+++=in
the ^in"++++=the
face ^in"++++=face
of ^in"++++=of
death ^nn++++=death.
. ^zz++++=EXTRAWORD
Stevenson ^np++++=Stevenson's
's ^$++++=EXTRAWORD
two ^cd++++=two
distinguishing ^jj+atrb++xvbg+=distinguishing
characteristics ^nns++++=characteristics
were ^vbd+bed+vrb++=were
his ^pp$+pp3+++=his
courage ^nn+nom+++=courage
and ^cc++++=and
his ^pp$+pp3+++=his
determination ^nn+nom+++=determination
to ^to+ncmp+++=to
be ^vbi++vrb++=be
happy ^jj+pred+++=happy
as ^in++++=as
the ^ati++++=the
right ^jj+atrb+++=right
way ^nn++++=way
of ^in++++=of
making ^xvbg+++xvbg+=making
other ^ap++++=other
people ^nns++++=people
happy ^jj++++=happy.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
courage ^nn+nom+++=courage,
, ^zz++++=EXTRAWORD
far ^rb+pl+++=far
more ^ql++++=more
than ^cs+sub+++=than
change ^nn++++=change
of ^in++++=of
scene ^nn++++=scene
and ^cc++++=and
climate ^nn+nom+++=climate,
, ^zz++++=EXTRAWORD
gave ^j+++xvbn+=gave
him ^pp3o+pp3+++=him
