New ^jj+atrb+++=NEW
Year ^np++++=Year's
's ^$++++=EXTRAWORD
Eve ^nn++++=Eve!
! ^zz++++=EXTRAWORD
A ^at++++=A
hot ^jj+atrb+++=hot
night ^nn++++=night
in ^in++++=in
midsummer ^nn+nom+++=midsummer
in ^in++++=in
the ^ati++++=the
drought ^nn++++=drought.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
dark ^jj++++=dark
with ^in++++=with
a ^at++++=a
smothering ^jj+atrb++xvbg+=smothering
darkness ^nns+nom+++=darkness
that ^tht+rel+++=that
even ^rb++++=even
the ^ati++++=the
low ^jj+atrb+++=low
loom ^nn++++=loom
of ^in++++=of
the ^ati++++=the
scrub ^nn++++=scrub-covered
- ^zz++++=EXTRAWORD
covered ^jj+atrb++xvbn+=EXTRAWORD
ridges ^nns++++=ridges,
, ^zz++++=EXTRAWORD
close ^jj++++=close
at ^rb++++=at
hand ^nn++++=hand
across ^in+pl+++=across
the ^ati++++=the
creek ^nn++++=creek,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
to ^to++++=to
be ^vbi+vbi+aux++=be
seen ^vpsv++agls+xvbnx+=seen.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sky ^nn++++=sky
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
clouded ^jj+++xvbn+=clouded
for ^in++++=for
rain ^nn++++=rain,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
with ^in++++=with
drought ^nn++++=drought
haze ^nn++++=haze
and ^cc++++=and
the ^ati++++=the
smoke ^nn++++=smoke
of ^in++++=of
distant ^jj+atrb+++=distant
bush ^nn++++=bush
fires ^nns++++=fires.
. ^zz++++=EXTRAWORD
Down ^rp++++=Down
the ^ati++++=the
hard ^jj+atrb+++=hard
road ^npl++++=road
to ^in++++=to
the ^ati++++=the
crossing ^jj+++xvbg+=crossing
at ^rb++++=at
Pipeclay ^np+++??+=Pipeclay
Creek ^npl++++=Creek
sounded ^vbd+++xvbn+=sounded
the ^ati++++=the
footsteps ^nns++++=footsteps
of ^in++++=of
a ^at++++=a
man ^nn++++=man.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
the ^ati++++=the
crunching ^jj+atrb++xvbg+=crunching
steps ^nns++++=steps
of ^in++++=of
an ^at++++=an
English ^jj+atrb+++=English
labourer ^nn+nom+++=labourer,
, ^zz++++=EXTRAWORD
clod ^nn+++??+=clod-hopping
- ^zz++++=EXTRAWORD
hopping ^jj+++xvbg+=EXTRAWORD
contentedly ^rb++++=contentedly
home ^nr++++=home;
; ^zz++++=EXTRAWORD
these ^dt+dem+++=these
sounded ^jj+++xvbn+=sounded
more ^rbr++++=more
like ^in++++=like
the ^ati++++=the
footsteps ^nns++++=footsteps
of ^in++++=of
one ^cd1++++=one
pacing ^nvbg+++xvbg+=pacing
steadily ^rb++++=steadily
to ^to++++=to
and ^cc++++=and
fro ^rb+cnj+++=fro,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thinking ^nvbg+++xvbg+=thinking
steadily ^rb++++=steadily
and ^cc+phrs+++=and
hopelessly ^rb++++=hopelessly
sorting ^vbg+++xvbg+=sorting
out ^rp+pl+++=out
the ^ati++++=the
past ^nn++++=past.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
the ^ati++++=the
steps ^nns++++=steps
went ^vbd+++xvbn+=went
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
A ^at++++=A
glimmer ^nn++++=glimmer
of ^in++++=of
white ^jj+atrb+++=white
moleskin ^nn+++??+=moleskin
trousers ^nns+nom+++=trousers
and ^cc++++=and
a ^at++++=a
suggestion ^nn+nom+++=suggestion
of ^in++++=of
light ^nn++++=light-coloured
- ^zz++++=EXTRAWORD
coloured ^jj+atrb++xvbn+=EXTRAWORD
tweed ^nn++++=tweed
jacket ^nn++++=jacket,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
and ^cc+phrs+++=and
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
in ^in++++=in
the ^ati++++=the
glimmer ^nn++++=glimmer
of ^in++++=of
a ^at++++=a
faint ^jj+atrb+++=faint
ghost ^nn++++=ghost
light ^nn++++=light
in ^in++++=in
the ^ati++++=the
darkness ^nns+nom+++=darkness.
. ^zz++++=EXTRAWORD
The ^ati++++=The
road ^nn++++=road
ran ^vbd+++xvbn+=ran
along ^in++++=along
by ^in++++=by
the ^ati++++=the
foot ^nn++++=foot
of ^in++++=of
a ^at++++=a
line ^nn++++=line
of ^in++++=of
low ^jj+atrb+++=low
ridges ^nns++++=ridges,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
spurs ^nps++++=spurs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
passed ^vbd+++xvbnx+=passed
the ^ati++++=the
gullies ^nns+++??+=gullies
or ^cc++++=or
gaps ^nns++++=gaps,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
felt ^vbd+vprv++xvbnx+=felt
a ^at++++=a
breath ^nn++++=breath
of ^in++++=of
hotter ^jjr+atrb+++=hotter
air ^nn++++=air,
, ^zz++++=EXTRAWORD
like ^in++++=like
blasts ^nns++++=blasts
from ^in++++=from
a ^at++++=a
furnace ^nn++++=furnace
in ^in++++=in
the ^ati++++=the
suffocating ^jj+atrb++xvbg+=suffocating
atmosphere ^nn++++=atmosphere.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
followed ^vbd+vprv++xvbnx+=followed
a ^at++++=a
two ^cd++++=two-railed
- ^zz++++=EXTRAWORD
railed ^jj+atrb+++=EXTRAWORD
fence ^nn++++=fence
for ^in++++=for
a ^at++++=a
short ^jj+atrb+++=short
distance ^nn+nom+++=distance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
turned ^vpsv++agls+xvbn+=turned
in ^rb+phrv+++=in
at ^in++++=at
a ^at++++=a
white ^nn++++=white
batten ^vbd+++xvbn+=batten
gate ^nn++++=gate.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemed ^vbd+seem++xvbn+=seemed
lighter ^jjr++++=lighter
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
house ^nn++++=house,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather,
, ^zz++++=EXTRAWORD
a ^at++++=a
hut ^nn++++=hut
suggested ^vbd+vpub++xvbn+=suggested,
, ^zz++++=EXTRAWORD
with ^in++++=with
whitewashed ^vbd+++xvbn+=whitewashed
slab ^nn++++=slab
walls ^nns++++=walls
and ^cc++++=and
a ^at++++=a
bark ^nn++++=bark
roof ^nn++++=roof.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
