This ^dt+pdem+++=THIS
Is ^vbz+bez+vrb++=IS
How ^wrb+who+++=HOW
it ^pp3+it+++=it
all ^rb++++=all
came ^vbd+++xvbn+=came
about ^in+strn+++=about.
. ^zz++++=EXTRAWORD
Six ^cd++++=Six
or ^cc++++=or
seven ^cd++++=seven
of ^in++++=of
us ^pp1o+pp1+++=us
were ^vbd+bed+aux++=were
sitting ^vbg+++xvbgx+=sitting
one ^cd1++++=one
day ^nn++++=day
after ^in++++=after
tea ^nn++++=tea.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
were ^vbd+bed+aux++=were
gazing ^vbg+++xvbgx+=gazing
across ^in+pl+++=across
the ^ati++++=the
street ^nn++++=street
into ^in++++=into
the ^ati++++=the
windows ^nns++++=windows
of ^in++++=of
a ^at++++=a
milliner ^jjr+atrb+++=milliner's
's ^vbz+bez+vrb++0=EXTRAWORD
shop ^nn++++=shop
where ^wrb+who+++=where
the ^ati++++=the
light ^nn++++=light
still ^rb++++=still
shone ^vbd+++xvbn+=shone
brightly ^rb++++=brightly
upon ^in++++=upon
scarlet ^jj+atrb+++=scarlet
feathers ^nns+nom+++=feathers
and ^cc++++=and
golden ^jj+atrb+++=golden
slippers ^nns+nom+++=slippers.
. ^zz++++=EXTRAWORD
Others ^aps++++=Others
were ^vbd+bed+aux++=were
idly ^rb++splt++=idly
occupied ^vpsv++agls+xvbnx+=occupied
in ^in++++=in
building ^xvbg+++xvbg+=building
little ^ap++++=little
towers ^nns++++=towers
of ^in++++=of
sugar ^nn++++=sugar
upon ^in++++=upon
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
tea ^nn++++=tea
tray ^nn++++=tray.
. ^zz++++=EXTRAWORD
After ^in++++=After
a ^at++++=a
time ^nn++++=time,
, ^zz++++=EXTRAWORD
so ^ql++++=so
far ^rb+pl+++=far
as ^ql++++=as
I ^pp1a+pp1+++=I
can ^md+pos+++=can
remember ^nn+nom+++=remember,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
drew ^vbd+++xvbn+=drew
round ^rb++++=round
the ^ati++++=the
fire ^nn++++=fire
and ^cc++++=and
began ^vpsv++agls+xvbn+=began
as ^in++++=as
usual ^jj++++=usual
to ^to++++=to
praise ^vbi++++=praise
menhow ^nn+++??+=menhow
strong ^jj++++=strong,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
noble ^jj++++=noble,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
brilliant ^jj++++=brilliant,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
courageous ^jj++++=courageous,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
beautiful ^jj++++=beautiful
they ^pp3a+pp3+++=they
werehow ^vb+++??+=werehow
we ^pp1a+pp1+++=we
envied ^vbd+++xvbn+=envied
those ^dt+pdem+++=those
who ^whp+rel+obj++=who
by ^in++++=by
hook ^nn++++=hook
or ^cc++++=or
by ^in++++=by
crook ^nn++++=crook
managed ^vbd+++xvbn+=managed
to ^to+vcmp+++=to
get ^vbi++++=get
attached ^vwbn+++xvbn+=attached
to ^to++++=to
one ^pn++++=one
for ^in++++=for
lifewhen ^jj+atrb++xvbn+=lifewhen
Poll ^nn++++=Poll,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
said ^vprf+++xvbnx+=said
nothing ^pn++++=nothing,
, ^zz++++=EXTRAWORD
burst ^j+++xvbn+=burst
into ^in++++=into
tears ^nns++++=tears.
. ^zz++++=EXTRAWORD
Poll ^nn++++=Poll,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
tell ^vb++++=tell
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
always ^rb++splt++=always
been ^vprf+ben+vrb+xvbnx+=been
queer ^jj++++=queer.
. ^zz++++=EXTRAWORD
For ^in++++=For
one ^cd1++++=one
thing ^nn++++=thing
her ^pp3o+pp3+++=her
father ^npt++++=father
was ^vbd+bedz+vrb++=was
a ^at++++=a
strange ^jj+atrb+++=strange
man ^nn++++=man.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
left ^vbd+++xvbnx+=left
her ^pp3o+pp3+++=her
a ^at++++=a
fortune ^nn++++=fortune
in ^in++++=in
his ^pp$+pp3+++=his
will ^md+prd+++=will,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
on ^in++++=on
condition ^nn+nom+++=condition
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
read ^vbd+vprv++xvbnx+=read
all ^abn++++=all
the ^ati++++=the
books ^nns++++=books
in ^in++++=in
the ^ati++++=the
London ^np++++=London
Library ^nn+nom+++=Library.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
comforted ^vbd+++xvbn+=comforted
her ^pp$+pp3+++=her
as ^in++++=as
best ^jjt++++=best
we ^pp1a+pp1+++=we
could ^md+pos+++=could;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we
knew ^vbd+vprv++xvbn+=knew
in ^in++++=in
our ^pp$+pp1+++=our
hearts ^nns++++=hearts
how ^wrb+who+++=how
vain ^rb++++=vain
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
For ^in++++=For
though ^cs+sub+++=though
we ^pp1a+pp1+++=we
like ^in++++=like
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
Poll ^nn++++=Poll
is ^vbz+bez+vrb++=is
no ^at++++=no
beauty ^nn++++=beauty;
; ^zz++++=EXTRAWORD
leaves ^nns++++=leaves
her ^pp3o+pp3+++=her
shoe ^nn++++=shoe
laces ^nns++++=laces
untied ^vbd+++xvbn+=untied;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
thinking ^vbg+++xvbgx+=thinking,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
we ^pp1a+pp1+++=we
praised ^vbd+++xvbn+=praised
men ^nns++++=men,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
not ^xnot++not++=not
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
would ^md+prd+++=would
ever ^rb++splt++=ever
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
marry ^vbi++++=marry
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
she ^pp3a+pp3+++=she
dried ^vbd+++xvbnx+=dried
her ^pp3o+pp3+++=her
tears ^nns++++=tears.
. ^zz++++=EXTRAWORD
For ^in++++=For
some ^dti++++=some
time ^nn++++=time
we ^pp1a+pp1+++=we
could ^md+pos+++=could
make ^vb++++=make
nothing ^pn++++=nothing
of ^in++++=of
what ^wdt+who+++=what
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Strange ^jj++++=Strange
enough ^dt++++=enough
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
in ^in++++=in
all ^abn++++=all
conscience ^nn+nom+++=conscience.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
told ^vbd+vpub++xvbnx+=told
us ^pp1o+pp1+++=us
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
knew ^vbd+vprv++xvbn+=knew,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
spent ^vbd+++xvbnx+=spent
most ^ql+emph+++=most
of ^in++++=of
her ^pp$+pp3+++=her
time ^nn++++=time
in ^in++++=in
the ^ati++++=the
London ^np++++=London
Library ^nn+nom+++=Library,
, ^zz++++=EXTRAWORD
reading ^vbg+++xvbg+=reading.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
with ^in++++=with
English ^jj+atrb+++=English
literature ^nn++++=literature
on ^in++++=on
the ^ati++++=the
top ^jjb+atrb+++=top
floor ^nn++++=floor;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
steadily ^rb++splt++=steadily
working ^vbg+++xvbgx+=working
her ^pp3o+pp3+++=her
way ^nn++++=way
down ^in++++=down
to ^in++++=to
the ^ati++++=the
Times ^nns++++=Times
on ^in++++=on
the ^ati++++=the
bottom ^nn++++=bottom.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
now ^rn+tm+++=now
half ^nn++++=half,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
perhaps ^rb++++=perhaps
only ^rb+down+++=only
a ^at++++=a
quarter ^nn++++=quarter,
, ^zz++++=EXTRAWORD
way ^nn++++=way
through ^in++++=through
a ^at++++=a
terrible ^jj+atrb+++=terrible
thing ^nn++++=thing
had ^vbd+hvd+aux++=had
happened ^vprf+++xvbnx+=happened.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
could ^md+pos+++=could
read ^vb+vprv++xvbn+=read
no ^at++++=no
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
Books ^nns++++=Books
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
what ^wdt+who+++=what
we ^pp1a+pp1+++=we
thought ^vbd+++xvbn+=thought
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
" ^zz++++="Books,"
books ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
cried ^vbd+++xvbnx+=cried,
, ^zz++++=EXTRAWORD
rising ^nvbg+++xvbg+=rising
to ^in++++=to
her ^pp$+pp3+++=her
feet ^nns++++=feet
and ^cc++++=and
speaking ^nvbg+++xvbg+=speaking
with ^in++++=with
an ^at++++=an
intensity ^nn+nom+++=intensity
of ^in++++=of
desolation ^nn+nom+++=desolation
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
never ^rb++splt++=never
forget ^vb+vprv+++=forget,
, ^zz++++=EXTRAWORD
" ^zz++++="are
are ^vb+ber+vrb++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
most ^ap+emph+++=most
part ^nn++++=part
unutterably ^rb++++=unutterably
bad ^jj++++=bad!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course
we ^pp1a+pp1+++=we
cried ^vbd+++xvbn+=cried
out ^rp+pl+++=out
that ^cs+sub+++=that
Shakespeare ^np++++=Shakespeare
wrote ^vbd+vprv++xvbn+=wrote
books ^nns++++=books,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Milton ^np++++=Milton
and ^cc++++=and
Shelley ^np++++=Shelley.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
yes ^uh++++=yes,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
interrupted ^vbd+++xvbnx+=interrupted
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
" ^zz++++="You've
you ^pp2+pp2+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
well ^jj+pred+++=well
taught ^vpsv++agls+xvbn+=taught,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
see ^vb+vprv+++=see.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
not ^xnot++not++=not
members ^nns+nom+++=members
of ^in++++=of
the ^ati++++=the
London ^np++++=London
Library ^nn+nom+++=Library."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
her ^pp$+pp3+++=her
sobs ^nns++++=sobs
broke ^vbd+++xvbn+=broke
forth ^np++++=forth
anew ^nn+++??+=anew.
. ^zz++++=EXTRAWORD
At ^rb++++=At
length ^rb"++++=length,
, ^zz++++=EXTRAWORD
recovering ^vbg+++xvbg+=recovering
a ^rb++++=a
little ^rb"++++=little,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
opened ^vbd+++xvbnx+=opened
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
pile ^nn++++=pile
of ^in++++=of
books ^nns++++=books
which ^whp+rel+obj++=which
she ^pp3a+pp3+++=she
always ^rb++++=always
carried ^vbd+++xvbn+=carried
about ^in++++=about
with ^in++++=with
her"from ^nn+++??+=her"From
a ^at++++=a
Window ^nn++++=Window"
" ^zz++++=EXTRAWORD
or ^cc++++=or
" ^zz++++="In
in ^in++++=EXTRAWORD
a ^at++++=a
Garden ^nn++++=Garden,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
or ^cc++++=or
some ^dti++++=some
such ^abl++++=such
name ^nn++++=name
as ^ql++++=as
that ^cs+sub+++=that
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
called ^vpsv++agls+xvbnx+=called,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
written ^vpsv++by+xvbnx+=written
by ^in++++=by
a ^at++++=a
man ^nn++++=man
called ^vbd+++xvbn+=called
