Two ^cd++++=Two
little ^jj+atrb+++=little
boys ^nns++++=boys
sat ^vbd+++xvbn+=sat
on ^in++++=on
the ^ati++++=the
fence ^nn++++=fence
whittling ^vwbg+++xvbg+=whittling
arrows ^nns++++=arrows
one ^cd1++++=one
fine ^jj+atrb+++=fine
day ^nn++++=day.
. ^zz++++=EXTRAWORD
Said ^jj+atrb++xvbn+=Said
one ^cd1++++=one
little ^jj+atrb+++=little
boy ^nn++++=boy
to ^in++++=to
the ^ati++++=the
other ^ap++++=other
little ^jj+atrb+++=little
boy,-"let ^nn+nom+++=boy,-"Let's
's ^$++++=EXTRAWORD
do ^vb+do+vrb++=do
something ^pn++++=something
jolly ^jj++++=jolly."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
right ^jj++++=right.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
will ^md+prd+++=will
we ^pp1a+pp1+++=we
do ^vb+do+vrb++=do?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Run
run ^vb+++xvbn+=EXTRAWORD
off ^rb+phrv+++=off
to ^in++++=to
the ^ati++++=the
woods ^nns++++=woods
and ^cc++++=and
be ^vb+be+vrb++=be
hunters ^nns+nom+++=hunters."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
can ^md+pos+++=can
we ^pp1a+pp1+++=we
hunt ^np++++=hunt?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Bears
bears ^nns++++=EXTRAWORD
and ^cc++++=and
foxes ^nns++++=foxes."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Mullin
mullin ^nn+++??+=EXTRAWORD
says ^vbz+vpub+++=says
there ^ex+pex+++=there
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
any ^dti++++=any
round ^nn++++=round
here ^rn+pl+++=here."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
can ^md+pos+++=can
shoot ^vb++++=shoot
squirrels ^nns++++=squirrels
and ^cc++++=and
snare ^nn++++=snare
wood ^nn++++=wood-chucks."
- ^zz++++=EXTRAWORD
chucks ^nns+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Haven't
have ^vb+hv+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
got ^vprf+++xvbn+=got
any ^dti++++=any
guns ^nns++++=guns
and ^cc++++=and
trap ^nn++++=trap."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We've
we ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
our ^pp$+pp1+++=our
bows ^nns++++=bows,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
an ^at++++=an
old ^jj+atrb+++=old
trap ^nn++++=trap
behind ^in+pl+++=behind
the ^ati++++=the
barn ^nn++++=barn."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
