We ^pp1a+pp1+++=We
got ^vbd+++xvbn+=got
up ^rp++++=up
at ^in++++=at
four ^cd++++=four
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
that ^cs+sub+++=that
first ^od++++=first
day ^nn++++=day
in ^in++++=in
the ^ati++++=the
east ^np+pl+++=east.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
evening ^nn++++=evening
before ^cs+sub+++=before
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
climbed ^vprf+++xvbnx+=climbed
off ^in+pl+++=off
a ^at++++=a
freight ^nn++++=freight
train ^nn++++=train
at ^rb++++=at
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
town ^nn++++=town,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
the ^ati++++=the
true ^jj+atrb+++=true
instinct ^nn++++=instinct
of ^in++++=of
Kentucky ^np+++??+=Kentucky
boys ^nns++++=boys
had ^vbd+hvd+aux++=had
found ^vprf+++xvbnx+=found
our ^pp$+pp1+++=our
way ^nn++++=way
across ^in+pl+++=across
town ^nn++++=town
and ^cc++++=and
to ^in++++=to
the ^ati++++=the
race ^nn++++=race
track ^nn++++=track
and ^cc++++=and
the ^ati++++=the
stables ^nns++++=stables
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
we ^pp1a+pp1+++=we
knew ^vbd+vprv+tht0+xvbn+=knew
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
all ^abn++++=all
right ^jj++++=right.
. ^zz++++=EXTRAWORD
Hanley ^np+++??+=Hanley
Turner ^np++++=Turner
right ^nn++++=right
away ^rp+pl+++=away
found ^vbd+vprv++xvbn+=found
a ^at++++=a
nigger ^nn++++=nigger
we ^pp1a+pp1+++=we
knew ^vbd+vprv++xvbn+=knew.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
Bildad ^np+++??+=Bildad
Johnson ^np++++=Johnson
who ^whp+rel+obj++=who
in ^in++++=in
the ^ati++++=the
winter ^nn++++=winter
works ^nns++++=works
at ^rb++++=at
Ed ^np++++=Ed
Becker ^np++++=Becker's
's ^$++++=EXTRAWORD
livery ^nn++++=livery
barn ^nn++++=barn
in ^in++++=in
our ^pp$+pp1+++=our
home ^nr++++=home
town ^nn++++=town,
, ^zz++++=EXTRAWORD
Beckersville ^np+++??+=Beckersville.
. ^zz++++=EXTRAWORD
Bildad ^np+++??+=Bildad
is ^vbz+bez+vrb++=is
a ^at++++=a
good ^jj+atrb+++=good
cook ^nn++++=cook
as ^ql++++=as
almost ^rb+hdg+++=almost
all ^rb++++=all
our ^pp$+pp1+++=our
niggers ^nns+nom+++=niggers
are ^vb+ber+vrb++=are
and ^cc++++=and
of ^in+emph+++=of
course ^nn+emph"+++=course
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
like ^in++++=like
everyone ^pn++++=everyone
in ^in++++=in
our ^pp$+pp1+++=our
part ^nn++++=part
of ^in++++=of
Kentucky ^np+++??+=Kentucky
who ^whp+rel+subj++=who
is ^vbz+bez+vrb++=is
anyone ^pn++++=anyone
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
likes ^nns++++=likes
the ^ati++++=the
horses ^nns++++=horses.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
spring ^nn++++=spring
Bildad ^np+++??+=Bildad
begins ^vbz++++=begins
to ^to++++=to
scratch ^vbi++++=scratch
around ^in+strn+++=around.
. ^zz++++=EXTRAWORD
A ^at++++=A
nigger ^nn++++=nigger
from ^in++++=from
our ^pp$+pp1+++=our
country ^nn++++=country
can ^md+pos+++=can
flatter ^vb++++=flatter
and ^cc+phrs+++=and
wheedle ^vb++++=wheedle
anyone ^pn++++=anyone
into ^in++++=into
letting ^xvbg+++xvbg+=letting
him ^pp3o+pp3+++=him
do ^vb+do+vrb++=do
most ^ap+emph+++=most
anything ^pn++++=anything
he ^pp3a+pp3+++=he
wants ^vbz++++=wants.
. ^zz++++=EXTRAWORD
Bildad ^np+++??+=Bildad
wheedles ^nns+++??+=wheedles
