Everything ^pn++++=Everything
was ^vbd+bedz+vrb++=was
perfectly ^rb+amp+++=perfectly
swell ^nn++++=swell.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
no ^at++++=no
prisons ^nns++++=prisons,
, ^zz++++=EXTRAWORD
no ^at++++=no
slums ^nns++++=slums,
, ^zz++++=EXTRAWORD
no ^at++++=no
insane ^jj+atrb+++=insane
asylums ^nns+++??+=asylums,
, ^zz++++=EXTRAWORD
no ^at++++=no
cripples ^nns++++=cripples,
, ^zz++++=EXTRAWORD
no ^at++++=no
poverty ^nn++++=poverty,
, ^zz++++=EXTRAWORD
no ^at++++=no
wars ^nns++++=wars.
. ^zz++++=EXTRAWORD
All ^abn++++=All
diseases ^nns++++=diseases
were ^vbd+bed+aux++=were
conquered ^vpsv++agls+xvbnx+=conquered.
. ^zz++++=EXTRAWORD
So ^ql++++=So
was ^vbd+bedz+vrb++=was
old ^jj+atrb+++=old
age ^nn++++=age.
. ^zz++++=EXTRAWORD
Death ^nn++++=Death,
, ^zz++++=EXTRAWORD
barring ^vbg+++xvbg+=barring
accidents ^nns++++=accidents,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
an ^at++++=an
adventure ^nn++++=adventure
for ^in++++=for
volunteers ^nns+nom+++=volunteers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
population ^nn+nom+++=population
of ^in++++=of
the ^ati++++=the
United ^np++++=United
States ^nns++++=States
was ^vbd+bedz+aux++=was
stabilized ^vpsv++agls+xvbnx+=stabilized
at ^rb++++=at
forty ^cd++++=forty-million
- ^zz++++=EXTRAWORD
million ^cd++++=EXTRAWORD
souls ^nns++++=souls.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
bright ^jj+atrb+++=bright
morning ^nn++++=morning
in ^in++++=in
the ^ati++++=the
Chicago ^np++++=Chicago
Lying ^vwbg+++xvbg+=Lying-in
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
Hospital ^nn+nom+++=Hospital,
, ^zz++++=EXTRAWORD
a ^at++++=a
man ^nn++++=man
named ^vbd+++xvbn+=named
Edward ^np++++=Edward
K ^zz++++=K.
. ^zz++++=EXTRAWORD
Wehling ^np+nom++??+=Wehling,
, ^zz++++=EXTRAWORD
Jr ^np+++??+=Jr.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
waited ^j+++xvbn+=waited
for ^in++++=for
his ^pp$+pp3+++=his
wife ^nn++++=wife
to ^to++++=to
give ^vbi++++=give
birth ^nn++++=birth.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
the ^ati++++=the
only ^ap+down+++=only
man ^nn++++=man
waiting ^vwbg+++xvbg+=waiting.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
many ^ap++++=many
people ^nns++++=people
were ^vbd+bed+aux++=were
born ^vpsv++agls+xvbnx+=born
a ^at++++=a
day ^nn++++=day
any ^dti++++=any
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
Wehling ^np+nom++??+=Wehling
was ^vbd+bedz+vrb++=was
fifty ^cd++++=fifty-six,
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
mere ^jjb+atrb+++=mere
stripling ^nn+nom+++=stripling
in ^in++++=in
a ^at++++=a
population ^nn+nom+++=population
whose ^whp+rel+obj++=whose
average ^jj+atrb+++=average
age ^nn++++=age
was ^vbd+bedz+vrb++=was
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
twenty ^cd++++=twenty-nine.
- ^zz++++=EXTRAWORD
nine ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
X ^zz++++=X-rays
- ^zz++++=EXTRAWORD
rays ^nns++++=EXTRAWORD
had ^vbd+hvd+aux++=had
revealed ^vprf+++xvbnx+=revealed
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
wife ^nn++++=wife
was ^vbd+bedz+aux++=was
going ^md"++pmd"++=going
to ^md+prd+++=to
have ^vbi++vrb++=have
triplets ^nns+nom+++=triplets.
. ^zz++++=EXTRAWORD
The ^ati++++=The
children ^nns++++=children
would ^md+prd+++=would
be ^vb+be+vrb++=be
his ^pp$+pp3+++=his
first ^rb++++=first.
. ^zz++++=EXTRAWORD
Young ^jj+atrb+++=Young
Wehling ^np+nom++??+=Wehling
was ^vbd+bedz+aux++=was
hunched ^vpsv++agls+xvbnx+=hunched
in ^in++++=in
his ^pp$+pp3+++=his
chair ^nn++++=chair,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
head ^nn++++=head
in ^in++++=in
his ^pp$+pp3+++=his
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
rumpled ^jj+++xvbn+=rumpled,
, ^zz++++=EXTRAWORD
so ^ql++++=so
still ^rb++++=still
and ^cc++++=and
colorless ^jj++++=colorless
as ^in++++=as
to ^to++++=to
be ^vbi++vrb++=be
virtually ^rb+down+++=virtually
invisible ^jj+pred+++=invisible.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
