As ^ql++++=As
my ^pp$+pp1+++=my
hooded ^jj+atrb+++=hooded
sleigh ^nn+++??+=sleigh
jolted ^vbd+++xvbn+=jolted
across ^in+pl+++=across
the ^ati++++=the
confines ^nns++++=confines
of ^in++++=of
the ^ati++++=the
wood ^nn++++=wood,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
came ^vbd+++xvbn+=came
out ^rp+pl+++=out
on ^in+cmpx+++=on
to ^in"++++=to
the ^ati++++=the
open ^jj+atrb+++=open
road ^npl++++=road,
, ^zz++++=EXTRAWORD
a ^at++++=a
broad ^jj++++=broad,
, ^zz++++=EXTRAWORD
dull ^jj++++=dull-hued
- ^zz++++=EXTRAWORD
hued ^jj+atrb++xvbn+=EXTRAWORD
horizon ^nn++++=horizon
lay ^vbd+++xvbn+=lay
stretched ^vbd+++xvbn+=stretched
out ^rp+pl+++=out
before ^in++++=before
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
Isaiah ^np++++=Isaiah
stood ^vbd+++xvbn+=stood
up ^rp++++=up
on ^in++++=on
the ^ati++++=the
coach ^nn++++=coach-box,
- ^zz++++=EXTRAWORD
box ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
stretching ^vbg+++xvbg+=stretching
forward ^rb++++=forward
his ^pp$+pp3+++=his
neck ^nn++++=neck,
, ^zz++++=EXTRAWORD
exclaimed ^j+++xvbn+=exclaimed
" ^zz++++="Devil
devil ^nn++++=EXTRAWORD
take ^vb++++=take
it ^pp3+it+++=it
all ^rb++++=all!
! ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
have ^vbi++++=have
started ^vbd+++xvbn+=started
already ^rb++++=already!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
that ^cs+sub+++=that
so ^ql++++=so?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes;
yes ^uh++++=EXTRAWORD
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
looks ^vbz++++=looks
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
were ^vbd+bed+aux++=were
moving ^vbg+++xvbgx+=moving."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Drive
drive ^nn++++=EXTRAWORD
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
as ^ql++++=as
fast ^rb++++=fast
as ^ql++++=as
you ^pp2+pp2+++=you
can ^md+pos+++=can,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
scoundrel ^nn++++=scoundrel!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
sturdy ^jj+atrb+++=sturdy
little ^jj+atrb+++=little
pony ^nn++++=pony,
, ^zz++++=EXTRAWORD
with ^in++++=with
ears ^nns++++=ears
like ^in++++=like
a ^at++++=a
donkey ^nn++++=donkey
and ^cc++++=and
coat ^nn++++=coat
like ^in++++=like
a ^at++++=a
poodle ^nn+++??+=poodle
dog ^nn++++=dog,
, ^zz++++=EXTRAWORD
jumped ^j+++xvbn+=jumped
forward ^rb++++=forward
at ^rb++++=at
the ^ati++++=the
crack ^nn++++=crack
of ^in++++=of
the ^ati++++=the
whip ^nn++++=whip;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
stopped ^vbd+++xvbn+=stopped
short ^jj++++=short
suddenly ^rb+cnj+++=suddenly,
, ^zz++++=EXTRAWORD
stamping ^vbg+++xvbg+=stamping
its ^pp$+it+++=its
feet ^nns++++=feet
and ^cc++++=and
shaking ^nvbg+++xvbg+=shaking
its ^pp$+it+++=its
head ^nn++++=head
with ^in++++=with
a ^at++++=a
sort ^nn++++=sort
of ^in++++=of
injured ^nn++++=injured
look ^vb++++=look.
. ^zz++++=EXTRAWORD
" ^zz++++="Come!
come ^vprf+++xvbn+=EXTRAWORD
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
teach ^vb+vsua+tht0++=teach
you ^pp2+pp2+++=you
to ^to++++=to
play ^vbi++++=play
tricks ^nns++++=tricks!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
shouted ^vbd+vpub++xvbn+=shouted
Isaiah ^np++++=Isaiah,
, ^zz++++=EXTRAWORD
pulling ^vbg+nom++xvbg+=pulling
at ^rb++++=at
the ^ati++++=the
reins ^nns++++=reins.
. ^zz++++=EXTRAWORD
The ^ati++++=The
clerk ^nn++++=clerk,
, ^zz++++=EXTRAWORD
Isaiah ^np++++=Isaiah
Miakunikoff ^np+++??+=Miakunikoff,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
frightfully ^rb++++=frightfully
ugly ^jj+atrb+++=ugly
man ^nn++++=man
of ^in++++=of
about ^in++++=about
forty ^cd++++=forty
years ^nns++++=years
of ^in++++=of
age ^nn++++=age.
. ^zz++++=EXTRAWORD
On ^in++++=On
his ^pp$+pp3+++=his
left ^jj+atrb++xvbn+=left
cheek ^nn++++=cheek
and ^cc++++=and
under ^in++++=under
his ^pp$+pp3+++=his
jaw ^nn++++=jaw
grew ^vbd+++xvbn+=grew
a ^at++++=a
sandy ^jj+atrb+++=sandy
beard ^nn++++=beard;
; ^zz++++=EXTRAWORD
while ^cs+sub+++=while
on ^in++++=on
his ^pp$+pp3+++=his
right ^jj+atrb+++=right
