Hanrahan ^np+nom++??+=Hanrahan,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
never ^rb++++=never
long ^jj+pred+++=long
in ^in++++=in
one ^cd1++++=one
place ^nn++++=place,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
back ^jjb+pred+++=back
again ^rb+tm+++=again
among ^in++++=among
the ^ati++++=the
villages ^nns+nom+++=villages
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
at ^rb++++=at
the ^ati++++=the
foot ^nn++++=foot
of ^in++++=of
Slieve ^np+++??+=Slieve
Echtge ^np+++??+=Echtge,
, ^zz++++=EXTRAWORD
Illeton ^np+++??+=Illeton
and ^cc++++=and
Scalp ^nn++++=Scalp
and ^cc++++=and
Ballylee ^np+nom++??+=Ballylee,
, ^zz++++=EXTRAWORD
stopping ^vbg+++xvbg+=stopping
sometimes ^rb++++=sometimes
in ^in++++=in
one ^cd1++++=one
house ^nn++++=house
and ^cc++++=and
sometimes ^rb++++=sometimes
in ^in++++=in
another ^dt++++=another,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
finding ^nvbg+++xvbg+=finding
a ^at++++=a
welcome ^nn++++=welcome
in ^in++++=in
every ^at++++=every
place ^nn++++=place
for ^in+cmpx+++=for
the ^in"++++=the
sake ^in"++++=sake
of ^in"++++=of
the ^ati++++=the
old ^jj+atrb+++=old
times ^nns++++=times
and ^cc++++=and
of ^in++++=of
his ^pp$+pp3+++=his
poetry ^nn++++=poetry
and ^cc++++=and
his ^pp$+pp3+++=his
learning ^nvbg+++xvbg+=learning.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
some ^dti++++=some
silver ^nn++++=silver
and ^cc++++=and
some ^dti++++=some
copper ^nn++++=copper
money ^nn++++=money
in ^in++++=in
the ^ati++++=the
little ^ap++++=little
leather ^nn++++=leather
bag ^nn++++=bag
under ^in++++=under
his ^pp$+pp3+++=his
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
seldom ^rb++++=seldom
he ^pp3a+pp3+++=he
needed ^vbd+++xvbnx+=needed
to ^to+vcmp+++=to
take ^vbi++++=take
anything ^pn++++=anything
from ^in++++=from
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
for ^in++++=for
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
little ^ap++++=little
he ^pp3a+pp3+++=he
used ^vbd+++xvbnx+=used,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
people ^nns++++=people
that ^tht+rel+subj++=that
would ^md+prd+++=would
have ^vb+hv+aux++=have
taken ^vprf+++xvbnx+=taken
payment ^nn+nom+++=payment
from ^in++++=from
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
hand ^nn++++=hand
had ^vbd+hvd+aux++=had
grown ^vprf+++xvbnx+=grown
heavy ^jj++++=heavy
on ^in++++=on
the ^ati++++=the
blackthorn ^jj+++xvbn+=blackthorn
he ^pp3a+pp3+++=he
leaned ^vbd+++xvbnx+=leaned
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
cheeks ^nns++++=cheeks
were ^vbd+bed+vrb++=were
hollow ^jj+pred+++=hollow
and ^cc+phrs+++=and
worn ^jj+++xvbn+=worn,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
so ^rb++++=so
far ^rb+pl+++=far
as ^in++++=as
food ^nn++++=food
went ^vbd+++xvbn+=went,
, ^zz++++=EXTRAWORD
potatoes ^nns++++=potatoes
and ^cc++++=and
milk ^nn++++=milk
and ^cc++++=and
a ^at++++=a
bit ^nn++++=bit
of ^in++++=of
oaten ^jj+atrb++xvbn+=oaten
cake ^nn++++=cake,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
wanted ^vbd+++xvbnx+=wanted
of ^in++++=of
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
on ^in++++=on
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
so ^rb+emph+++=so
wild ^jj++++=wild
and ^cc++++=and
boggy ^nn+++??+=boggy
a ^at++++=a
place ^nn++++=place
as ^ql++++=as
Echtge ^np+++??+=Echtge
a ^at++++=a
mug ^nn++++=mug
of ^in++++=of
spirits ^nns++++=spirits
would ^md+prd+++=would
be ^vb+be+aux++=be
wanting ^vbg+++xvbgx+=wanting,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
taste ^nn++++=taste
of ^in++++=of
the ^ati++++=the
turf ^nn++++=turf
smoke ^nn++++=smoke
on ^in++++=on
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
wander ^vb++++=wander
about ^in++++=about
the ^ati++++=the
big ^jj+atrb+++=big
wood ^nn++++=wood
at ^rb++++=at
Kinadife ^np+++??+=Kinadife,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
he ^pp3a+pp3+++=he
would ^md+prd+++=would
sit ^vb++++=sit
through ^in++++=through
many ^ap++++=many
hours ^nns++++=hours
of ^in++++=of
the ^ati++++=the
day ^nn++++=day
among ^in++++=among
the ^ati++++=the
rushes ^vbz++++=rushes
about ^rp++++=about
Lake ^npl++++=Lake
Belshragh ^np+++??+=Belshragh,
, ^zz++++=EXTRAWORD
listening ^jj+++xvbg+=listening
to ^in++++=to
the ^ati++++=the
streams ^nns++++=streams
from ^in++++=from
the ^ati++++=the
hills ^nns++++=hills,
, ^zz++++=EXTRAWORD
