It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
night ^nn++++=night
of ^in++++=of
full ^jj+atrb+++=full
moon ^np++++=moon
early ^jj++++=early
in ^in++++=in
the ^ati++++=the
month ^nn++++=month
of ^in++++=of
Phalgun ^np+++??+=Phalgun.
. ^zz++++=EXTRAWORD
The ^ati++++=The
youthful ^jj+atrb+++=youthful
spring ^nn++++=spring
was ^vbd+bedz+aux++=was
everywhere ^rb++splt++=everywhere
sending ^vbg+++xvbgx+=sending
forth ^np++++=forth
its ^pp$+it+++=its
breeze ^nn++++=breeze
laden ^vbd+++xvbn+=laden
with ^in++++=with
the ^ati++++=the
fragrance ^nn+nom+++=fragrance
of ^in++++=of
mango ^nn+++??+=mango-blossoms.
- ^zz++++=EXTRAWORD
blossoms ^nns+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
melodious ^jj+atrb+++=melodious
notes ^nns++++=notes
of ^in++++=of
an ^at++++=an
untiring ^jj+atrb+++=untiring
papiya ^nn+++??+=papiya
( ^zz++++=(One
one ^pn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
sweetest ^jjt+atrb+++=sweetest
songsters ^nns+nom+++=songsters
in ^in++++=in
Bengal ^np++++=Bengal.
. ^zz++++=EXTRAWORD
Anglo ^np+++??+=Anglo-Indian
- ^zz++++=EXTRAWORD
indian ^jj+atrb+++=EXTRAWORD
writers ^nns+nom+++=writers
have ^vb+hv+aux++=have
nicknamed ^vprf+++xvbnx+=nicknamed
it ^pp3+it+++=it
the ^ati++++=the
" ^zz++++="brain-fever
brain ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
fever ^nn++++=EXTRAWORD
bird ^nn++++=bird,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
which ^wdt+who+whq++=which
is ^vbz+bez+aux++=is
a ^at++++=a
sheer ^jjb+atrb+++=sheer
libel. ^nn+++??+=libel.),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
concealed ^j+++xvbn+=concealed
within ^in++++=within
the ^ati++++=the
thick ^jj+atrb+++=thick
foliage ^nn+nom+++=foliage
of ^in++++=of
an ^at++++=an
old ^jj+atrb+++=old
lichi ^nn+++??+=lichi
tree ^nn++++=tree
by ^in++++=by
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
a ^at++++=a
tank ^nn++++=tank,
, ^zz++++=EXTRAWORD
penetrated ^j+++xvbn+=penetrated
a ^at++++=a
sleepless ^jj+atrb+++=sleepless
bedroom ^nn++++=bedroom
of ^in++++=of
the ^ati++++=the
Mukerji ^np+++??+=Mukerji
family ^nn++++=family.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
Hemanta ^np+++??+=Hemanta
now ^rn+tm+++=now
restlessly ^rb++++=restlessly
twisted ^vbd+++xvbn+=twisted
a ^at++++=a
lock ^nn++++=lock
of ^in++++=of
his ^pp$+pp3+++=his
wife ^nn++++=wife's
's ^$++++=EXTRAWORD
hair ^nn++++=hair
round ^in++++=round
his ^pp$+pp3+++=his
finger ^nn++++=finger,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
beat ^nn+++xvbn+=beat
her ^pp3o+pp3+++=her
churl ^nn+++??+=churl
against ^in++++=against
her ^pp$+pp3+++=her
wristlet ^nn+nom+++=wristlet
until ^cs+sub+++=until
it ^pp3+it+++=it
tinkled ^vbd+++xvbn+=tinkled,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
pulled ^vbd+++xvbn+=pulled
at ^rb++++=at
the ^ati++++=the
chaplet ^nn+nom+++=chaplet
of ^in++++=of
flowers ^nns+nom+++=flowers
about ^rb++++=about
her ^pp3o+pp3+++=her
head ^jjb++++=head,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
left ^nn+++xvbn+=left
it ^pp3+it+++=it
hanging ^vbg+++xvbg+=hanging
over ^in++++=over
hex ^nn+++??+=hex
face ^nn++++=face.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
mood ^nn++++=mood
was ^vbd+bedz+vrb++=was
that ^dt+dem+++=that
of ^in++++=of
as ^in++++=as
evening ^nn++++=evening
breeze ^nn++++=breeze
which ^whp+rel+subj++=which
played ^vbd+++xvbn+=played
about ^in++++=about
a ^at++++=a
favourite ^jjb+atrb+++=favourite
flowering ^jj+atrb+++=flowering
shrub ^nn++++=shrub,
, ^zz++++=EXTRAWORD
gently ^rb++++=gently
shaking ^vbg+++xvbg+=shaking
her ^pp$+pp3+++=her
now ^rn+tm+++=now
this ^dt+dem+++=this
side ^nn++++=side,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
hope ^nn++++=hope
of ^in++++=of
rousing ^xvbg+++xvbg+=rousing
her ^pp$+pp3+++=her
to ^in++++=to
animation ^nn+nom+++=animation.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Kusum ^np+++??+=Kusum
sat ^vbd+++xvbn+=sat
motionless ^jj++++=motionless,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
open ^jj+atrb+++=open
window ^nn++++=window,
, ^zz++++=EXTRAWORD
with ^in++++=with
eyes ^nns++++=eyes
immersed ^vbd+++xvbn+=immersed
in ^in++++=in
the ^ati++++=the
moonlit ^nn+++??+=moonlit
depth ^nn++++=depth
of ^in++++=of
never ^rb++++=never-ending
- ^zz++++=EXTRAWORD
ending ^vbg+++xvbg+=EXTRAWORD
space ^nn++++=space
beyond ^in+strn+++=beyond.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
husband ^nn++++=husband's
's ^$++++=EXTRAWORD
caresses ^nns+nom+++=caresses
were ^vbd+bed+aux++=were
lost ^vpsv++agls+xvbnx+=lost
on ^in++++=on
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
Hemanta ^np+++??+=Hemanta
clasped ^vbd+++xvbn+=clasped
both ^abx++++=both
the ^ati++++=the
hands ^nns++++=hands
of ^in++++=of
his ^pp$+pp3+++=his
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
shaking ^jj+++xvbg+=shaking
them ^pp3o+pp3+++=them
gently ^rb+cnj+++=gently,
, ^zz++++=EXTRAWORD
said ^j+++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="Kusum,
kusum ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
where ^wrb+who+whq++=where
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
A ^at++++=A
patient ^nn++++=patient
search ^nn++++=search
through ^in++++=through
a ^at++++=a
big ^jj+atrb+++=big
telescope ^nn++++=telescope
would ^md+prd+++=would
reveal ^vb+vprv+++=reveal
you ^pp2+pp2+++=you
only ^rb+down+++=only
as ^ql++++=as
a ^at++++=a
small ^jj+atrb+++=small
speck ^nn++++=speck-you
- ^zz++++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
have ^vbi++++=have
receded ^vwbn+++xvbn+=receded
so ^pn++++=so
far ^rb+pl+++=far
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
O ^zz++++=O,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
come ^vb++++=come
closer ^rbr++++=closer
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
dear ^jj++++=dear.
. ^zz++++=EXTRAWORD
See ^vb+vprv+++=See
how ^wrb+who+whcl++=how
beautiful ^jj++++=beautiful
the ^ati++++=the
night ^nn++++=night
is ^vbz+bez+vrb++=is."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Kusum ^np+++??+=Kusum
turned ^vbd+++xvbn+=turned
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
from ^in++++=from
the ^ati++++=the
void ^nn++++=void
of ^in++++=of
space ^nn++++=space
towards ^in++++=towards
her ^pp$+pp3+++=her
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub++xvbn+=said
slowly ^rb++++=slowly:
: ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+++=know
a ^at++++=a
mantra ^nn+++??+=mantra
( ^zz++++=(A
a ^at++++=EXTRAWORD
set ^nn+++xvbn+=set
of ^in++++=of
magic ^jj+atrb+++=magic
words. ^nn+++??+=words.),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
could ^md+pos+++=could
in ^in++++=in
one ^cd1++++=one
moment ^nn++++=moment
shatter ^vb++++=shatter
this ^dt+dem+++=this
spring ^nn++++=spring
night ^nn++++=night
and ^cc++++=and
the ^ati++++=the
moon ^nn++++=moon
into ^in++++=into
pieces ^nns++++=pieces."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
laughed ^vbd+++xvbn+=laughed
Hemanta ^np+++??+=Hemanta,
, ^zz++++=EXTRAWORD
" ^zz++++="pray
pray ^vb+vsua+++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
utter ^jjb++++=utter
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
any ^dti++++=any
mantra ^nn+++??+=mantra
of ^in++++=of
yours ^pp$$++++=yours
could ^md+pos+++=could
bring ^vb++++=bring
three ^cd++++=three
or ^cc++++=or
four ^cd++++=four
Saturdays ^nrs++++=Saturdays
during ^in++++=during
the ^ati++++=the
week ^nn++++=week,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
prolong ^vb++++=prolong
the ^ati++++=the
nights ^nns++++=nights
till ^in++++=till
5 ^zz++++=5
P.m ^rb++++=P.M.
. ^zz++++=EXTRAWORD
the ^ati++++=the
next ^ap++++=next
day ^nn++++=day,
, ^zz++++=EXTRAWORD
say ^vb+vpub+++=say
it ^pp3+it+++=it
by ^in++++=by
all ^abn++++=all
means ^nns++++=means."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Saying ^vbg+++xvbg+=Saying
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
draw ^vbi++++=draw
his ^pp$+pp3+++=his
wife ^nn++++=wife
a ^rb++++=a
little ^rb"++++=little
closer ^rbr++++=closer
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Kusum ^np+++??+=Kusum,
, ^zz++++=EXTRAWORD
freeing ^nn++++=freeing
herself ^ppl+pp3+++=herself
from ^in++++=from
the ^ati++++=the
embrace ^vb++++=embrace,
, ^zz++++=EXTRAWORD
said ^j+++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
to ^to++++=to-night
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel
a ^at++++=a
longing ^vb+++xvbg+=longing
to ^to+vcmp+++=to
tell ^vbi++++=tell
you ^pp2+pp2+++=you
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
promised ^vbd+++xvbnx+=promised
to ^to+vcmp+++=to
reveal ^vbi+vprv+++=reveal
only ^rb+down+++=only
on ^in++++=on
my ^pp$+pp1+++=my
death ^nn++++=death-bed.
- ^zz++++=EXTRAWORD
bed ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
To ^to++++=To-night
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
could ^md+pos+++=could
endure ^vb++++=endure
whatever ^nn+nom+++=whatever
punishment ^nn+nom+++=punishment
you ^pp2+pp2+++=you
might ^md+pos+++=might
inflict ^vb++++=inflict
on ^in++++=on
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hemanta ^np+++??+=Hemanta
was ^vbd+bedz+vrb++=was
on ^in++++=on
the ^ati++++=the
point ^nn++++=point
of ^in++++=of
making ^xvbg+++xvbg+=making
a ^at++++=a
jest ^rb++++=jest
about ^in++++=about
punishments ^nns+nom+++=punishments
by ^in++++=by
reciting ^xvbg+++xvbg+=reciting
a ^at++++=a
verse ^nn++++=verse
from ^in++++=from
Jayadeva ^np+++??+=Jayadeva,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
sound ^nn++++=sound
of ^in++++=of
an ^at++++=an
angry ^jj+atrb+++=angry
pair ^nn++++=pair
of ^in++++=of
slippers ^nns+nom+++=slippers
was ^vbd+bedz+aux++=was
heard ^vpsv++agls+xvbnx+=heard
approaching ^jj+++xvbg+=approaching
rapidly ^rb++++=rapidly.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
the ^ati++++=the
familiar ^jj+atrb+++=familiar
footsteps ^nns++++=footsteps
of ^in++++=of
his ^pp$+pp3+++=his
father ^nn++++=father,
, ^zz++++=EXTRAWORD
Haribar ^np+++??+=Haribar
Mukerji ^np+++??+=Mukerji,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Hemanta ^np+++??+=Hemanta,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
knowing ^vbg+vprv++xvbg+=knowing
what ^wdt+who+whcl++=what
it ^pp3+it+++=it
meant ^vbd+vprv++xvbn+=meant,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
in ^in++++=in
a ^at++++=a
flutter ^nn++++=flutter
of ^in++++=of
excitement ^nn+nom+++=excitement.
. ^zz++++=EXTRAWORD
Standing ^vbg+++xvbg+=Standing
outside ^jjb++++=outside
the ^ati++++=the
door ^nn++++=door
Harihar ^np+++??+=Harihar
roared ^vbd+++xvbn+=roared
out ^rp+pl+++=out:
: ^zz++++=EXTRAWORD
" ^zz++++="Hemanta,
hemanta ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
turn ^nn++++=turn
your ^pp$+pp2+++=your
wife ^nn++++=wife
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
house ^nn++++=house
immediately ^rb+tm+++=immediately."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hemanta ^np+++??+=Hemanta
looked ^vbd+++xvbn+=looked
at ^rb++++=at
his ^pp$+pp3+++=his
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
detected ^vbd+++xvbn+=detected
no ^at++++=no
trace ^nn++++=trace
of ^in++++=of
surprise ^nn++++=surprise
in ^in++++=in
her ^pp$+pp3+++=her
features ^nns++++=features.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
merely ^rb+down+++=merely
buried ^jj+++xvbn+=buried
her ^pp3o+pp3+++=her
face ^nn++++=face
within ^in++++=within
the ^ati++++=the
palms ^nns++++=palms
of ^in++++=of
her ^pp$+pp3+++=her
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
with ^in++++=with
all ^abn++++=all
the ^ati++++=the
strength ^nn++++=strength
and ^cc++++=and
intensity ^nn+nom+++=intensity
of ^in++++=of
her ^pp$+pp3+++=her
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
wished ^vb+++xvbn+=wished
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
could ^md+pos+++=could
then ^rn+tm+++=then
and ^cc++++=and
there ^rn+pl+++=there
melt ^nn++++=melt
into ^in++++=into
nothingness ^nns+nom+++=nothingness.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
same ^ap++++=same
papiya ^jj+++??+=papiya
whose ^whp+who+++=whose
song ^nn++++=song
floated ^vbd+++xvbn+=floated
into ^in++++=into
the ^ati++++=the
room ^nn++++=room
with ^in++++=with
the ^ati++++=the
south ^np+pl+++=south
breeze ^nn++++=breeze,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
one ^cd1++++=one
heard ^vbd+vprv++xvbn+=heard
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Endless ^jj++++=Endless
are ^vb+ber+vrb++=are
the ^ati++++=the
beauties ^nns++++=beauties
of ^in++++=of
the ^ati++++=the
earth ^nn++++=earth-but
- ^zz++++=EXTRAWORD
but ^cc++++=EXTRAWORD
alas ^uh++++=alas,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
easily ^rb++++=easily
everything ^pn++++=everything
is ^vbz+bez+aux++=is
twisted ^vpsv++agls+xvbnx+=twisted
out ^rp+pl+++=out
of ^in++++=of
shape ^nn++++=shape.
. ^zz++++=EXTRAWORD
Returning ^vbg+++xvbg+=Returning
from ^in++++=from
without ^in+strn+++=without,
, ^zz++++=EXTRAWORD
Hemanta ^np+++??+=Hemanta
asked ^vbd+vsua++xvbn+=asked
his ^pp$+pp3+++=his
wife ^nn++++=wife:
: ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
it ^pp3+it+++=it
true ^jj++++=true?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
