It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
nearly ^rb+down+++=nearly
a ^at++++=a
year ^nn++++=year
after ^in++++=after
the ^ati++++=the
occurrence ^nn+nom+++=occurrence
of ^in++++=of
that ^dt+dem+++=that
event ^nn++++=event
in ^in++++=in
the ^ati++++=the
arena ^nn++++=arena
of ^in++++=of
the ^ati++++=the
semi ^nn+++??+=semi-barbaric
- ^zz++++=EXTRAWORD
barbaric ^jj+atrb+++=EXTRAWORD
king ^npt++++=king
known ^vbd+vprv++xvbn+=known
as ^ql++++=as
the ^ati++++=the
incident ^nn++++=incident
of ^in++++=of
the ^ati++++=the
lady ^nn++++=lady
or ^cc++++=or
the ^ati++++=the
tiger ^nn++++=tiger,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
there ^ex+pex+++=there
came ^vbd+++xvbn+=came
to ^in++++=to
the ^ati++++=the
palace ^nn++++=palace
of ^in++++=of
this ^dt+dem+++=this
monarch ^nn++++=monarch
a ^at++++=a
deputation ^nn+nom+++=deputation
of ^in++++=of
five ^cd++++=five
strangers ^nns+nom+++=strangers
from ^in++++=from
a ^at++++=a
far ^rb+pl+++=far
country ^nn++++=country.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
men ^nns++++=men,
, ^zz++++=EXTRAWORD
of ^in++++=of
venerable ^jj+atrb+++=venerable
and ^cc+phrs+++=and
dignified ^jj+atrb+++=dignified
aspect ^nn++++=aspect
and ^cc++++=and
demeanour ^nn++++=demeanour,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
received ^vpsv++by+xvbnx+=received
by ^in++++=by
a ^at++++=a
high ^jj+atrb+++=high
officer ^nn++++=officer
of ^in++++=of
the ^ati++++=the
court ^nn++++=court,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
him ^pp3o+pp3+++=him
they ^pp3a+pp3+++=they
made ^vbd+++xvbnx+=made
known ^vprf+++xvbn+=known
their ^pp$+pp3+++=their
errand ^nn++++=errand.
. ^zz++++=EXTRAWORD
" ^zz++++="Most
most ^ql+emph+++=EXTRAWORD
noble ^jj+atrb+++=noble
officer ^nn++++=officer,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
speaker ^nn++++=speaker
of ^in++++=of
the ^ati++++=the
deputation ^nn+nom+++=deputation,
, ^zz++++=EXTRAWORD
" ^zz++++="it
it ^pp3+it+++=EXTRAWORD
so ^ql+emph+++=so
happened ^jj+++xvbn+=happened
that ^dt+dem+++=that
one ^pn++++=one
of ^in++++=of
our ^pp$+pp1+++=our
countrymen ^nns++++=countrymen
was ^vbd+bedz+aux++=was
present ^vb++++=present
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
in ^in++++=in
your ^pp$+pp2+++=your
capital ^nn++++=capital
city ^nn++++=city,
, ^zz++++=EXTRAWORD
on ^in++++=on
that ^dt+dem+++=that
momentous ^jj+atrb+++=momentous
occasion ^nn++++=occasion
when ^wrb+who+++=when
a ^at++++=a
young ^jj+atrb+++=young
man ^nn++++=man
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
dared ^vprf+++xvbnx+=dared
to ^to+vcmp+++=to
aspire ^vbi++++=aspire
to ^in++++=to
the ^ati++++=the
hand ^nn++++=hand
of ^in++++=of
your ^pp$+pp2+++=your
king ^nn++++=king's
's ^$++++=EXTRAWORD
daughter ^nn+nom+++=daughter
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
placed ^vpsv++agls+xvbnx+=placed
in ^in++++=in
the ^ati++++=the
arena ^nn++++=arena,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
midst ^nn++++=midst
of ^in++++=of
the ^ati++++=the
assembled ^jj+atrb++xvbn+=assembled
multitude ^nn++++=multitude,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ordered ^vb+++xvbn+=ordered
to ^to+vcmp+++=to
open ^vbi++++=open
one ^pn++++=one
of ^in++++=of
two ^cd++++=two
doors ^nns++++=doors,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
knowing ^vbg+vprv++xvbg+=knowing
whether ^cs+who+++=whether
a ^at++++=a
ferocious ^jj+atrb+++=ferocious
tiger ^nn++++=tiger
would ^md+prd+++=would
spring ^vb++++=spring
out ^rp+pl+++=out
upon ^in++++=upon
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
