Exhausted ^jj+++xvbn+=Exhausted
with ^in++++=with
the ^ati++++=the
painful ^jj+atrb+++=painful
uncertainty ^nn++++=uncertainty
of ^in++++=of
the ^ati++++=the
day ^nn++++=day,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
fell ^vbd+++xvbnx+=fell
asleep ^jj++++=asleep,
, ^zz++++=EXTRAWORD
dressed ^j+++xvbn+=dressed,
, ^zz++++=EXTRAWORD
on ^in++++=on
my ^pp$+pp1+++=my
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
Suddenly ^rb++++=Suddenly
my ^pp$+pp1+++=my
wife ^nn++++=wife
aroused ^vbd+++xvbn+=aroused
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
In ^in++++=In
her ^pp$+pp3+++=her
hand ^nn++++=hand
a ^at++++=a
candle ^nn++++=candle
was ^vbd+bedz+vrb++=was
flickering ^jj+pred+++=flickering,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
appeared ^vbd+seem++xvbn+=appeared
to ^to+vcmp+++=to
me ^vbi++++=me
in ^in++++=in
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
the ^ati++++=the
night ^nn++++=night
as ^in++++=as
bright ^nn++++=bright
as ^in++++=as
the ^ati++++=the
sun ^nn++++=sun.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
behind ^in+pl+++=behind
the ^ati++++=the
candle ^nn++++=candle
her ^pp$+pp3+++=her
chin ^nn++++=chin,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
trembling ^nvbg+++xvbg+=trembling,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
enormous ^jj++++=enormous,
, ^zz++++=EXTRAWORD
unfamiliar ^jj+atrb+++=unfamiliar
dark ^jj+atrb+++=dark
eyes ^nns++++=eyes
stared ^vbd+++xvbn+=stared
motionlessly ^rb++++=motionlessly.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+tht0++=know
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
building ^vbg+++xvbgx+=building
barricades ^nns+++??+=barricades
on ^in++++=on
our ^pp$+pp1+++=our
street ^nn++++=street?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
quiet ^nn++++=quiet.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
looked ^vbd+++xvbn+=looked
straight ^jj++++=straight
into ^in++++=into
each ^ppls++++=each
other's ^ppls++++=other's
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
felt ^vbd+vprv+tht0+xvbnx+=felt
my ^pp$+pp1+++=my
face ^nn++++=face
turning ^vwbg+++xvbg+=turning
