A ^at++++=A
Fairy ^nn++++=FAIRY
Legend ^nn++++=LEGEND.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
sometimes ^rb++splt++=sometimes
produced ^vprf+++xvbnx+=produced
a ^at++++=a
singular ^nn++++=singular
and ^cc++++=and
not ^xnot++not++=not
unpleasing ^jj+atrb++xvbg+=unpleasing
effect ^nn++++=effect,
, ^zz++++=EXTRAWORD
so ^ql++++=so
far ^rb+pl+++=far
as ^ql++++=as
my ^pp$+pp1+++=my
own ^ap++++=own
mind ^nn++++=mind
was ^vbd+bedz+aux++=was
concerned ^vpsv++agls+xvbnx+=concerned,
, ^zz++++=EXTRAWORD
by ^in++++=by
imagining ^xvbg+++xvbg+=imagining
a ^at++++=a
train ^nn++++=train
of ^in++++=of
incidents ^nns++++=incidents
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
spirit ^nn++++=spirit
and ^cc++++=and
mechanism ^nn+nom+++=mechanism
of ^in++++=of
the ^ati++++=the
fa ^nn++++=fa
ry ^nn++++=ry
legend ^nn++++=legend
should ^md+nec+++=should
be ^vb+be+aux++=be
combined ^vpsv++agls+xvbnx+=combined
with ^in++++=with
the ^ati++++=the
characters ^nns+nom+++=characters
and ^cc++++=and
manners ^nns+nom+++=manners
of ^in++++=of
familiar ^jj+atrb+++=familiar
life ^nn++++=life.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
little ^jj+atrb+++=little
tale ^nn++++=tale
which ^whp+rel+subj++=which
follows ^vbz+vprv+++=follows
a ^at++++=a
subdued ^jj+atrb+++=subdued
tinge ^nn++++=tinge
of ^in++++=of
the ^ati++++=the
wild ^jj++++=wild
and ^cc+phrs+++=and
wonderful ^jj++++=wonderful
is ^vbz+bez+aux++=is
thrown ^vpsv++agls+xvbnx+=thrown
over ^in++++=over
a ^at++++=a
sketch ^nn++++=sketch
of ^in++++=of
New ^jj+atrb+++=New
England ^np++++=England
personages ^nns+nom+++=personages
and ^cc++++=and
scenery ^nn+nom+++=scenery,
, ^zz++++=EXTRAWORD
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
hoped ^vpsv++agls+xvbnx+=hoped,
, ^zz++++=EXTRAWORD
without ^in++++=without
entirely ^rb+amp+++=entirely
obliterating ^vbg+++xvbg+=obliterating
the ^ati++++=the
sober ^jj+atrb+++=sober
hues ^nns++++=hues
of ^in++++=of
nature ^nn++++=nature.
. ^zz++++=EXTRAWORD
Rather ^rb+cnj+++=Rather
than ^in++++=than
a ^at++++=a
story ^nn++++=story
of ^in++++=of
events ^nns++++=events
claiming ^vb+vpub++xvbg+=claiming
to ^to+vcmp+++=to
be ^vbi++vrb++=be
real ^jj+pred+++=real,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
may ^md+pos+++=may
be ^vb+be+aux++=be
considered ^vpsv++agls+xvbnx+=considered
as ^ql++++=as
an ^at++++=an
allegory ^nn++++=allegory
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
writers ^nns+nom+++=writers
of ^in++++=of
the ^ati++++=the
last ^jj+atrb+++=last
century ^nn++++=century
would ^md+prd+++=would
have ^vb+hv+aux++=have
expressed ^vprf+++xvbnx+=expressed
in ^in++++=in
the ^ati++++=the
shape ^nn++++=shape
of ^in++++=of
an ^at++++=an
Eastern ^jj+atrb+++=Eastern
tale ^nn++++=tale,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
to ^to++++=to
which ^whp+who+++=which
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
endeavored ^vprf+++xvbnx+=endeavored
to ^to+vcmp+++=to
give ^vbi++++=give
a ^at++++=a
more ^rbr++++=more
lifelike ^jj+atrb+++=lifelike
warmth ^nn++++=warmth
than ^in++++=than
could ^md+pos+++=could
be ^vb+be+aux++=be
infused ^vpsv++agls+xvbnx+=infused
into ^in++++=into
those ^dt+dem+++=those
fanciful ^jj+atrb+++=fanciful
productions ^nns+nom+++=productions.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
twilight ^nn++++=twilight
of ^in++++=of
a ^at++++=a
summer ^nn++++=summer
eve ^nn++++=eve
a ^at++++=a
tall ^jj+atrb+++=tall
dark ^jj+atrb+++=dark
figure ^nn++++=figure
over ^in++++=over
