If ^cs+cnd+++=If
you ^pp2+pp2+++=you
never ^rb++++=never
lived ^vbd+++xvbn+=lived
in ^in++++=in
Mandeville ^np+++??+=Mandeville,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
cannot ^md+pos+not++=cannot
appreciate ^nn+nom+++=appreciate
the ^ati++++=the
thrill ^nn++++=thrill
of ^in++++=of
wholesome ^jj+atrb+++=wholesome,
, ^zz++++=EXTRAWORD
satisfied ^j+++xvbn+=satisfied
joy ^np++++=joy
which ^whp+rel+subj++=which
sweeps ^vbz++++=sweeps
over ^in++++=over
its ^pp$+it+++=its
inhabitants ^nns+nom+++=inhabitants
every ^at++++=every
evening ^nn++++=evening
at ^in++++=at
five ^cd++++=five
o ^zz++++=o'clock.
'clock. ^nn+++??+=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
the ^ati++++=the
hour ^nn++++=hour
for ^in++++=for
the ^ati++++=the
arrival ^nn++++=arrival
of ^in++++=of
the ^ati++++=the
" ^zz++++="New
new ^jj+atrb+++=EXTRAWORD
Camelia ^np+++??+=Camelia,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
happening ^jj+++xvbg+=happening
of ^in++++=of
the ^ati++++=the
day ^nn++++=day.
. ^zz++++=EXTRAWORD
As ^ql++++=As
early ^jj++++=early
as ^ql++++=as
four ^cd++++=four
o'clock ^rb++++=o'clock
the ^ati++++=the
trailing ^jj+atrb++xvbg+=trailing
smoke ^nn++++=smoke
across ^in+pl+++=across
the ^ati++++=the
horizon ^nn++++=horizon
of ^in++++=of
the ^ati++++=the
treacherous ^jj+atrb+++=treacherous
Lake ^nn++++=Lake
Pontchartrain ^np+++??+=Pontchartrain
appears ^vbz+seem+++=appears,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mandeville ^np+++??+=Mandeville
knows ^vbz+vprv+++=knows
then ^rn+tm+++=then
that ^cs+sub+++=that
the ^ati++++=the
hour ^nn++++=hour
for ^in++++=for
its ^pp$+it+++=its
siesta ^nn++++=siesta
has ^vbz+hvz+aux++=has
passed ^vprf+++xvbnx+=passed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
it ^pp3+it+++=it
must ^md+nec+++=must
array ^vb++++=array
itself ^ppl++++=itself
in ^in++++=in
its ^pp$+it+++=its
coolest ^jjt+atrb+++=coolest
and ^cc+phrs+++=and
fluffiest ^jjt+atrb+++=fluffiest
garments ^nns+nom+++=garments,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
go ^vb++++=go
down ^rp++++=down
to ^in++++=to
the ^ati++++=the
pier ^nn++++=pier
to ^to++++=to
meet ^vbi++++=meet
this ^dt+dem+++=this
sole ^jjb+atrb+++=sole
connection ^nn+nom+++=connection
between ^in++++=between
itself ^ppl++++=itself
and ^cc++++=and
the ^ati++++=the
outside ^jjb+atrb+++=outside
world ^nn++++=world;
; ^zz++++=EXTRAWORD
the ^ati++++=the
little ^jj++++=little,
, ^zz++++=EXTRAWORD
puffy ^vb++++=puffy,
, ^zz++++=EXTRAWORD
side ^nn++++=side-wheel
- ^zz++++=EXTRAWORD
wheel ^vb++++=EXTRAWORD
steamer ^np++++=steamer
that ^tht+rel+subj++=that
comes ^vbz++++=comes
daily ^jj++++=daily
from ^in++++=from
New ^jj+atrb+++=New
Orleans ^nns+nom++??+=Orleans
and ^cc++++=and
brings ^vbz++++=brings
the ^ati++++=the
mail ^nn++++=mail
and ^cc++++=and
the ^ati++++=the
