At ^in++++=At
Madeira ^np++++=Madeira
seven ^cd++++=seven
of ^in++++=of
us ^pp1o+pp1+++=us
were ^vbd+bed+aux++=were
added ^vpsv++agls+xvbnx+=added
to ^in++++=to
the ^ati++++=the
first ^od++++=first-class
- ^zz++++=EXTRAWORD
class ^nn++++=EXTRAWORD
passengers ^nns+nom+++=passengers
of ^in++++=of
the ^ati++++=the
Cambuscan ^np+nom++??+=Cambuscan,
, ^zz++++=EXTRAWORD
homeward ^rb++++=homeward
bound ^vbd+++xvbn+=bound
from ^in++++=from
Cape ^np++++=Cape
Town ^nn++++=Town;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
so ^ql++++=so
the ^ati++++=the
company ^nn++++=company
made ^vbd+++xvbn+=made
a ^at++++=a
poor ^nn++++=poor
muster ^vb++++=muster
in ^in++++=in
the ^ati++++=the
saloon ^nn++++=saloon,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
required ^vbd+++xvbn+=required
a ^at++++=a
hundred ^cd++++=hundred
and ^cc++++=and
seventy ^cd++++=seventy
feet ^nns++++=feet
of ^in++++=of
hurricane ^nn++++=hurricane-deck
- ^zz++++=EXTRAWORD
deck ^nn++++=EXTRAWORD
for ^in++++=for
covering ^xvbg+++xvbg+=covering.
. ^zz++++=EXTRAWORD
Those ^dt+pdem+++=Those
were ^vbd+bed+vrb++=were
days ^nns++++=days--long
-- ^--+clp+++=EXTRAWORD
long ^rb++++=EXTRAWORD
before ^in++++=before
the ^ati++++=the
South ^nr+pl+++=South
African ^jj+atrb+++=African
War ^nn++++=War,
, ^zz++++=EXTRAWORD
before ^in++++=before
the ^ati++++=the
Jameson ^np+++??+=Jameson
Raid ^nn++++=Raid
even ^rb++++=even--when
-- ^--+clp+++=EXTRAWORD
when ^wrb+who+++=EXTRAWORD
every ^at++++=every
ship ^nn++++=ship
carried ^vbd+++xvbn+=carried
out ^rp+pl+++=out
a ^at++++=a
load ^nn++++=load
of ^in++++=of
miners ^nns++++=miners
for ^in++++=for
the ^ati++++=the
Transvaal ^np+nom+++=Transvaal,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
returned ^vbd+++xvbn+=returned
comparatively ^rb++++=comparatively
empty ^jj++++=empty,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
as ^ql++++=as
a ^at++++=a
rule ^nn++++=rule
with ^in++++=with
plenty ^nn++++=plenty
of ^in++++=of
obviously ^rb+amp+++=obviously
rich ^jj+atrb+++=rich
men ^nns++++=men
and ^cc++++=and
be ^vb+be+vrb++=be-diamonded
- ^zz++++=EXTRAWORD
diamonded ^jj+atrb++xvbn+=EXTRAWORD
ladies ^nns++++=ladies.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
every ^at++++=every
tide ^nn++++=tide
has ^vbz+hvz+vrb++=has
its ^pp$+it+++=its
backwash ^nn+++??+=backwash;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
so ^ql+emph+++=so
happened ^jj+++xvbn+=happened
that ^dt+dem+++=that
the ^ati++++=the
Cambuscan ^np+nom++??+=Cambuscan
held ^vbd+vprv++xvbn+=held
as ^ql++++=as
many ^ap++++=many
second ^od++++=second
and ^cc++++=and
third ^od++++=third-class
- ^zz++++=EXTRAWORD
class ^nn++++=EXTRAWORD
passengers ^nns+nom+++=passengers
as ^ql++++=as
she ^pp3a+pp3+++=she
could ^md+pos+++=could
stow ^vb+++??+=stow.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were--their
-- ^--+clp+++=EXTRAWORD
their ^pp$+pp3+++=EXTRAWORD
general ^jj+atrb+++=general
air ^nn++++=air
proclaimed ^vbd+++xvbn+=proclaimed
it ^pp3+it+++=it--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
failures ^nns++++=failures
of ^in++++=of
South ^nr+pl+++=South
African ^jj+atrb+++=African
immigration ^nn+nom+++=immigration;
; ^zz++++=EXTRAWORD
men ^nns++++=men
and ^cc++++=and
women ^nns++++=women
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
out ^rp+pl+++=out
too ^ql++++=too
early ^jj++++=early
and ^cc+phrs+++=and
given ^jj+++xvbn+=given
