Scene. ^np+++??+=Scene.--The
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
shady ^jj+atrb+++=shady
side ^nn++++=side
of ^in++++=of
a ^at++++=a
blueberry-pasture. ^nn+++??+=blueberry-pasture.--Sam
-- ^--+clp+++=EXTRAWORD
sam ^nn++++=EXTRAWORD
Lawson ^np++++=Lawson
with ^in++++=with
the ^ati++++=the
boys ^nns++++=boys,
, ^zz++++=EXTRAWORD
picking ^vbg+++xvbg+=picking
blueberries. ^nn+++??+=blueberries.--Sam,
-- ^--+clp+++=EXTRAWORD
sam ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
_loq_ ^nn+++??+=_loq_.
. ^zz++++=EXTRAWORD
As ^cs+sub+++=As,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
boys ^nns++++=boys,
, ^zz++++=EXTRAWORD
it ^pp3+it+++0='twas
was ^vbd+bedz+vrb++=EXTRAWORD
just ^rb+emph+++=just
here, ^nn+++??+=here,--Parson
-- ^--+clp+++=EXTRAWORD
parson ^nn++++=EXTRAWORD
Carryl ^np++++=Carryl's
's ^$++++=EXTRAWORD
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
died ^vbd+++xvbnx+=died
along ^in++++=along
in ^in++++=in
the ^ati++++=the
forepart ^nn++++=forepart
of ^in++++0=o'
March ^nn++++=March:
: ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
cousin ^nn++++=cousin
Huldy ^np+++??+=Huldy,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
undertook ^vbd+vsua++xvbnx+=undertook
to ^to++++=to
keep ^vbi++++=keep
house ^npl++++=house
for ^in++++=for
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
way ^nn++++=way
on ^in++++0=on't
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
Huldy ^np+++??+=Huldy,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
to ^to++++=to
take ^vbi++++=take
care ^nn++++=care
of ^in++++0=o'
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Carryl ^np+++??+=Carryl
in ^in++++=in
the ^ati++++=the
fust ^nn+++??+=fust
o ^zz++++=on't,
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
fust ^nn+++??+=fust
took ^vbd+++xvbn+=took
sick ^jj++++=sick.
. ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy
was ^vbd+bedz+vrb++=was
a ^at++++=a
tailoress ^nns+nom+++=tailoress
by ^in++++=by
trade ^nn++++=trade;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
then ^rn+tm+++=then
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++0=o'
these ^dt+dem+++=these
' ^zz++++='ere
ere ^vb+++??+=EXTRAWORD
facultised ^vbd+++xvbn+=facultised
persons ^nns++++=persons
that ^tht+rel+subj++=that
has ^vbz+hvz+vrb++=has
a ^at++++=a
gift ^nn++++=gift
for ^in++++=for
most ^ql+emph+++=most
any ^dti++++=any
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
how ^wrb+who+++=how
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Carryl ^np+++??+=Carryl
come ^vb++++=come
to ^to++++=to
set ^vbi++++=set
sech ^&fo++++=sech
store ^nn++++=store
by ^in++++=by
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
sick ^jj+pred+++=sick,
, ^zz++++=EXTRAWORD
nothin ^nn+++??+=nothin'
' ^zz++++=EXTRAWORD
would ^md+prd+++=would
do ^vb+do+vrb++=do
for ^in++++=for
her ^pp$+pp3+++=her
but ^cc++++=but
she ^pp3a+pp3+++=she
must ^md+nec+++=must
have ^vb+hv+vrb++=have
Huldy ^np+++??+=Huldy
round ^in++++=round
all ^abn++++=all
the ^ati++++=the
time ^nn++++=time:
: ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
minister ^nn+nom+++=minister,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub+tht0+xvbnx+=said
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
make ^vb++++=make
it ^pp3+it+++=it
good ^jj++++=good
to ^to+jcmp+++=to
her ^pp$+pp3+++=her
all ^abn++++=all
the ^ati++++=the
same ^ap++++=same,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
should ^md+nec+++=shouldn't
n't ^xnot++not++0=EXTRAWORD
lose ^vb++++=lose
nothin ^nn+++??+=nothin'
' ^zz++++=EXTRAWORD
by ^in++++=by
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
so ^ql++++=so
Huldy ^np+++??+=Huldy,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
staid ^jj++++=staid
with ^in++++=with
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Carryl ^np+++??+=Carryl
full ^jj++++=full
three ^cd++++=three
months ^nns++++=months
afore ^in++++=afore
she ^pp3a+pp3+++=she
died ^vbd+++xvbnx+=died,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
got ^vpsv++agls+xvbn+=got
to ^to+vcmp+++=to
seein ^vb+++??+=seein'
' ^zz++++=EXTRAWORD
to ^in++++=to
every ^at++++=every
thing ^nn++++=thing
pretty ^rb++++=pretty
much ^ap++++=much
round ^in++++=round
the ^ati++++=the
place ^nn++++=place.
. ^zz++++=EXTRAWORD
" ^zz++++="Wal,
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
arter ^jjr++++=arter
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Carryl ^np+++??+=Carryl
died ^vbd+++xvbn+=died,
, ^zz++++=EXTRAWORD
Parson ^nn++++=Parson
Carryl ^np+++??+=Carryl,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
got ^vprf+++xvbnx+=got
so ^ql++++=so
kind ^rb++++=kind
of ^rb"++++0=o'
used ^vbd+++xvbn+=used
to ^in++++=to
hevin ^nn+++??+=hevin'
' ^zz++++=EXTRAWORD
on ^in++++=on
her ^pp$+pp3+++=her
' ^zz++++='round,
round ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
takin ^nn+++??+=takin'
' ^zz++++=EXTRAWORD
care ^nn++++=care
of ^in++++0=o'
things ^nns++++=things,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
wanted ^vbd+++xvbnx+=wanted
her ^pp$+pp3+++=her
to ^to++++=to
stay ^vbi++++=stay
along ^in++++=along
a ^at++++=a
spell ^nn++++=spell;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
Huldy ^np+++??+=Huldy,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
staid ^jj++++=staid
along ^in++++=along
a ^at++++=a
spell ^nn++++=spell,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
poured ^vbd+++xvbn+=poured
out ^rp+pl+++=out
his ^pp$+pp3+++=his
tea ^nn++++=tea,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
mended ^jj+++xvbn+=mended
his ^pp$+pp3+++=his
close ^nn++++=close,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^xvbn+++xvbn+=made
pies ^nns++++=pies
and ^cc++++=and
cakes ^nns++++=cakes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cooked ^vbd+++xvbn+=cooked
and ^cc+phrs+++=and
washed ^vbd+++xvbn+=washed
and ^cc+phrs+++=and
ironed ^vbd+++xvbn+=ironed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
kep ^nn+++??+=kep'
' ^zz++++=EXTRAWORD
every ^at++++=every
thing ^nn++++=thing
as ^in++++=as
neat ^nn++++=neat
as ^in++++=as
a ^at++++=a
pin ^nn++++=pin.
. ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy
was ^vbd+bedz+vrb++=was
a ^at++++=a
drefful ^jj+atrb+++=drefful
chipper ^jj+atrb+++=chipper
sort ^nn++++=sort
of ^in++++0=o'
gal ^nn++++=gal;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
work ^nn++++=work
sort ^rb+hdg+++=sort
of ^+hdg"+++0=o'
rolled ^nn++++=rolled
off ^in+pl+++=off
from ^in++++=from
her ^pp$+pp3+++=her
like ^in++++=like
water ^nn++++=water
off ^in+pl+++=off
a ^at++++=a
duck ^nn++++=duck's
's ^vbz+bez+vrb++0=EXTRAWORD
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
war ^nn++++=warn't
n't ^xnot++not++0=EXTRAWORD
no ^at++++=no
gal ^nn++++=gal
in ^in++++=in
Sherburne ^np+++??+=Sherburne
that ^tht+rel+subj++=that
could ^md+pos+++=could
put ^vb+++xvbn+=put
sich ^&fw++++=sich
a ^at++++=a
sight ^nn++++=sight
of ^in++++0=o'
work ^nn++++=work
through ^in++++=through
as ^ql++++=as
Huldy ^np+++??+=Huldy;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
Sunday ^nr++++=Sunday
mornin ^nn+++??+=mornin',
', ^nn+++??+=EXTRAWORD
she ^pp3a+pp3+++=she
always ^rb++++=always
come ^vb++++=come
out ^rb+phrv+++=out
in ^in+ppvb+++=in
the ^ati++++=the
singers ^nns+nom+++=singers'
' ^zz++++=EXTRAWORD
seat ^nn++++=seat
like ^in++++=like
one ^pn++++=one
