The ^ati++++=The
boarder ^nn++++=boarder
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
eloped ^vprf+++xvbnx+=eloped
was ^vbd+bedz+vrb++=was
a ^at++++=a
student ^nn++++=student
at ^in++++=at
the ^ati++++=the
theological ^jj+atrb+++=theological
seminary ^nn+nom+++=seminary,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
really ^rb+emph+splt++=really
gone ^vprf+++xvbnx+=gone
to ^to++++=to
visit ^vbi++++=visit
his ^pp$+pp3+++=his
family ^nn++++=family,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
a ^at++++=a
fairly ^rb++++=fairly
good ^jj+atrb+++=good
conscience ^nn+nom+++=conscience
in ^in++++=in
giving ^xvbg+++xvbg+=giving
this ^dt+dem+++=this
color ^nn++++=color
to ^in++++=to
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
leaving ^vbg+++xvbgx+=leaving
the ^ati++++=the
place ^nn++++=place
permanently ^rb++++=permanently
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
bear ^vb+vprv+++=bear
it ^pp3+it+++=it
any ^dti++++=any
longer ^rbr++++=longer.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
shade ^nn++++=shade
of ^in++++=of
deceit ^nn++++=deceit
to ^to++++=to
connive ^vbi++++=connive
with ^in++++=with
his ^pp$+pp3+++=his
room ^nn++++=room-mate
- ^zz++++=EXTRAWORD
mate ^nn++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
custody ^nn++++=custody
of ^in++++=of
his ^pp$+pp3+++=his
carpet ^nn++++=carpet-bag
- ^zz++++=EXTRAWORD
bag ^nn++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
few ^ap++++=few
socks ^nns++++=socks
and ^cc++++=and
collars ^nns++++=collars
and ^cc++++=and
the ^ati++++=the
one ^cd1++++=one
shirt ^nn++++=shirt
and ^cc++++=and
summer ^nn++++=summer
coat ^nn++++=coat
which ^whp+rel+subj++=which
did ^vbd+dod+aux++=did
not ^xnot++not++=not
visibly ^rb++++=visibly
affect ^vb++++=affect
its ^pp$+it+++=its
lankness ^nns+nom+++=lankness
when ^wrb+who+++=when
gathered ^jj+++xvbn+=gathered
into ^in++++=into
it ^pp3+it+++=it
from ^in++++=from
his ^pp$+pp3+++=his
share ^nn++++=share
of ^in++++=of
the ^ati++++=the
bureau ^nn++++=bureau-drawers;
- ^zz++++=EXTRAWORD
drawers ^nns+nom+++=EXTRAWORD
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
else ^rb+cnj+++=else
to ^to++++=to
do ^vbi++++=do,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
trusted ^vbd+++xvbnx+=trusted
to ^to+vcmp+++=to
a ^at++++=a
final ^jj+atrb+++=final
forgiveness ^nns+nom+++=forgiveness
when ^wrb+who+++=when
all ^rb++++=all
the ^ati++++=the
facts ^nns++++=facts
were ^vbd+bed+aux++=were
considered ^vpsv++by+xvbnx+=considered
by ^in++++=by
a ^at++++=a
merciful ^jj+atrb+++=merciful
providence ^nn+nom+++=providence.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
board ^nn++++=board
was ^vbd+bedz+aux++=was
fully ^rb+amp+splt++=fully
paid ^vpsv++agls+xvbnx+=paid,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
suffered ^vprf+++xvbnx+=suffered
long ^rb++++=long.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
argued ^vbd+vpub++xvbnx+=argued
with ^in++++=with
his ^pp$+pp3+++=his
room ^nn++++=room-mate
- ^zz++++=EXTRAWORD
mate ^nn++++=EXTRAWORD
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
could ^md+pos+++=could
do ^vb+do+vrb++=do
no ^at++++=no
good ^nn++++=good
by ^in++++=by
remaining ^xvbg+++xvbg+=remaining,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
would ^md+prd+++=would
