Whatever ^nn+nom+++=WHATEVER
doubt ^nn++++=doubt
may ^md+pos+++=may
still ^rb++++=still
envelop ^vb++++=envelop
the ^ati++++=the
rationale ^nn++++=rationale
of ^in++++=of
mesmerism ^nn+nom+++=mesmerism,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
startling ^jj+atrb+++=startling
facts ^nns++++=facts
are ^vb+ber+vrb++=are
now ^rn+tm+++=now
almost ^rb+hdg+++=almost
universally ^rb++++=universally
admitted ^vbd+vpub++xvbn+=admitted.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
these ^dt+dem+++=these
latter ^ap++++=latter,
, ^zz++++=EXTRAWORD
those ^dt+pdem+++=those
who ^whp+rel+obj++=who
doubt ^nn++++=doubt,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
your ^pp$+pp2+++=your
mere ^jjb+atrb+++=mere
doubters ^nns+nom+++=doubters
by ^in++++=by
profession ^nn++++=profession
an ^at++++=an
unprofitable ^jj+atrb+++=unprofitable
and ^cc+phrs+++=and
disreputable ^jj+atrb+++=disreputable
tribe ^nn++++=tribe.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
can ^md+pos+++=can
be ^vb+be+vrb++=be
no ^at++++=no
more ^rbr++++=more
absolute ^jj+atrb+++=absolute
waste ^nn++++=waste
of ^in++++=of
time ^nn++++=time
than ^in++++=than
the ^ati++++=the
attempt ^nn++++=attempt
to ^to+ncmp+++=to
prove ^vbi+vprv+++=prove,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
present ^jj+atrb+++=present
day ^nn++++=day,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
man ^nn++++=man,
, ^zz++++=EXTRAWORD
by ^in++++=by
mere ^jjb+atrb+++=mere
exercise ^nn++++=exercise
of ^in++++=of
will ^md+prd+++=will,
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
so ^ql++++=so
impress ^nns+nom+++=impress
his ^pp$+pp3+++=his
fellow ^jjb++++=fellow,
, ^zz++++=EXTRAWORD
as ^in++++=as
to ^in++++=to
cast ^nn+++xvbn+=cast
him ^pp3o+pp3+++=him
into ^in++++=into
an ^at++++=an
abnormal ^jj+atrb+++=abnormal
condition ^nn+nom+++=condition,
, ^zz++++=EXTRAWORD
of ^in++++=of
which ^whp+rel+pied++=which
the ^ati++++=the
phenomena ^nns++++=phenomena
resemble ^vb++++=resemble
very ^ql+amp+++=very
closely ^rb++++=closely
those ^dt+dem+++=those
of ^in++++=of
death ^nn++++=death,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
at ^rb++++=at
least ^rb"++++=least
resemble ^vb++++=resemble
them ^pp3o+pp3+++=them
more ^rbr++++=more
nearly ^rb+down+++=nearly
than ^cs+sub+++=than
they ^pp3a+pp3+++=they
do ^vb+do+vrb++=do
the ^ati++++=the
phenomena ^nns++++=phenomena
of ^in++++=of
any ^dti++++=any
other ^ap++++=other
normal ^jj+atrb+++=normal
condition ^nn+nom+++=condition
within ^in++++=within
our ^pp$+pp1+++=our
cognizance ^nn+nom+++=cognizance
; ^zz++++=;
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
in ^in++++=in
this ^dt+dem+++=this
state ^nn++++=state,
, ^zz++++=EXTRAWORD
the ^ati++++=the
person ^nn++++=person
so ^ql+emph+++=so
impressed ^jj+++xvbn+=impressed
employs ^vbz++++=employs
only ^rb+down+++=only
with ^in++++=with
effort ^nn++++=effort,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
feebly ^rb+cnj+++=feebly,
, ^zz++++=EXTRAWORD
the ^ati++++=the
external ^jj+atrb+++=external
organs ^nns++++=organs
of ^in++++=of
sense ^nn++++=sense,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
perceives ^nns++++=perceives,
, ^zz++++=EXTRAWORD
with ^in++++=with
keenly ^rb++++=keenly
refined ^jj+atrb++xvbn+=refined
perception ^nn+nom+++=perception,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
through ^in++++=through
channels ^nns++++=channels
supposed ^vwbn+++xvbn+=supposed
unknown ^jj++++=unknown,
, ^zz++++=EXTRAWORD
matters ^nns+nom+++=matters
beyond ^in++++=beyond
the ^ati++++=the
scope ^nn++++=scope
of ^in++++=of
the ^ati++++=the
physical ^jj+atrb+++=physical
organs ^nns++++=organs
; ^zz++++=;
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
moreover ^nn+nom+++=moreover,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
intellectual ^jj+atrb+++=intellectual
faculties ^nns++++=faculties
are ^vb+ber+vrb++=are
wonderfully ^rb++++=wonderfully
exalted ^jj+pred+++=exalted
and ^cc+phrs+++=and
invigorated ^jj+++xvbn+=invigorated
; ^zz++++=;
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
sympathies ^nns++++=sympathies
with ^in++++=with
the ^ati++++=the
person ^nn++++=person
so ^ql+emph+++=so
impressing ^jj+++xvbg+=impressing
him ^pp3o+pp3+++=him
are ^vb+ber+vrb++=are
profound ^jj+pred+++=profound
; ^zz++++=;
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
finally ^rb+cnj+++=finally,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
susceptibility ^nn+nom+++=susceptibility
to ^in++++=to
the ^ati++++=the
impression ^nn++++=impression
increases ^nns++++=increases
with ^in++++=with
its ^pp$+it+++=its
frequency ^nn++++=frequency,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
proportion ^nn+nom+++=proportion,
, ^zz++++=EXTRAWORD
the ^ati++++=the
peculiar ^jj+atrb+++=peculiar
phenomena ^nns++++=phenomena
elicited ^vbd+++xvbn+=elicited
are ^vb+ber+aux++=are
more ^rbr++splt++=more
extended ^vpsv++agls+xvbnx+=extended
and ^cc++++=and
more ^rbr++++=more
pronounced ^jj+++xvbn+=pronounced.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
these ^dt+pdem+++=these
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
the ^ati++++=the
laws ^nns++++=laws
of ^in++++=of
mesmerism ^nn+nom+++=mesmerism
in ^in++++=in
its ^pp$+it+++=its
general ^jj+atrb+++=general
features ^nns++++=features
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
supererogation ^nn+nom+++=supererogation
to ^to++++=to
demonstrate ^nn+nom+++=demonstrate
; ^zz++++=;
nor ^cc+cls+neg++=nor
shall ^md+prd+++=shall
I ^pp1a+pp1+++=I
inflict ^vb++++=inflict
upon ^in++++=upon
my ^pp$+pp1+++=my
readers ^nns+nom+++=readers
so ^rb+emph+++=so
needless ^jj++++=needless
a ^at++++=a
demonstration ^nn+nom+++=demonstration
; ^zz++++=;
to ^to++++=to-day.
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
purpose ^nn++++=purpose
at ^rb++++=at
present ^vb++++=present
is ^vbz+bez+vrb++=is
a ^at++++=a
very ^ql+amp+++=very
different ^jj+atrb+++=different
one ^cd1++++=one
indeed ^rb++++=indeed.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
impelled ^vpsv++agls+xvbnx+=impelled,
, ^zz++++=EXTRAWORD
even ^rb++++=even
in ^in++++=in
the ^ati++++=the
teeth ^nns++++=teeth
of ^in++++=of
a ^at++++=a
world ^nn++++=world
of ^in++++=of
prejudice ^nn++++=prejudice,
, ^zz++++=EXTRAWORD
to ^in++++=to
detail ^nn++++=detail
without ^in++++=without
comment ^nn+nom+++=comment
the ^ati++++=the
very ^ql+amp+++=very
remarkable ^jj+atrb+++=remarkable
substance ^nn+nom+++=substance
of ^in++++=of
a ^at++++=a
colloquy ^nn+++??+=colloquy,
, ^zz++++=EXTRAWORD
occurring ^vbg+++xvbg+=occurring
between ^in++++=between
a ^at++++=a
sleep ^nn++++=sleep-waker
- ^zz++++=EXTRAWORD
waker ^jjr++++=EXTRAWORD
and ^cc++++=and
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
long ^rb++++=long
in ^in++++=in
the ^ati++++=the
habit ^nn++++=habit
of ^in++++=of
mesmerizing ^xvbg+++xvbg+=mesmerizing
the ^ati++++=the
person ^nn++++=person
in ^in++++=in
question ^nn+nom+++=question,
, ^zz++++=EXTRAWORD
( ^zz++++=(Mr.
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Vankirk ^np++++=Vankirk,)
, ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
usual ^jj+atrb+++=usual
acute ^jj+atrb+++=acute
susceptibility ^nn+nom+++=susceptibility
and ^cc++++=and
exaltation ^nn+nom+++=exaltation
of ^in++++=of
the ^ati++++=the
mesmeric ^jj+atrb+++=mesmeric
perception ^nn+nom+++=perception
had ^vbd+hvd+aux++=had
supervened ^vprf+++xvbnx+=supervened.
. ^zz++++=EXTRAWORD
For ^in++++=For
many ^ap++++=many
months ^nns++++=months
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
laboring ^vbg+++xvbgx+=laboring
under ^in++++=under
confirmed ^vbn+vpub++xvbn+=confirmed
phthisis ^nns+++??+=phthisis,
, ^zz++++=EXTRAWORD
the ^ati++++=the
more ^rbr++++=more
distressing ^jj+atrb+++=distressing
effects ^nns++++=effects
of ^in++++=of
which ^whp+rel+pied++=which
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
relieved ^vpsv++by+xvbnx+=relieved
by ^in++++=by
my ^pp$+pp1+++=my
manipulations ^nns+nom+++=manipulations
; ^zz++++=;
and ^cc+cls+++=and
on ^in++++=on
the ^ati++++=the
night ^nn++++=night
of ^in++++=of
Wednesday ^nr++++=Wednesday,
, ^zz++++=EXTRAWORD
the ^ati++++=the
fifteenth ^od++++=fifteenth
instant ^nn+nom+++=instant,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
summoned ^vpsv++agls+xvbnx+=summoned
to ^to+vcmp+++=to
his ^pp$+pp3+++=his
bedside ^nn++++=bedside.
. ^zz++++=EXTRAWORD
The ^ati++++=The
invalid ^nn++++=invalid
was ^vbd+bedz+aux++=was
suffering ^vbg+++xvbgx+=suffering
